Year,Series,Series.1,Sustainability level,Unit measure,Unit multiplier,Observation status,Value
1990,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,31.5789473684
1991,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,29.82456140350877
1992,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,31.57894736842105
1993,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526315789
1994,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,38.59649122807017
1995,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,35.08771929824561
1996,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526315789
1997,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,36.84210526315789
1998,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,42.10526315789473
1999,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,43.859649122807014
2000,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,40.35087719298245
2001,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,45.614035087719294
2002,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,45.614035087719294
2003,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,45.614035087719294
2004,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,47.368421052631575
2005,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,43.859649122807014
2006,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,43.859649122807014
2007,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,42.10526315789473
2008,Proportion of fish stocks within biologically sustainable levels (not overexploited),B) State (biomass remaining),Above MSY Btrigger,Percentage (%),Units,Undefined,47.368421052631575
