Year,Country,Region,Sex,Age,Units,Observation status,GeoCode,Value
1981,England,East,Female,,"Rate per 100,000 population",Normal value,E12000006,9.7
1981,England,East,Male,,"Rate per 100,000 population",Normal value,E12000006,17.5
1981,England,East,,,"Rate per 100,000 population",Normal value,E12000006,13.6
1981,England,East Midlands,Female,,"Rate per 100,000 population",Normal value,E12000004,8.6
1981,England,East Midlands,Male,,"Rate per 100,000 population",Normal value,E12000004,14.8
1981,England,East Midlands,,,"Rate per 100,000 population",Normal value,E12000004,11.6
1981,England,London,Female,,"Rate per 100,000 population",Normal value,E12000007,12.8
1981,England,London,Male,,"Rate per 100,000 population",Normal value,E12000007,22.4
1981,England,London,,,"Rate per 100,000 population",Normal value,E12000007,17.4
1981,England,North East,Female,,"Rate per 100,000 population",Normal value,E12000001,10.7
1981,England,North East,Male,,"Rate per 100,000 population",Normal value,E12000001,21.5
1981,England,North East,,,"Rate per 100,000 population",Normal value,E12000001,15.3
1981,England,North West,Female,,"Rate per 100,000 population",Normal value,E12000002,11.7
1981,England,North West,Male,,"Rate per 100,000 population",Normal value,E12000002,19.5
1981,England,North West,,,"Rate per 100,000 population",Normal value,E12000002,15.4
1981,England,South East,Female,,"Rate per 100,000 population",Normal value,E12000008,10.7
1981,England,South East,Male,,"Rate per 100,000 population",Normal value,E12000008,18.2
1981,England,South East,,,"Rate per 100,000 population",Normal value,E12000008,14.2
1981,England,South West,Female,,"Rate per 100,000 population",Normal value,E12000009,10.5
1981,England,South West,Male,,"Rate per 100,000 population",Normal value,E12000009,22.3
1981,England,South West,,,"Rate per 100,000 population",Normal value,E12000009,15.6
1981,England,West Midlands,Female,,"Rate per 100,000 population",Normal value,E12000005,8.4
1981,England,West Midlands,Male,,"Rate per 100,000 population",Normal value,E12000005,17.2
1981,England,West Midlands,,,"Rate per 100,000 population",Normal value,E12000005,12.5
1981,England,Yorkshire and The Humber,Female,,"Rate per 100,000 population",Normal value,E12000003,10.0
1981,England,Yorkshire and The Humber,Male,,"Rate per 100,000 population",Normal value,E12000003,18.2
1981,England,Yorkshire and The Humber,,,"Rate per 100,000 population",Normal value,E12000003,13.6
1981,England,,Female,,"Rate per 100,000 population",Normal value,E92000001,10.6
1981,England,,Female,10 to 14,"Rate per 100,000 population",Missing value,E92000001,
1981,England,,Female,15 to 19,"Rate per 100,000 population",Normal value,E92000001,2.6
1981,England,,Female,20 to 24,"Rate per 100,000 population",Normal value,E92000001,4.3
1981,England,,Female,25 to 29,"Rate per 100,000 population",Normal value,E92000001,5.6
1981,England,,Female,30 to 34,"Rate per 100,000 population",Normal value,E92000001,7.0
1981,England,,Female,35 to 39,"Rate per 100,000 population",Normal value,E92000001,7.6
1981,England,,Female,40 to 44,"Rate per 100,000 population",Normal value,E92000001,11.7
1981,England,,Female,45 to 49,"Rate per 100,000 population",Normal value,E92000001,12.0
1981,England,,Female,50 to 54,"Rate per 100,000 population",Normal value,E92000001,14.8
1981,England,,Female,55 to 59,"Rate per 100,000 population",Normal value,E92000001,14.9
1981,England,,Female,60 to 64,"Rate per 100,000 population",Normal value,E92000001,14.4
1981,England,,Female,65 to 69,"Rate per 100,000 population",Normal value,E92000001,17.8
1981,England,,Female,70 to 74,"Rate per 100,000 population",Normal value,E92000001,18.0
1981,England,,Female,75 to 79,"Rate per 100,000 population",Normal value,E92000001,15.7
1981,England,,Female,80 to 84,"Rate per 100,000 population",Normal value,E92000001,14.4
1981,England,,Female,85 to 89,"Rate per 100,000 population",Normal value,E92000001,13.2
1981,England,,Female,90 and over,"Rate per 100,000 population",Normal value,E92000001,13.4
1981,England,,Male,,"Rate per 100,000 population",Normal value,E92000001,19.3
1981,England,,Male,10 to 14,"Rate per 100,000 population",Normal value,E92000001,0.2
1981,England,,Male,15 to 19,"Rate per 100,000 population",Normal value,E92000001,6.7
1981,England,,Male,20 to 24,"Rate per 100,000 population",Normal value,E92000001,14.1
1981,England,,Male,25 to 29,"Rate per 100,000 population",Normal value,E92000001,18.6
1981,England,,Male,30 to 34,"Rate per 100,000 population",Normal value,E92000001,17.3
1981,England,,Male,35 to 39,"Rate per 100,000 population",Normal value,E92000001,19.6
1981,England,,Male,40 to 44,"Rate per 100,000 population",Normal value,E92000001,20.1
1981,England,,Male,45 to 49,"Rate per 100,000 population",Normal value,E92000001,20.6
1981,England,,Male,50 to 54,"Rate per 100,000 population",Normal value,E92000001,23.7
1981,England,,Male,55 to 59,"Rate per 100,000 population",Normal value,E92000001,22.9
1981,England,,Male,60 to 64,"Rate per 100,000 population",Normal value,E92000001,23.1
1981,England,,Male,65 to 69,"Rate per 100,000 population",Normal value,E92000001,20.2
1981,England,,Male,70 to 74,"Rate per 100,000 population",Normal value,E92000001,22.5
1981,England,,Male,75 to 79,"Rate per 100,000 population",Normal value,E92000001,28.6
1981,England,,Male,80 to 84,"Rate per 100,000 population",Normal value,E92000001,30.2
1981,England,,Male,85 to 89,"Rate per 100,000 population",Normal value,E92000001,28.0
1981,England,,Male,90 and over,"Rate per 100,000 population",Normal value,E92000001,46.8
1981,England,,,,"Rate per 100,000 population",Normal value,E92000001,14.6
1981,England,,,10 to 14,"Rate per 100,000 population",Normal value,E92000001,0.1
1981,England,,,15 to 19,"Rate per 100,000 population",Normal value,E92000001,4.7
1981,England,,,20 to 24,"Rate per 100,000 population",Normal value,E92000001,9.3
1981,England,,,25 to 29,"Rate per 100,000 population",Normal value,E92000001,12.2
1981,England,,,30 to 34,"Rate per 100,000 population",Normal value,E92000001,12.2
1981,England,,,35 to 39,"Rate per 100,000 population",Normal value,E92000001,13.7
1981,England,,,40 to 44,"Rate per 100,000 population",Normal value,E92000001,15.9
1981,England,,,45 to 49,"Rate per 100,000 population",Normal value,E92000001,16.3
1981,England,,,50 to 54,"Rate per 100,000 population",Normal value,E92000001,19.2
1981,England,,,55 to 59,"Rate per 100,000 population",Normal value,E92000001,18.8
1981,England,,,60 to 64,"Rate per 100,000 population",Normal value,E92000001,18.5
1981,England,,,65 to 69,"Rate per 100,000 population",Normal value,E92000001,18.9
1981,England,,,70 to 74,"Rate per 100,000 population",Normal value,E92000001,19.9
1981,England,,,75 to 79,"Rate per 100,000 population",Normal value,E92000001,20.5
1981,England,,,80 to 84,"Rate per 100,000 population",Normal value,E92000001,19.1
1981,England,,,85 to 89,"Rate per 100,000 population",Normal value,E92000001,16.8
1981,England,,,90 and over,"Rate per 100,000 population",Normal value,E92000001,20.1
1981,England and Wales,,Female,,"Rate per 100,000 population",Normal value,K04000001,10.5
1981,England and Wales,,Female,10 to 14,"Rate per 100,000 population",Missing value,K04000001,
1981,England and Wales,,Female,15 to 19,"Rate per 100,000 population",Normal value,K04000001,2.6
