Year,Series,Sex,Age,Unit multiplier,Units,Observation status,Value
2009,Detected victims of human trafficking (Number),,,Units,Number,Normal value,303.0
2010,Detected victims of human trafficking (Number),,,Units,Number,Normal value,421.0
2011,Detected victims of human trafficking (Number),,,Units,Number,Normal value,673.0
2012,Detected victims of human trafficking (Number),,,Units,Number,Normal value,834.0
2013,Detected victims of human trafficking (Number),,,Units,Number,Normal value,1255.0
2014,Detected victims of human trafficking (Number),,,Units,Number,Normal value,2126.0
2015,Detected victims of human trafficking (Number),,,Units,Number,Normal value,2705.0
2016,Detected victims of human trafficking (Number),,,Units,Number,Normal value,3012.0
2017,Detected victims of human trafficking (Number),,,Units,Number,Normal value,3975.0
2018,Detected victims of human trafficking (Number),,,Units,Number,Normal value,5480.0
2019,Detected victims of human trafficking (Number),,,Units,Number,Normal value,9314.0
2020,Detected victims of human trafficking (Number),,,Units,Number,Normal value,9670.0
2021,Detected victims of human trafficking (Number),,,Units,Number,Normal value,11371.0
2009,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,30.0
2010,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,18.0
2011,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,38.0
2012,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,53.0
2013,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,71.0
2014,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,141.0
2015,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,121.0
2016,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,164.0
2017,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,251.0
2018,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,340.0
2019,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,574.0
2020,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,665.0
2021,Detected victims of human trafficking (Number),,0 to 14,Units,Number,Normal value,725.0
2009,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,69.0
2010,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,92.0
2011,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,130.0
2012,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,148.0
2013,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,192.0
2014,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,384.0
2015,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,557.0
2016,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,652.0
2017,Detected victims of human trafficking (Number),,15 to 17,Units,Number,Normal value,1192.0
