Year,Sex,Index of Multiple Deprivation,Ethnicity,Urban or Rural,Units,Observation status,Unit multiplier,Value
2006/07,Male,,,,Percentage,Observed,Units,2.16729592882
2006/07,Female,,,,Percentage,Observed,Units,2.35266785410052
2006/07,,1.0,,,Percentage,Observed,Units,2.54106415836024
2006/07,,2.0,,,Percentage,Observed,Units,2.4077503917937
2006/07,,3.0,,,Percentage,Observed,Units,1.86469041357877
2006/07,,4.0,,,Percentage,Observed,Units,1.73239661504072
2006/07,,5.0,,,Percentage,Observed,Units,1.71884591774095
2006/07,,,White - British,,Percentage,Observed,Units,2.25259110665329
2006/07,,,White - Irish,,Percentage,Observed,Units,0.819672131147541
2006/07,,,Any Other White Background,,Percentage,Observed,Units,1.6839378238342
2006/07,,,Pakistani,,Percentage,Observed,Units,1.89247311827957
2006/07,,,Indian,,Percentage,Observed,Units,2.2508038585209
2006/07,,,Bangladeshi,,Percentage,Observed,Units,3.61111111111111
2006/07,,,Chinese,,Percentage,Observed,Units,4.20168067226891
2006/07,,,Any Other Asian Background,,Percentage,Observed,Units,2.8957528957529
2006/07,,,Black - African,,Percentage,Observed,Units,0.575953923686105
2006/07,,,Black - Caribbean,,Percentage,Observed,Units,0.404312668463612
2006/07,,,Any Other Black Background,,Percentage,Observed,Units,1.0752688172043
2006/07,,,White and Black Caribbean,,Percentage,Observed,Units,0.655021834061135
2006/07,,,White and Asian,,Percentage,Observed,Units,4.10094637223975
2006/07,,,White and Black African,,Percentage,Observed,Units,0.836820083682008
2006/07,,,Any Other Mixed Background,,Percentage,Observed,Units,1.81488203266788
2006/07,,,Any Other Ethnic Group,,Percentage,Observed,Units,2.15189873417722
2006/07,,,Not stated / Invalid,,Percentage,Observed,Units,2.31521884208257
2006/07,,,,,Percentage,Observed,Units,2.25735332846748
2007/08,Male,,,,Percentage,Observed,Units,1.83165561750032
2007/08,Female,,,,Percentage,Observed,Units,2.00177890464458
2007/08,,1.0,,,Percentage,Observed,Units,2.44524771422496
2007/08,,2.0,,,Percentage,Observed,Units,2.0751814771838
2007/08,,3.0,,,Percentage,Observed,Units,1.94953420938985
2007/08,,4.0,,,Percentage,Observed,Units,1.51450381679389
2007/08,,5.0,,,Percentage,Observed,Units,1.36725133456804
2007/08,,,White - British,,Percentage,Observed,Units,1.97382421791871
2007/08,,,White - Irish,,Percentage,Observed,Units,0.836820083682008
2007/08,,,Any Other White Background,,Percentage,Observed,Units,1.71417565485362
2007/08,,,Pakistani,,Percentage,Observed,Units,1.71232876712329
2007/08,,,Indian,,Percentage,Observed,Units,2.55946225439504
2007/08,,,Bangladeshi,,Percentage,Observed,Units,2.7710843373494
2007/08,,,Chinese,,Percentage,Observed,Units,4.38799076212471
2007/08,,,Any Other Asian Background,,Percentage,Observed,Units,2.76448697501329
2007/08,,,Black - African,,Percentage,Observed,Units,0.530248252590986
2007/08,,,Black - Caribbean,,Percentage,Observed,Units,0.414364640883978
2007/08,,,Any Other Black Background,,Percentage,Observed,Units,0.795053003533569
2007/08,,,White and Black Caribbean,,Percentage,Observed,Units,1.40500916310324
2007/08,,,White and Asian,,Percentage,Observed,Units,2.19155844155844
2007/08,,,White and Black African,,Percentage,Observed,Units,0.587371512481645
2007/08,,,Any Other Mixed Background,,Percentage,Observed,Units,1.41915864166244
2007/08,,,Any Other Ethnic Group,,Percentage,Observed,Units,1.89337319382162
2007/08,,,Not stated / Invalid,,Percentage,Observed,Units,1.95206011554162
2007/08,,,,,Percentage,Observed,Units,1.9147597311146
2008/09,Male,,,,Percentage,Observed,Units,1.7337615498231
2008/09,Female,,,,Percentage,Observed,Units,1.82175115041379
2008/09,,1.0,,,Percentage,Observed,Units,2.36096626946814
2008/09,,2.0,,,Percentage,Observed,Units,1.88999219011492
2008/09,,3.0,,,Percentage,Observed,Units,1.62769829004437
2008/09,,4.0,,,Percentage,Observed,Units,1.48341839941669
2008/09,,5.0,,,Percentage,Observed,Units,1.28379328116947
2008/09,,,White - British,,Percentage,Observed,Units,1.83044763186805
2008/09,,,White - Irish,,Percentage,Observed,Units,1.08695652173913
2008/09,,,Any Other White Background,,Percentage,Observed,Units,1.03650292924741
2008/09,,,Pakistani,,Percentage,Observed,Units,1.72544080604534
2008/09,,,Indian,,Percentage,Observed,Units,2.33150470219436
2008/09,,,Bangladeshi,,Percentage,Observed,Units,2.47697681803747
2008/09,,,Chinese,,Percentage,Observed,Units,3.63636363636364
2008/09,,,Any Other Asian Background,,Percentage,Observed,Units,2.68199233716475
2008/09,,,Black - African,,Percentage,Observed,Units,0.516351118760757
2008/09,,,Black - Caribbean,,Percentage,Observed,Units,0.793650793650794
2008/09,,,Any Other Black Background,,Percentage,Observed,Units,0.769724182168056
