Year,Series,Poverty reduction aid type,Observation status,Unit multiplier,Units,Value
2009,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.014760967
2009,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.017757753
2009,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.000648143
2009,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.005142358
2009,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.038309222
2010,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.011753022
2010,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.01824143
2010,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.007249224
2010,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.006260004
2010,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.043503681
2011,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.017068196
2011,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.027562673
2011,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.006186916
2011,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.007148304
2011,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.057966087
2012,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.015501453
2012,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.030349439
2012,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.004201784
2012,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.00683725
2012,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.056889926
2013,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.013958247
2013,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.045591799
2013,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.005782989
2013,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.007911777
2013,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.073244812
2014,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.011814819
2014,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.035046137
2014,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.001419747
2014,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.010796528
2014,Official development assistance grants for poverty reduction (percentage of GNI),,Normal value,Units,Percentage (%),0.059077231
2015,Official development assistance grants for poverty reduction (percentage of GNI),Basic education,Normal value,Units,Percentage (%),0.012276396
2015,Official development assistance grants for poverty reduction (percentage of GNI),Basic health,Normal value,Units,Percentage (%),0.026564613
2015,Official development assistance grants for poverty reduction (percentage of GNI),Basic social services,Normal value,Units,Percentage (%),2.95E-07
2015,Official development assistance grants for poverty reduction (percentage of GNI),Development food aid,Normal value,Units,Percentage (%),0.001378207
2015,Official development assistance grants for poverty reduction (percentage of GNI),Water supply and sanitation,Normal value,Units,Percentage (%),0.010599914
