Year,Units,Sex,Age,Region,Disability,Ethnicity,Country of birth,Nationality,GeoCode,Value
2000 Q1 Jan-Mar,Percentage (%),,,,,,,,,15.0
2000 Q2 Apr-Jun,Percentage (%),,,,,,,,,14.8
2000 Q3 Jul-Sep,Percentage (%),,,,,,,,,14.7
2000 Q4 Oct-Dec,Percentage (%),,,,,,,,,14.5
2001 Q1 Jan-Mar,Percentage (%),,,,,,,,,14.4
2001 Q2 Apr-Jun,Percentage (%),,,,,,,,,14.2
2001 Q3 Jul-Sep,Percentage (%),,,,,,,,,14.1
2001 Q4 Oct-Dec,Percentage (%),,,,,,,,,14.0
2002 Q1 Jan-Mar,Percentage (%),,,,,,,,,13.8
2002 Q2 Apr-Jun,Percentage (%),,,,,,,,,13.6
2002 Q3 Jul-Sep,Percentage (%),,,,,,,,,13.6
2002 Q4 Oct-Dec,Percentage (%),,,,,,,,,13.5
2003 Q1 Jan-Mar,Percentage (%),,,,,,,,,13.0
2003 Q2 Apr-Jun,Percentage (%),,,,,,,,,12.8
2003 Q3 Jul-Sep,Percentage (%),,,,,,,,,12.4
2003 Q4 Oct-Dec,Percentage (%),,,,,,,,,12.1
2004 Q1 Jan-Mar,Percentage (%),,,,,,,,,11.9
2004 Q2 Apr-Jun,Percentage (%),,,,,,,,,11.7
2004 Q3 Jul-Sep,Percentage (%),,,,,,,,,11.9
2004 Q4 Oct-Dec,Percentage (%),,,,,,,,,11.7
2005 Q1 Jan-Mar,Percentage (%),,,,,,,,,11.5
2005 Q2 Apr-Jun,Percentage (%),,,,,,,,,11.6
2005 Q3 Jul-Sep,Percentage (%),,,,,,,,,11.4
2005 Q4 Oct-Dec,Percentage (%),,,,,,,,,11.3
2006 Q1 Jan-Mar,Percentage (%),,,,,,,,,11.2
2006 Q2 Apr-Jun,Percentage (%),,,,,,,,,11.3
2006 Q3 Jul-Sep,Percentage (%),,,,,,,,,11.2
2006 Q4 Oct-Dec,Percentage (%),,,,,,,,,11.0
2007 Q1 Jan-Mar,Percentage (%),,,,,,,,,11.0
2007 Q2 Apr-Jun,Percentage (%),,,,,,,,,11.2
2007 Q3 Jul-Sep,Percentage (%),,,,,,,,,11.1
2007 Q4 Oct-Dec,Percentage (%),,,,,,,,,10.9
2008 Q1 Jan-Mar,Percentage (%),,,,,,,,,10.6
2008 Q2 Apr-Jun,Percentage (%),,,,,,,,,10.4
2008 Q3 Jul-Sep,Percentage (%),,,,,,,,,10.3
2008 Q4 Oct-Dec,Percentage (%),,,,,,,,,10.1
2009 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.8
2009 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.6
2009 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.6
2009 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.6
2010 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.7
2010 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.9
2010 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.8
2010 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.9
2011 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.7
2011 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.8
2011 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.7
2011 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.8
2012 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.7
2012 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.9
2012 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.8
2012 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.7
2013 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.8
2013 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.6
2013 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.8
2013 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.7
2014 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.7
2014 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.8
2014 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.8
2014 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.9
2015 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.7
2015 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.7
2015 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.4
2015 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.5
2016 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.5
2016 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.6
2016 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.4
2016 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.2
2017 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.1
2017 Q2 Apr-Jun,Percentage (%),,,,,,,,,9.1
2017 Q3 Jul-Sep,Percentage (%),,,,,,,,,9.2
2017 Q4 Oct-Dec,Percentage (%),,,,,,,,,9.2
2018 Q1 Jan-Mar,Percentage (%),,,,,,,,,9.1
2018 Q2 Apr-Jun,Percentage (%),,,,,,,,,8.9
2018 Q3 Jul-Sep,Percentage (%),,,,,,,,,8.9
2018 Q4 Oct-Dec,Percentage (%),,,,,,,,,8.9
2000 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,20.8
2000 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,20.5
2000 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,20.3
2000 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,20.0
2001 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,19.9
2001 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,19.7
2001 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,19.4
2001 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,19.5
2002 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,19.3
2002 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,19.0
2002 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,19.1
2002 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,18.9
2003 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,18.4
2003 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,18.0
2003 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,17.3
2003 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,17.1
2004 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,17.0
2004 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,16.5
2004 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,16.8
2004 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,16.7
2005 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,16.4
2005 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,16.5
2005 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,16.2
2005 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,16.0
2006 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,16.0
2006 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,16.1
2006 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,15.8
2006 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,15.6
2007 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,15.6
2007 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,15.9
2007 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,15.4
2007 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,15.2
2008 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,14.9
2008 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,14.8
2008 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,14.5
2008 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,14.2
2009 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,13.7
2009 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,13.6
2009 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,13.7
2009 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,13.7
2010 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,14.1
2010 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,14.2
2010 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,14.0
2010 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,14.1
2011 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,14.0
2011 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,13.8
2011 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,13.8
2011 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,14.0
2012 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,13.8
2012 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,13.9
2012 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,13.9
2012 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,13.8
2013 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,14.1
2013 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,13.8
2013 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,13.9
2013 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,13.8
2014 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,13.6
2014 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,13.8
2014 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,13.7
2014 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,14.0
2015 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,13.7
2015 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,13.8
2015 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,13.3
2015 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,13.4
2016 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,13.6
2016 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,13.7
2016 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,13.3
2016 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,13.0
2017 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,12.9
2017 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,12.9
2017 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,12.8
2017 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,13.0
2018 Q1 Jan-Mar,Percentage (%),Male,,,,,,,,12.9
2018 Q2 Apr-Jun,Percentage (%),Male,,,,,,,,12.6
2018 Q3 Jul-Sep,Percentage (%),Male,,,,,,,,12.5
2018 Q4 Oct-Dec,Percentage (%),Male,,,,,,,,12.6
2000 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,8.3
2000 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,8.2
2000 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,8.0
2000 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,8.0
2001 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,7.8
2001 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,7.7
2001 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,7.8
2001 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,7.6
2002 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,7.4
2002 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,7.2
2002 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,7.2
2002 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,7.2
2003 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,6.8
2003 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,6.7
2003 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,6.5
2003 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,6.2
2004 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,6.1
2004 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,6.0
2004 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,6.0
2004 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.9
2005 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.9
2005 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.9
2005 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.8
2005 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.7
2006 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.6
2006 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.8
2006 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.8
2006 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.7
2007 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.7
2007 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.8
2007 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.9
2007 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.8
2008 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.6
2008 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.4
2008 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.5
2008 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.3
2009 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.2
2009 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.0
2009 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.0
2009 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,4.9
2010 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,4.9
2010 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,4.9
2010 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,4.9
2010 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.0
2011 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.0
2011 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.1
2011 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,4.9
2011 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.0
2012 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.1
2012 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.2
2012 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.1
2012 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.1
2013 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.0
2013 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,4.8
2013 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.1
2013 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.2
2014 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.2
2014 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.3
2014 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.3
2014 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.3
2015 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,5.1
2015 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,5.1
2015 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.1
2015 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,4.9
2016 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,4.9
2016 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,4.9
2016 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.1
2016 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,5.0
2017 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,4.8
2017 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,4.8
2017 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,5.1
2017 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,4.8
2018 Q1 Jan-Mar,Percentage (%),Female,,,,,,,,4.8
2018 Q2 Apr-Jun,Percentage (%),Female,,,,,,,,4.9
2018 Q3 Jul-Sep,Percentage (%),Female,,,,,,,,4.7
2018 Q4 Oct-Dec,Percentage (%),Female,,,,,,,,4.7
2009 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,6.1
2009 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,5.8
2009 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,6.2
2009 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,5.8
2010 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,5.8
2010 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,6.4
2010 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,6.5
2010 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,6.9
2011 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,7.3
2011 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,7.3
2011 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,7.1
2011 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,6.5
2012 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,6.2
2012 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,6.5
2012 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,6.9
2012 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,6.4
2013 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,7.200000000000001
2013 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,7.400000000000001
2013 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,7.7
2013 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,6.9
2014 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,6.7
2014 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,6.9
2014 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,7.3
2014 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,7.1
2015 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,6.7
2015 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,7.200000000000001
2015 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,7.3
2015 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,6.800000000000002
2016 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,6.800000000000002
2016 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,7.1
2016 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,6.6000000000000005
2016 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,7.1
2017 Q1 Jan-Mar,Percentage (%),,16 to 24,,,,,,,6.800000000000002
2017 Q2 Apr-Jun,Percentage (%),,16 to 24,,,,,,,6.4
2017 Q3 Jul-Sep,Percentage (%),,16 to 24,,,,,,,6.6000000000000005
2017 Q4 Oct-Dec,Percentage (%),,16 to 24,,,,,,,6.6000000000000005
2009 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,9.6
2009 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,9.3
2009 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,9.3
2009 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.2
2010 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,9.4
2010 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,9.6
2010 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,9.4
2010 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.6
2011 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,8.9
2011 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,9.1
2011 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,8.8
2011 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.1
2012 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,8.6
2012 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,9.1
2012 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,8.9
2012 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.0
2013 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,9.2
2013 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,8.6
2013 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,9.0
2013 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.0
2014 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,9.1
2014 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,9.4
2014 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,9.3
2014 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.7
2015 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,9.4
2015 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,9.5
2015 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,8.9
2015 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.1
2016 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,9.5
2016 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,9.7
2016 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,9.5
2016 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.3
2017 Q1 Jan-Mar,Percentage (%),,25 to 34,,,,,,,8.8
2017 Q2 Apr-Jun,Percentage (%),,25 to 34,,,,,,,9.0
2017 Q3 Jul-Sep,Percentage (%),,25 to 34,,,,,,,9.0
2017 Q4 Oct-Dec,Percentage (%),,25 to 34,,,,,,,9.1
2009 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,10.5
2009 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,10.4
2009 Q3 Jul-Sep,Percentage (%),,35 to 44,,,,,,,10.4
2009 Q4 Oct-Dec,Percentage (%),,35 to 44,,,,,,,10.5
2010 Q1 Jan-Mar,Percentage (%),,35 to 44,,,,,,,10.4
2010 Q2 Apr-Jun,Percentage (%),,35 to 44,,,,,,,10.5
