Year,Units,Observation status,Unit multiplier,Value
1990,Percentage(%),Undefined,Units,
1991,Percentage(%),Undefined,Units,
1992,Percentage(%),Undefined,Units,
1993,Percentage(%),Undefined,Units,
1994,Percentage(%),Undefined,Units,
1995,Percentage(%),Undefined,Units,
1996,Percentage(%),Undefined,Units,
1997,Percentage(%),Undefined,Units,
1998,Percentage(%),Undefined,Units,
1999,Percentage(%),Undefined,Units,
2000,Percentage(%),Undefined,Units,
2001,Percentage(%),Undefined,Units,
2002,Percentage(%),Undefined,Units,
2003,Percentage(%),Undefined,Units,
2004,Percentage(%),Undefined,Units,
2005,Percentage(%),Undefined,Units,6.0
2006,Percentage(%),Undefined,Units,5.4
2007,Percentage(%),Undefined,Units,5.0
2008,Percentage(%),Undefined,Units,4.8
2009,Percentage(%),Undefined,Units,4.8
2010,Percentage(%),Undefined,Units,4.8
2011,Percentage(%),Undefined,Units,4.4
2012,Percentage(%),Undefined,Units,4.8
2013,Percentage(%),Undefined,Units,
2014,Percentage(%),Undefined,Units,4.2
2015,Percentage(%),Undefined,Units,
