Year,Educational subject,Sex,Unit multiplier,Unit measure,Observation status,Value
2009/10,English language,,Units,Percentage (%),Normal value,69.8
2009/10,English language,Female,Units,Percentage (%),Normal value,76.5
2009/10,English language,Male,Units,Percentage (%),Normal value,63.1
2009/10,Maths,,Units,Percentage (%),Normal value,64.6
2009/10,Maths,Female,Units,Percentage (%),Normal value,64.8
2009/10,Maths,Male,Units,Percentage (%),Normal value,64.5
2010/11,English language,,Units,Percentage (%),Normal value,72.3
2010/11,English language,Female,Units,Percentage (%),Normal value,78.8
2010/11,English language,Male,Units,Percentage (%),Normal value,65.8
2010/11,Maths,,Units,Percentage (%),Normal value,67.0
2010/11,Maths,Female,Units,Percentage (%),Normal value,67.3
2010/11,Maths,Male,Units,Percentage (%),Normal value,66.8
2011/12,English language,,Units,Percentage (%),Normal value,69.3
2011/12,English language,Female,Units,Percentage (%),Normal value,76.5
2011/12,English language,Male,Units,Percentage (%),Normal value,62.2
2011/12,Maths,,Units,Percentage (%),Normal value,70.9
2011/12,Maths,Female,Units,Percentage (%),Normal value,71.2
2011/12,Maths,Male,Units,Percentage (%),Normal value,70.6
2012/13,English language,,Units,Percentage (%),Normal value,70.7
2012/13,English language,Female,Units,Percentage (%),Normal value,78.0
2012/13,English language,Male,Units,Percentage (%),Normal value,63.4
2012/13,Maths,,Units,Percentage (%),Normal value,72.8
2012/13,Maths,Female,Units,Percentage (%),Normal value,73.2
2012/13,Maths,Male,Units,Percentage (%),Normal value,72.3
2013/14,English language,,Units,Percentage (%),Normal value,72.4
2013/14,English language,Female,Units,Percentage (%),Normal value,79.8
2013/14,English language,Male,Units,Percentage (%),Normal value,64.7
2013/14,Maths,,Units,Percentage (%),Normal value,68.0
2013/14,Maths,Female,Units,Percentage (%),Normal value,68.7
2013/14,Maths,Male,Units,Percentage (%),Normal value,67.3
2014/15,English language,,Units,Percentage (%),Normal value,74.8
2014/15,English language,Female,Units,Percentage (%),Normal value,82.0
2014/15,English language,Male,Units,Percentage (%),Normal value,67.2
2014/15,Maths,,Units,Percentage (%),Normal value,70.2
