Year,Type of violence,Unit measure,Unit multiplier,Observation status,Value
2002/03,,Percentage (%),Units,Undefined,41.199414224781606
2002/03,Acquaintance violence,Percentage (%),Units,Undefined,42.97144416514486
2002/03,Assault with minor injury or without injury,Percentage (%),Units,Undefined,36.73110583729554
2002/03,Domestic violence,Percentage (%),Units,Undefined,35.42320027121986
2002/03,Stranger violence,Percentage (%),Units,Undefined,43.29868739017436
2002/03,Wounding,Percentage (%),Units,Undefined,52.54702216331014
2003/04,Acquaintance violence,Percentage (%),Units,Undefined,39.29769133156278
2003/04,Assault with minor injury or without injury,Percentage (%),Units,Undefined,32.62121718319379
2003/04,Domestic violence,Percentage (%),Units,Undefined,39.41791584044228
2003/04,Stranger violence,Percentage (%),Units,Undefined,39.62858491003677
2003/04,Wounding,Percentage (%),Units,Undefined,57.09194121609952
2003/04,,Percentage (%),Units,Undefined,39.395112773262866
2004/05,Acquaintance violence,Percentage (%),Units,Undefined,44.934856603839265
2004/05,Assault with minor injury or without injury,Percentage (%),Units,Undefined,40.4839490717369
2004/05,Domestic violence,Percentage (%),Units,Undefined,41.114731011151385
2004/05,Stranger violence,Percentage (%),Units,Undefined,49.711343680638166
2004/05,Wounding,Percentage (%),Units,Undefined,60.32933717699608
2004/05,,Percentage (%),Units,Undefined,46.05412005081218
2005/06,Acquaintance violence,Percentage (%),Units,Undefined,44.3471884223245
2005/06,Assault with minor injury or without injury,Percentage (%),Units,Undefined,39.35870525377008
2005/06,Domestic violence,Percentage (%),Units,Undefined,41.91603756501544
2005/06,Stranger violence,Percentage (%),Units,Undefined,46.112069283610566
2005/06,Wounding,Percentage (%),Units,Undefined,59.11389961152692
2005/06,,Percentage (%),Units,Undefined,44.6367977811729
2006/07,Acquaintance violence,Percentage (%),Units,Undefined,48.75991859802562
2006/07,Assault with minor injury or without injury,Percentage (%),Units,Undefined,37.44637767814107
2006/07,Domestic violence,Percentage (%),Units,Undefined,43.70258863968876
2006/07,Stranger violence,Percentage (%),Units,Undefined,36.21936548618056
2006/07,Wounding,Percentage (%),Units,Undefined,57.18377386659169
2006/07,,Percentage (%),Units,Undefined,42.72968532509084
2007/08,Acquaintance violence,Percentage (%),Units,Undefined,46.67516462409765
2007/08,Assault with minor injury or without injury,Percentage (%),Units,Undefined,36.87996315702903
2007/08,Domestic violence,Percentage (%),Units,Undefined,40.789623275160466
2007/08,Stranger violence,Percentage (%),Units,Undefined,39.00455447928552
2007/08,Wounding,Percentage (%),Units,Undefined,58.11557860646141
2007/08,,Percentage (%),Units,Undefined,42.44608333300187
2008/09,Acquaintance violence,Percentage (%),Units,Undefined,39.89297949353563
