Year,Series,Institution,Observation status,Unit multiplier,Units,Value
2000,"Proportion of members of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.75
2005,"Proportion of members of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.677
2010,"Proportion of members of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.649
2014,"Proportion of members of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.689
2015,"Proportion of members of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.75
2016,"Proportion of members of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.75185
2017,"Proportion of members of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.75185
2019,"Proportion of members of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.25
2000,"Proportion of voting rights of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.2987
2005,"Proportion of voting rights of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.2987
2010,"Proportion of voting rights of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.2987
2014,"Proportion of voting rights of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.26582
2015,"Proportion of voting rights of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.25
2016,"Proportion of voting rights of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.25
2017,"Proportion of voting rights of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.25
2019,"Proportion of voting rights of developing countries in international organizations, by organization",African Development Bank,Normal value,Units,Percentage (%),1.80802
2000,"Proportion of members of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),2.003
2005,"Proportion of members of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.96
2010,"Proportion of members of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),2.154
2015,"Proportion of members of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.934
2016,"Proportion of members of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.932
2017,"Proportion of members of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.932
2019,"Proportion of members of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.4925
2000,"Proportion of voting rights of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.69492
2005,"Proportion of voting rights of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.5625
2010,"Proportion of voting rights of developing countries in international organizations, by organization",Asian Development Bank,Normal value,Units,Percentage (%),1.49254
