Year,Series,Age,Sex,Citizenship,Disability status,Ethnicity,Household income,Region,Urban or rural,Observation status,Unit multiplier,Units,GeoCode,Value
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Rural,Undefined,Units,Percentage (%),,28.8728294742
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Urban,Undefined,Units,Percentage (%),,25.25211794619614
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,East,,Undefined,Units,Percentage (%),E12000006,27.18944109374118
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,24.729051377064216
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,31.768032911172767
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,22.018349071261294
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,North West,,Undefined,Units,Percentage (%),E12000002,25.827504246033257
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,South East,,Undefined,Units,Percentage (%),E12000008,23.85652657079653
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,South West,,Undefined,Units,Percentage (%),E12000009,28.17124480588758
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,West Midlands,,Undefined,Units,Percentage (%),E12000005,24.592197786579312
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,Yorkshire and The Humber,,Undefined,Units,Percentage (%),E12000003,21.813423773139924
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,24.89369142233019
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,26.030426274003915
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,Undefined,Units,Percentage (%),,23.628771
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,Undefined,Units,Percentage (%),,28.45861
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Undefined,Units,Percentage (%),,25.984206
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,Undefined,Units,Percentage (%),,24.252010730693552
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,Undefined,Units,Percentage (%),,24.68555123903845
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,Undefined,Units,Percentage (%),,27.654932895387024
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,Undefined,Units,Percentage (%),,26.419585621407375
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,Undefined,Units,Percentage (%),,24.53552599240511
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,Undefined,Units,Percentage (%),,26.28038273506233
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,Undefined,Units,Percentage (%),,24.218542129826762
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,Undefined,Units,Percentage (%),,39.34464884940749
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,Undefined,Units,Percentage (%),,50.34984303756295
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,Undefined,Units,Percentage (%),,31.821631006898965
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,Undefined,Units,Percentage (%),,32.194613888953555
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Band A1,,,Undefined,Units,Percentage (%),,24.072505614124683
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Band A2,,,Undefined,Units,Percentage (%),,23.03288272062457
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Band A3,,,Undefined,Units,Percentage (%),,25.479782957749
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Band A4,,,Undefined,Units,Percentage (%),,25.60306844742862
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Band A5,,,Undefined,Units,Percentage (%),,25.203065143804626
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Band A6,,,Undefined,Units,Percentage (%),,26.990254649789346
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Band A7,,,Undefined,Units,Percentage (%),,32.231211867915796
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Band A8,,,Undefined,Units,Percentage (%),,26.67059842333257
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,No income,,,Undefined,Units,Percentage (%),,25.571165351052734
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Rural,Undefined,Units,Percentage (%),,31.74766610979064
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Urban,Undefined,Units,Percentage (%),,23.817419445510772
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,East,,Undefined,Units,Percentage (%),E12000006,27.144164697419367
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,East Midlands,,Undefined,Units,Percentage (%),E12000004,29.54147547962606
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,London,,Undefined,Units,Percentage (%),E12000007,32.03815860211649
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,North East,,Undefined,Units,Percentage (%),E12000001,15.555603202176496
