Year,Series,Industry sector,Unit measure,Unit multiplier,Observation status,Value
1990,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,5.6
1991,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,5.6
1992,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,5.4
1993,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,5.3
1994,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,5.2
1995,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,5.1
1996,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,5.2
1997,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,5.0
1998,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,4.9
1999,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,4.8
2000,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,4.7
2001,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,4.6
2002,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,4.3
2003,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,4.2
2004,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,4.1
2005,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,4.1
2006,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,3.9
2007,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,3.8
2008,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,3.9
2009,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,3.5
2010,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,3.5
2011,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,3.4
2012,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,3.2
2013,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,3.1
2014,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,2.9
2015,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,2.9
2016,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,2.8
2017,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,2.7
2018,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,2.7
2019,Energy intensity level of primary energy,,TJ per £ million,Normal,Undefined,2.9
1990,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,12.4
1991,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,12.2
1992,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,13.4
1993,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,13.8
1994,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,14.4
1995,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,15.0
1996,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,14.9
1997,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,14.1
1998,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,13.2
1999,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,12.9
2000,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,13.3
2001,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.8
2002,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,12.0
2003,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,12.3
2004,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.2
2005,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.7
2006,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.9
2007,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,10.8
2008,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.2
2009,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,10.9
2010,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,10.1
2011,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,10.9
2012,Energy intensity level of primary energy,"Agriculture, forestry and fishing",TJ per £ million,Normal,Undefined,11.1
