Year,Country,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,29.01
2001,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,27.71
2002,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.77
2003,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.56
2004,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.59
2005,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.09
2006,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,26.23
2007,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,25.68
2008,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,25.58
2009,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,24.55
2010,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,23.19
2011,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,21.02
2012,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,19.76
2013,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,17.3
2014,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,15.55
2015,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,14.37
2016,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.66
2017,,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,12.65
2000,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.17
2001,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.17
2002,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.16
2003,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.13
2004,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.12
2005,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.13
2006,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.14
2007,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.13
2008,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.12
2009,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.11
2010,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.12
2011,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.1
2012,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.11
2013,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.08
2014,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.08
2015,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.07
2016,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.06
2017,,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",,0.05
2000,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,14.22
2001,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.57
2002,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.17
2003,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.22
2004,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.38
2005,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.26
2006,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.46
2007,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.28
2008,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,13.27
2009,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,12.81
2010,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,12.12
2011,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,11.01
2012,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,10.39
2013,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,9.09
2014,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,8.15
2015,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,7.47
2016,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,6.99
2017,,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",,6.32
2000,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,29.15
2001,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,27.81
2002,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.94
