Year,Region,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,,2,Undefined,Units,Percentage (%),,58
2016,,2,Undefined,Units,Percentage (%),,68
2017,,2,Undefined,Units,Percentage (%),,71
2018,,2,Undefined,Units,Percentage (%),,72
2011,,3,Undefined,Units,Percentage (%),,92
2012,,3,Undefined,Units,Percentage (%),,93
2013,,3,Undefined,Units,Percentage (%),,93
2014,,3,Undefined,Units,Percentage (%),,93
2015,,3,Undefined,Units,Percentage (%),,93
2016,,3,Undefined,Units,Percentage (%),,93
2017,,3,Undefined,Units,Percentage (%),,93
2018,,3,Undefined,Units,Percentage (%),,92
2011,,4,Undefined,Units,Percentage (%),,96
2012,,4,Undefined,Units,Percentage (%),,97
2013,,4,Undefined,Units,Percentage (%),,98
2014,,4,Undefined,Units,Percentage (%),,98
2015,,4,Undefined,Units,Percentage (%),,97
2016,,4,Undefined,Units,Percentage (%),,96
2017,,4,Undefined,Units,Percentage (%),,95
2018,,4,Undefined,Units,Percentage (%),,95
2011,,3 to 4,Undefined,Units,Percentage (%),,94
2012,,3 to 4,Undefined,Units,Percentage (%),,95
2013,,3 to 4,Undefined,Units,Percentage (%),,95
2014,,3 to 4,Undefined,Units,Percentage (%),,95
2015,,3 to 4,Undefined,Units,Percentage (%),,95
2016,,3 to 4,Undefined,Units,Percentage (%),,95
2017,,3 to 4,Undefined,Units,Percentage (%),,94
2018,,3 to 4,Undefined,Units,Percentage (%),,94
2015,North East,2,Undefined,Units,Percentage (%),E12000001,65
2016,North East,2,Undefined,Units,Percentage (%),E12000001,78
2017,North East,2,Undefined,Units,Percentage (%),E12000001,81
2018,North East,2,Undefined,Units,Percentage (%),E12000001,84
2011,North East,3,Undefined,Units,Percentage (%),E12000001,96
2012,North East,3,Undefined,Units,Percentage (%),E12000001,97
2013,North East,3,Undefined,Units,Percentage (%),E12000001,96
2014,North East,3,Undefined,Units,Percentage (%),E12000001,95
2015,North East,3,Undefined,Units,Percentage (%),E12000001,96
2016,North East,3,Undefined,Units,Percentage (%),E12000001,96
2017,North East,3,Undefined,Units,Percentage (%),E12000001,97
2018,North East,3,Undefined,Units,Percentage (%),E12000001,98
2011,North East,4,Undefined,Units,Percentage (%),E12000001,99
2012,North East,4,Undefined,Units,Percentage (%),E12000001,99
2013,North East,4,Undefined,Units,Percentage (%),E12000001,100
2014,North East,4,Undefined,Units,Percentage (%),E12000001,99
2015,North East,4,Undefined,Units,Percentage (%),E12000001,99
2016,North East,4,Undefined,Units,Percentage (%),E12000001,99
2017,North East,4,Undefined,Units,Percentage (%),E12000001,98
2018,North East,4,Undefined,Units,Percentage (%),E12000001,99
2011,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,98
2012,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,98
2013,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,98
2014,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,97
2015,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,97
2016,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,98
2017,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,98
2018,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,99
2015,North West,2,Undefined,Units,Percentage (%),E12000002,62
2016,North West,2,Undefined,Units,Percentage (%),E12000002,72
2017,North West,2,Undefined,Units,Percentage (%),E12000002,79
2018,North West,2,Undefined,Units,Percentage (%),E12000002,83
2011,North West,3,Undefined,Units,Percentage (%),E12000002,93
2012,North West,3,Undefined,Units,Percentage (%),E12000002,94
2013,North West,3,Undefined,Units,Percentage (%),E12000002,95
2014,North West,3,Undefined,Units,Percentage (%),E12000002,95
2015,North West,3,Undefined,Units,Percentage (%),E12000002,95
2016,North West,3,Undefined,Units,Percentage (%),E12000002,95
2017,North West,3,Undefined,Units,Percentage (%),E12000002,96
2018,North West,3,Undefined,Units,Percentage (%),E12000002,95
2011,North West,4,Undefined,Units,Percentage (%),E12000002,99
2012,North West,4,Undefined,Units,Percentage (%),E12000002,98
2013,North West,4,Undefined,Units,Percentage (%),E12000002,100
2014,North West,4,Undefined,Units,Percentage (%),E12000002,100
2015,North West,4,Undefined,Units,Percentage (%),E12000002,100
2016,North West,4,Undefined,Units,Percentage (%),E12000002,99
2017,North West,4,Undefined,Units,Percentage (%),E12000002,98
2018,North West,4,Undefined,Units,Percentage (%),E12000002,99
2011,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,96
2012,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,96
2013,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97
2014,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97
2015,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97
2016,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97
2017,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97
2018,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97
2015,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,65
2016,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,71
2017,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,73
2018,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,73
2011,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,94
2012,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,96
2013,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,95
2014,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,96
2015,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,95
2016,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,96
2017,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,96
2018,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,95
2011,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98
2012,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98
2013,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98
2014,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,99
2015,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,99
2016,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98
2017,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98
