Year,Age,Main method of contraception,Value
2014,16 to 17,Contraceptive patch,1.6059999999999999
2014,18 to 19,Contraceptive patch,2.229
2014,20 to 24,Contraceptive patch,4.823
2014,25 to 34,Contraceptive patch,3.923
2014,35 to 44,Contraceptive patch,0.669
2014,45 and over,Contraceptive patch,0.055999999999999994
2014,,Contraceptive patch,13.786
2014,15 and under,Contraceptive patch,0.48
2015,16 to 17,Contraceptive patch,1.4069999999999998
2015,18 to 19,Contraceptive patch,2.227
2015,20 to 24,Contraceptive patch,4.963
2015,25 to 34,Contraceptive patch,4.169
2015,35 to 44,Contraceptive patch,0.726
2015,45 and over,Contraceptive patch,0.07
2015,,Contraceptive patch,13.962
2015,15 and under,Contraceptive patch,0.39899999999999997
2016,16 to 17,Contraceptive patch,1.341
2016,18 to 19,Contraceptive patch,2.106
2016,20 to 24,Contraceptive patch,5.022
2016,25 to 34,Contraceptive patch,4.292
2016,35 to 44,Contraceptive patch,0.7340000000000001
2016,45 and over,Contraceptive patch,0.061
2016,,Contraceptive patch,13.854000000000001
2016,15 and under,Contraceptive patch,0.298
2017,16 to 17,Contraceptive patch,1.065
2017,18 to 19,Contraceptive patch,1.787
2017,20 to 24,Contraceptive patch,4.655
2017,25 to 34,Contraceptive patch,4.113
2017,35 to 44,Contraceptive patch,0.748
2017,45 and over,Contraceptive patch,0.049
2017,,Contraceptive patch,12.710999999999999
2017,15 and under,Contraceptive patch,0.293
2014,16 to 17,Female condom,0.111
2014,18 to 19,Female condom,0.128
2014,20 to 24,Female condom,0.28800000000000003
2014,25 to 34,Female condom,0.384
2014,35 to 44,Female condom,0.182
2014,45 and over,Female condom,0.125
2014,,Female condom,1.2670000000000001
2014,15 and under,Female condom,0.048
2015,16 to 17,Female condom,0.078
2015,18 to 19,Female condom,0.11699999999999999
2015,20 to 24,Female condom,0.249
2015,25 to 34,Female condom,0.322
2015,35 to 44,Female condom,0.177
2015,45 and over,Female condom,0.09300000000000001
2015,,Female condom,1.061
2015,15 and under,Female condom,0.024
2016,16 to 17,Female condom,0.10400000000000001
2016,18 to 19,Female condom,0.10400000000000001
2016,20 to 24,Female condom,0.254
2016,25 to 34,Female condom,0.33399999999999996
2016,35 to 44,Female condom,0.166
2016,45 and over,Female condom,0.11199999999999999
2016,,Female condom,1.105
2016,15 and under,Female condom,0.03
2017,16 to 17,Female condom,0.213
2017,18 to 19,Female condom,0.344
2017,20 to 24,Female condom,0.846
2017,25 to 34,Female condom,1.129
2017,35 to 44,Female condom,0.763
2017,45 and over,Female condom,0.426
2017,,Female condom,3.78
2017,15 and under,Female condom,0.057
2014,16 to 17,Implant,16.215999999999998
2014,18 to 19,Implant,18.762
2014,20 to 24,Implant,39.755
2014,25 to 34,Implant,39.52
2014,35 to 44,Implant,14.36
2014,45 and over,Implant,3.267
2014,,Implant,138.937
2014,15 and under,Implant,7.05
2015,16 to 17,Implant,14.458
2015,18 to 19,Implant,17.697
2015,20 to 24,Implant,39.821
2015,25 to 34,Implant,42.425
2015,35 to 44,Implant,15.742
2015,45 and over,Implant,3.917
2015,,Implant,140.019
2015,15 and under,Implant,5.917000000000001
2016,16 to 17,Implant,11.96
2016,18 to 19,Implant,15.742
2016,20 to 24,Implant,38.262
2016,25 to 34,Implant,43.118
2016,35 to 44,Implant,16.403
2016,45 and over,Implant,4.447
2016,,Implant,134.623
2016,15 and under,Implant,4.676
2017,16 to 17,Implant,10.88
2017,18 to 19,Implant,14.159
2017,20 to 24,Implant,34.82
2017,25 to 34,Implant,41.641000000000005
2017,35 to 44,Implant,16.03
2017,45 and over,Implant,4.4110000000000005
2017,,Implant,126.285
2017,15 and under,Implant,4.3389999999999995
2014,16 to 17,Injectable contraceptive,8.785
2014,18 to 19,Injectable contraceptive,12.489
2014,20 to 24,Injectable contraceptive,26.494
2014,25 to 34,Injectable contraceptive,22.803
2014,35 to 44,Injectable contraceptive,10.283
2014,45 and over,Injectable contraceptive,2.088
2014,,Injectable contraceptive,85.255
2014,15 and under,Injectable contraceptive,2.31
2015,16 to 17,Injectable contraceptive,7.377000000000001
2015,18 to 19,Injectable contraceptive,11.742
2015,20 to 24,Injectable contraceptive,26.586
2015,25 to 34,Injectable contraceptive,23.648000000000003
2015,35 to 44,Injectable contraceptive,10.615
2015,45 and over,Injectable contraceptive,2.363
2015,,Injectable contraceptive,84.179
2015,15 and under,Injectable contraceptive,1.841
