Year,Sex,Age,Bank account category,Unit measure,Unit multiplier,Observation status,Value
2013,,,Current account,Percentage (%),Units,Undefined,89.0
2014,,,Current account,Percentage (%),Units,Undefined,90.0
2015,,,Current account,Percentage (%),Units,Undefined,91.0
2016,,,Current account,Percentage (%),Units,Undefined,91.0
2017,,,Current account,Percentage (%),Units,Undefined,91.0
2013,,,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2014,,,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2015,,,NS&I Savings Account,Percentage (%),Units,Undefined,3.0
2016,,,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2017,,,NS&I Savings Account,Percentage (%),Units,Undefined,2.0
2013,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2014,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2015,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2016,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2017,,,Basic Bank account,Percentage (%),Units,Undefined,5.0
2013,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2014,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,3.0
2015,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,3.0
2016,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2017,,,Post Office Card Account (POCA),Percentage (%),Units,Undefined,2.0
2013,,,ISA,Percentage (%),Units,Undefined,33.0
2014,,,ISA,Percentage (%),Units,Undefined,32.0
2015,,,ISA,Percentage (%),Units,Undefined,32.0
2016,,,ISA,Percentage (%),Units,Undefined,31.0
2017,,,ISA,Percentage (%),Units,Undefined,29.0
2013,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,36.0
2014,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,36.0
2015,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,36.0
2016,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,35.0
2017,,,Other Bank / Building Society account,Percentage (%),Units,Undefined,35.0
2013,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,10.0
2014,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,11.0
2015,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,11.0
2016,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,11.0
2017,,,Stocks and shares / member of a Share Club,Percentage (%),Units,Undefined,10.0
2013,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2014,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2015,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2016,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2017,,,Unit trusts,Percentage (%),Units,Undefined,2.0
2013,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,1.0
2014,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2015,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2016,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2017,,,Endowment Policy (not linked),Percentage (%),Units,Undefined,
2013,,,Premium Bonds,Percentage (%),Units,Undefined,13.0
2014,,,Premium Bonds,Percentage (%),Units,Undefined,13.0
2015,,,Premium Bonds,Percentage (%),Units,Undefined,14.0
2016,,,Premium Bonds,Percentage (%),Units,Undefined,13.0
2017,,,Premium Bonds,Percentage (%),Units,Undefined,13.0
2013,,,National Savings Bonds,Percentage (%),Units,Undefined,2.0
2014,,,National Savings Bonds,Percentage (%),Units,Undefined,2.0
2015,,,National Savings Bonds,Percentage (%),Units,Undefined,3.0
2016,,,National Savings Bonds,Percentage (%),Units,Undefined,2.0
2017,,,National Savings Bonds,Percentage (%),Units,Undefined,2.0
2013,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2014,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2015,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2016,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2017,,,Company Share Scheme / profit sharing,Percentage (%),Units,Undefined,2.0
2013,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2014,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2015,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2016,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2017,,,Credit Unions,Percentage (%),Units,Undefined,1.0
2013,,,Any other type of asset,Percentage (%),Units,Undefined,
2014,,,Any other type of asset,Percentage (%),Units,Undefined,1.0
2015,,,Any other type of asset,Percentage (%),Units,Undefined,
2016,,,Any other type of asset,Percentage (%),Units,Undefined,
2017,,,Any other type of asset,Percentage (%),Units,Undefined,
2013,,,Any type of account (including POCAs),Percentage (%),Units,Undefined,94.0
2014,,,Any type of account (including POCAs),Percentage (%),Units,Undefined,95.0
2015,,,Any type of account (including POCAs),Percentage (%),Units,Undefined,95.0
2016,,,Any type of account (including POCAs),Percentage (%),Units,Undefined,95.0
2017,,,Any type of account (including POCAs),Percentage (%),Units,Undefined,94.0
2013,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,93.0
2014,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2015,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2016,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2017,,,Any type of account (excluding POCAs),Percentage (%),Units,Undefined,94.0
2013,,,No accounts (including POCAs),Percentage (%),Units,Undefined,6.0
2014,,,No accounts (including POCAs),Percentage (%),Units,Undefined,5.0
2015,,,No accounts (including POCAs),Percentage (%),Units,Undefined,5.0
2016,,,No accounts (including POCAs),Percentage (%),Units,Undefined,5.0
2017,,,No accounts (including POCAs),Percentage (%),Units,Undefined,6.0
2013,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,7.0
2014,,,No accounts (excluding POCAs),Percentage (%),Units,Undefined,6.0
