Year,Type of hate crime,Sex,Age,Ethnicity,Disability status,Household income,Uran or Rural,GeoCode,Observation status,Unit multiplier,Unit measure,Value
2007/08 to 2008/09,,,,,,,,,Undefined,Units,Percentage (%),0.287176010159
2009/10 to 2011/12,,,,,,,,,Undefined,Units,Percentage (%),0.26548725411789453
2012/13 to 2014/15,,,,,,,,,Undefined,Units,Percentage (%),0.20815248327309177
2015/16 to 2017/18,,,,,,,,,Undefined,Units,Percentage (%),0.16201904630946332
2007/08 to 2008/09,Race,,,,,,,,Undefined,Units,Percentage (%),0.1625374552930453
2009/10 to 2011/12,Race,,,,,,,,Undefined,Units,Percentage (%),0.14947526529116495
2012/13 to 2014/15,Race,,,,,,,,Undefined,Units,Percentage (%),0.10882200320261919
2015/16 to 2017/18,Race,,,,,,,,Undefined,Units,Percentage (%),0.09502122898068319
2007/08 to 2008/09,Religion,,,,,,,,Undefined,Units,Percentage (%),0.028651953214628382
2009/10 to 2011/12,Religion,,,,,,,,Undefined,Units,Percentage (%),0.03811517627252059
2012/13 to 2014/15,Religion,,,,,,,,Undefined,Units,Percentage (%),0.03056589391106636
2015/16 to 2017/18,Religion,,,,,,,,Undefined,Units,Percentage (%),0.03255105412655042
2007/08 to 2008/09,Sexual orientation,,,,,,,,Undefined,Units,Percentage (%),0.0691941737152112
2009/10 to 2011/12,Sexual orientation,,,,,,,,Undefined,Units,Percentage (%),0.03559162243971714
2012/13 to 2014/15,Sexual orientation,,,,,,,,Undefined,Units,Percentage (%),0.026221922327764158
2015/16 to 2017/18,Sexual orientation,,,,,,,,Undefined,Units,Percentage (%),0.02486069269473341
2007/08 to 2008/09,Disability,,,,,,,,Undefined,Units,Percentage (%),0.050195412582026123
2009/10 to 2011/12,Disability,,,,,,,,Undefined,Units,Percentage (%),0.04518994382185085
2012/13 to 2014/15,Disability,,,,,,,,Undefined,Units,Percentage (%),0.0640559444379131
2015/16 to 2017/18,Disability,,,,,,,,Undefined,Units,Percentage (%),0.03456495111047771
2015/16 to 2017/18,,Men,,,,,,,Undefined,Units,Percentage (%),0.22599762053607936
2015/16 to 2017/18,,Women,,,,,,,Undefined,Units,Percentage (%),0.10069322448801023
2015/16 to 2017/18,,,16 to 24,,,,,,Undefined,Units,Percentage (%),0.33619293730375177
2015/16 to 2017/18,,,25 to 34,,,,,,Undefined,Units,Percentage (%),0.21691732120561596
2015/16 to 2017/18,,,35 to 44,,,,,,Undefined,Units,Percentage (%),0.20420876686102907
2015/16 to 2017/18,,,45 to 54,,,,,,Undefined,Units,Percentage (%),0.1405507039701664
2015/16 to 2017/18,,,55 to 64,,,,,,Undefined,Units,Percentage (%),0.10583697810431754
2015/16 to 2017/18,,,65 to 74,,,,,,Undefined,Units,Percentage (%),0.042918249621871074
2015/16 to 2017/18,,,75 and over,,,,,,Undefined,Units,Percentage (%),0.02913040771547024
2015/16 to 2017/18,,,,White,,,,,Undefined,Units,Percentage (%),0.12760959446930095
2015/16 to 2017/18,,,,Mixed/Multiple ethnic groups,,,,,Undefined,Units,Percentage (%),0.2999048008028006
2015/16 to 2017/18,,,,Asian/Asian British,,,,,Undefined,Units,Percentage (%),0.38569637618025865
2015/16 to 2017/18,,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,Percentage (%),0.36336501378524816
2015/16 to 2017/18,,,,Other ethnic group,,,,,Undefined,Units,Percentage (%),0.6262869838531681
2015/16 to 2017/18,,,,,Long-term illness or disability,,,,Undefined,Units,Percentage (%),0.3089117283086101
2015/16 to 2017/18,,,,,Limiting long-term illness or disability,,,,Undefined,Units,Percentage (%),0.3638352657792506
2015/16 to 2017/18,,,,,Long-term illness or disability - Does not limit activities,,,,Undefined,Units,Percentage (%),0.11513896397556507
2015/16 to 2017/18,,,,,No long-term illness or disability,,,,Undefined,Units,Percentage (%),0.12366021057851391
2015/16 to 2017/18,,,,,,"Less than £10,000",,,Undefined,Units,Percentage (%),0.2987746637072328
2015/16 to 2017/18,,,,,,"£10,000 to less than £20,000",,,Undefined,Units,Percentage (%),0.15352083053401297
2015/16 to 2017/18,,,,,,"£20,000 to less than £30,000",,,Undefined,Units,Percentage (%),0.17649846189643992
2015/16 to 2017/18,,,,,,"£30,000 to less than £40,000",,,Undefined,Units,Percentage (%),0.21261250615543892
2015/16 to 2017/18,,,,,,"£40,000 to less than £50,000",,,Undefined,Units,Percentage (%),0.12829201391262007
2015/16 to 2017/18,,,,,,"£50,000 or more",,,Undefined,Units,Percentage (%),0.07208133704466059
2015/16 to 2017/18,,,,,,No income stated or not enough information provided,,,Undefined,Units,Percentage (%),0.19993571248909212
2015/16 to 2017/18,,,,,,,Urban,,Undefined,Units,Percentage (%),0.18641085446884278
2015/16 to 2017/18,,,,,,,Rural,,Undefined,Units,Percentage (%),0.05567737274378033
