Year,Series,City or Locality,Urbanisation,Unit,Value
2010,PM2.5,Aberdeen,,Microgram per m3,7.07
2013,PM2.5,Aberdeen,,Microgram per m3,8.59
2014,PM2.5,Aberdeen,,Microgram per m3,10.2
2015,PM2.5,Aberdeen,,Microgram per m3,8.04
2016,PM2.5,Aberdeen,,Microgram per m3,5.37
2017,PM2.5,Aberdeen,,Microgram per m3,5.78
2018,PM2.5,Aberdeen,,Microgram per m3,6.87
2019,PM2.5,Aberdeen,,Microgram per m3,7.26
2014,PM2.5,Barnstaple,,Microgram per m3,9.08
2015,PM2.5,Barnstaple,,Microgram per m3,9.59
2016,PM2.5,Barnstaple,,Microgram per m3,10.7
2018,PM2.5,Barnstaple,,Microgram per m3,6.93
2019,PM2.5,Barnstaple,,Microgram per m3,8.14
2010,PM2.5,Belfast,,Microgram per m3,13.51
2013,PM2.5,Belfast,,Microgram per m3,11.56
2014,PM2.5,Belfast,,Microgram per m3,10.8
2015,PM2.5,Belfast,,Microgram per m3,9.03
2016,PM2.5,Belfast,,Microgram per m3,9.55
2017,PM2.5,Belfast,,Microgram per m3,8.71
2018,PM2.5,Belfast,,Microgram per m3,10.01
2019,PM2.5,Belfast,,Microgram per m3,10.6
2010,PM2.5,Biandrate,,Microgram per m3,17.23
2010,PM2.5,Birkenhead,,Microgram per m3,8.92
2013,PM2.5,Birkenhead,,Microgram per m3,10.75
2015,PM2.5,Birkenhead,,Microgram per m3,7.2
2016,PM2.5,Birkenhead,,Microgram per m3,7.89
2017,PM2.5,Birkenhead,,Microgram per m3,6.9
2018,PM2.5,Birkenhead,,Microgram per m3,8.38
2019,PM2.5,Birkenhead,,Microgram per m3,8.02
2010,PM2.5,Birmingham,,Microgram per m3,14.62
2013,PM2.5,Birmingham,,Microgram per m3,14.27
2014,PM2.5,Birmingham,,Microgram per m3,13.29
2015,PM2.5,Birmingham,,Microgram per m3,10.12
2016,PM2.5,Birmingham,,Microgram per m3,10.71
2017,PM2.5,Birmingham,,Microgram per m3,10.63
2018,PM2.5,Birmingham,,Microgram per m3,10.54
2019,PM2.5,Birmingham,,Microgram per m3,9.51
2015,PM2.5,Blackpool,,Microgram per m3,8.48
2016,PM2.5,Blackpool,,Microgram per m3,7.84
2017,PM2.5,Blackpool,,Microgram per m3,7.34
2018,PM2.5,Blackpool,,Microgram per m3,8.51
2019,PM2.5,Blackpool,,Microgram per m3,9.17
2013,PM2.5,Bournemouth,,Microgram per m3,9.19
2014,PM2.5,Bournemouth,,Microgram per m3,8.17
2015,PM2.5,Bournemouth,,Microgram per m3,7.47
2016,PM2.5,Bournemouth,,Microgram per m3,7.49
2017,PM2.5,Bournemouth,,Microgram per m3,7.54
2018,PM2.5,Bournemouth,,Microgram per m3,10.53
2019,PM2.5,Bournemouth,,Microgram per m3,10.82
2013,PM2.5,Brighton,,Microgram per m3,11.18
2014,PM2.5,Brighton,,Microgram per m3,9.56
2015,PM2.5,Brighton,,Microgram per m3,9.3
2016,PM2.5,Brighton,,Microgram per m3,9.02
2017,PM2.5,Brighton,,Microgram per m3,8.9
2018,PM2.5,Brighton,,Microgram per m3,8.9
2010,PM2.5,Bristol,,Microgram per m3,14.21
2013,PM2.5,Bristol,,Microgram per m3,12.81
2015,PM2.5,Bristol,,Microgram per m3,10.25
2016,PM2.5,Bristol,,Microgram per m3,11.66
2017,PM2.5,Bristol,,Microgram per m3,9.65
2018,PM2.5,Bristol,,Microgram per m3,12.04
2019,PM2.5,Bristol,,Microgram per m3,10.76
2010,PM2.5,Cardiff,,Microgram per m3,13.8
2013,PM2.5,Cardiff,,Microgram per m3,13.51
2014,PM2.5,Cardiff,,Microgram per m3,11.65
2015,PM2.5,Cardiff,,Microgram per m3,9.56
2016,PM2.5,Cardiff,,Microgram per m3,9.66
2017,PM2.5,Cardiff,,Microgram per m3,9.08
2018,PM2.5,Cardiff,,Microgram per m3,10.16
2010,PM2.5,Carlisle,,Microgram per m3,15.54
2013,PM2.5,Carlisle,,Microgram per m3,11.7
2014,PM2.5,Carlisle,,Microgram per m3,11.32
2015,PM2.5,Carlisle,,Microgram per m3,10.16
2017,PM2.5,Carlisle,,Microgram per m3,8.59
2018,PM2.5,Carlisle,,Microgram per m3,8.6
2019,PM2.5,Carlisle,,Microgram per m3,10.81
2013,PM2.5,Chepstow,,Microgram per m3,14.15
2014,PM2.5,Chepstow,,Microgram per m3,14.32
2015,PM2.5,Chepstow,,Microgram per m3,9.71
2016,PM2.5,Chepstow,,Microgram per m3,11.16
2017,PM2.5,Chepstow,,Microgram per m3,9.7
2018,PM2.5,Chepstow,,Microgram per m3,10.16
2019,PM2.5,Chepstow,,Microgram per m3,12.55
2010,PM2.5,Chesterfield,,Microgram per m3,13.26
2013,PM2.5,Chesterfield,,Microgram per m3,10.21
2014,PM2.5,Chesterfield,,Microgram per m3,11.59
2015,PM2.5,Chesterfield,,Microgram per m3,10.41
2016,PM2.5,Chesterfield,,Microgram per m3,10.77
2017,PM2.5,Chesterfield,,Microgram per m3,8.74
2018,PM2.5,Chesterfield,,Microgram per m3,9.65
2019,PM2.5,Chesterfield,,Microgram per m3,8.62
2018,PM2.5,Christchurch,,Microgram per m3,12.2
2019,PM2.5,Christchurch,,Microgram per m3,12.83
2010,PM2.5,Coventry,,Microgram per m3,12.28
2015,PM2.5,Coventry,,Microgram per m3,10.94
2016,PM2.5,Coventry,,Microgram per m3,10.37
2017,PM2.5,Coventry,,Microgram per m3,11.38
2018,PM2.5,Coventry,,Microgram per m3,10.63
2019,PM2.5,Coventry,,Microgram per m3,9.08
2010,PM2.5,Didcot,,Microgram per m3,9.46
2013,PM2.5,Didcot,,Microgram per m3,8.98
2014,PM2.5,Didcot,,Microgram per m3,8.07
2015,PM2.5,Didcot,,Microgram per m3,7.72
2010,PM2.5,Eastbourne,,Microgram per m3,13.41
2013,PM2.5,Eastbourne,,Microgram per m3,15.28
2014,PM2.5,Eastbourne,,Microgram per m3,12.23
2017,PM2.5,Eastbourne,,Microgram per m3,11.34
2018,PM2.5,Eastbourne,,Microgram per m3,12.71
2019,PM2.5,Eastbourne,,Microgram per m3,10.46
2013,PM2.5,Eccles,,Microgram per m3,15.03
2014,PM2.5,Eccles,,Microgram per m3,15.48
2015,PM2.5,Eccles,,Microgram per m3,10.59
2016,PM2.5,Eccles,,Microgram per m3,10.46
2017,PM2.5,Eccles,,Microgram per m3,10.71
2018,PM2.5,Eccles,,Microgram per m3,10.58
2019,PM2.5,Eccles,,Microgram per m3,9.45
2010,PM2.5,Edinburgh,,Microgram per m3,9.49
2013,PM2.5,Edinburgh,,Microgram per m3,7.52
2015,PM2.5,Edinburgh,,Microgram per m3,6.39
2016,PM2.5,Edinburgh,,Microgram per m3,6.35
2017,PM2.5,Edinburgh,,Microgram per m3,6.64
2018,PM2.5,Edinburgh,,Microgram per m3,6.31
2019,PM2.5,Edinburgh,,Microgram per m3,6.34
2019,PM2.5,Enniskillen,,Microgram per m3,4.97
2013,PM2.5,Erith,,Microgram per m3,15.64
2014,PM2.5,Erith,,Microgram per m3,15.95
2015,PM2.5,Erith,,Microgram per m3,10.49
2016,PM2.5,Erith,,Microgram per m3,10.66
2017,PM2.5,Erith,,Microgram per m3,10.79
2018,PM2.5,Erith,,Microgram per m3,11.92
2019,PM2.5,Erith,,Microgram per m3,11.64
2013,PM2.5,Gillingham,,Microgram per m3,13.44
2014,PM2.5,Gillingham,,Microgram per m3,13.52
2015,PM2.5,Gillingham,,Microgram per m3,11.81
2016,PM2.5,Gillingham,,Microgram per m3,11.52
2017,PM2.5,Gillingham,,Microgram per m3,14.12
2018,PM2.5,Gillingham,,Microgram per m3,15.19
2019,PM2.5,Gillingham,,Microgram per m3,13.9
