Year,Sex,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2006/07,,,,,,,,,Undefined,Units,Percentage (%),,69.0389353259
2007/08,,,,,,,,,Undefined,Units,Percentage (%),,69.3
2008/09,,,,,,,,,Undefined,Units,Percentage (%),,70.04666565093463
2009/10,,,,,,,,,Undefined,Units,Percentage (%),,72.53356924800842
2010/11,,,,,,,,,Undefined,Units,Percentage (%),,74.53675390817087
2011/12,,,,,,,,,Undefined,Units,Percentage (%),,75.51578593894111
2012/13,,,,,,,,,Undefined,Units,Percentage (%),,70.4816186669451
2013/14,,,,,,,,,Undefined,Units,Percentage (%),,71.24689954764844
2014/15,,,,,,,,,Undefined,Units,Percentage (%),,73.68757035713931
2015/16,,,,,,,,,Undefined,Units,Percentage (%),,74.70836037038079
2017/18,,,,,,,,,Undefined,Units,Percentage (%),,75.22197771844391
2006/07,Male,,,,,,,,Undefined,Units,Percentage (%),,82.89045800167682
2007/08,Male,,,,,,,,Undefined,Units,Percentage (%),,83.0
2008/09,Male,,,,,,,,Undefined,Units,Percentage (%),,83.3930868686162
2009/10,Male,,,,,,,,Undefined,Units,Percentage (%),,84.73876559170023
2010/11,Male,,,,,,,,Undefined,Units,Percentage (%),,86.08563182994014
2011/12,Male,,,,,,,,Undefined,Units,Percentage (%),,87.08260300311319
2012/13,Male,,,,,,,,Undefined,Units,Percentage (%),,84.72288850522519
2013/14,Male,,,,,,,,Undefined,Units,Percentage (%),,85.08356364056479
2014/15,Male,,,,,,,,Undefined,Units,Percentage (%),,85.75433770838819
2015/16,Male,,,,,,,,Undefined,Units,Percentage (%),,87.8726364451006
2017/18,Male,,,,,,,,Undefined,Units,Percentage (%),,87.16786062260738
2006/07,Female,,,,,,,,Undefined,Units,Percentage (%),,55.9485120177003
2007/08,Female,,,,,,,,Undefined,Units,Percentage (%),,56.3
2008/09,Female,,,,,,,,Undefined,Units,Percentage (%),,57.392252107008545
2009/10,Female,,,,,,,,Undefined,Units,Percentage (%),,60.94367969347289
2010/11,Female,,,,,,,,Undefined,Units,Percentage (%),,63.54408855640662
2011/12,Female,,,,,,,,Undefined,Units,Percentage (%),,64.48216164655682
2012/13,Female,,,,,,,,Undefined,Units,Percentage (%),,56.65093352951438
2013/14,Female,,,,,,,,Undefined,Units,Percentage (%),,57.95424582600218
2014/15,Female,,,,,,,,Undefined,Units,Percentage (%),,61.81505205936627
2015/16,Female,,,,,,,,Undefined,Units,Percentage (%),,61.705980408354854
2017/18,Female,,,,,,,,Undefined,Units,Percentage (%),,63.74953488284568
2017/18,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,76.97541886
2017/18,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,77.01368031
2017/18,,35 to 44,,,,,,,Undefined,Units,Percentage (%),,77.95679948
2017/18,,45 to 54,,,,,,,Undefined,Units,Percentage (%),,78.12526752
2017/18,,55 to 64,,,,,,,Undefined,Units,Percentage (%),,74.81302419
2017/18,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,70.45375257
2017/18,,75 and over,,,,,,,Undefined,Units,Percentage (%),,66.46329694
