Year,Main method of contraception,Age,Observation status,Unit measure,Value
2014/15,IU device,,Undefined,Percentage (%),5.76049572393
2014/15,IU system,,Undefined,Percentage (%),7.18956956720844
2014/15,Implant,,Undefined,Percentage (%),14.7621734247516
2014/15,Injectable contraceptive,,Undefined,Percentage (%),9.05841565117423
2014/15,Oral contraceptives,,Undefined,Percentage (%),45.343397413217
2014/15,Male condom,,Undefined,Percentage (%),14.9979440461809
2014/15,Female condom,,Undefined,Percentage (%),0.13461981854481
2014/15,Contraceptive patch,,Undefined,Percentage (%),1.46477412664463
2014/15,Natural family planning,,Undefined,Percentage (%),0.813031453437162
2014/15,Other methods,,Undefined,Percentage (%),0.475578774906526
2015/16,IU device,,Undefined,Percentage (%),5.83547611766122
2015/16,IU system,,Undefined,Percentage (%),7.79693801731819
2015/16,Implant,,Undefined,Percentage (%),15.4588502605015
2015/16,Injectable contraceptive,,Undefined,Percentage (%),9.29381409722076
2015/16,Oral contraceptives,,Undefined,Percentage (%),44.7619825714074
2015/16,Male condom,,Undefined,Percentage (%),14.0075716006461
2015/16,Female condom,,Undefined,Percentage (%),0.11714010331735
2015/16,Contraceptive patch,,Undefined,Percentage (%),1.54147985157101
2015/16,Natural family planning,,Undefined,Percentage (%),0.698203594136591
2015/16,Other methods,,Undefined,Percentage (%),0.488543786219863
2016/17,IU device,,Undefined,Percentage (%),6.22443237283658
2016/17,IU system,,Undefined,Percentage (%),8.29522354805738
2016/17,Implant,,Undefined,Percentage (%),15.4609350774637
2016/17,Injectable contraceptive,,Undefined,Percentage (%),9.28450840099686
2016/17,Contraceptive patch,,Undefined,Percentage (%),1.59107875001436
2017/18,Contraceptive patch,,Undefined,Percentage (%),1.58980585495056
2018/19,Contraceptive patch,,Undefined,Percentage (%),1.61615529117095
2014/15,Contraceptive patch,Under 16,Undefined,Percentage (%),1.51109711947112
2015/16,Contraceptive patch,Under 16,Undefined,Percentage (%),1.57851010800332
2016/17,Contraceptive patch,Under 16,Undefined,Percentage (%),1.48155513572636
2017/18,Contraceptive patch,Under 16,Undefined,Percentage (%),1.6246953696182
2018/19,Contraceptive patch,Under 16,Undefined,Percentage (%),1.39456734808177
2014/15,Contraceptive patch,16 to 17,Undefined,Percentage (%),1.79583803911483
2015/16,Contraceptive patch,16 to 17,Undefined,Percentage (%),1.84917463989065
2016/17,Contraceptive patch,16 to 17,Undefined,Percentage (%),2.03360528949683
2017/18,Contraceptive patch,16 to 17,Undefined,Percentage (%),1.8419809729438
2018/19,Contraceptive patch,16 to 17,Undefined,Percentage (%),1.9346785937175
2014/15,Contraceptive patch,18 to 19,Undefined,Percentage (%),1.89592406096897
2015/16,Contraceptive patch,18 to 19,Undefined,Percentage (%),2.05421959026298
2016/17,Contraceptive patch,18 to 19,Undefined,Percentage (%),2.08839483156987
2017/18,Contraceptive patch,18 to 19,Undefined,Percentage (%),1.98414849670935
2018/19,Contraceptive patch,18 to 19,Undefined,Percentage (%),1.99216590969168
2014/15,Contraceptive patch,20 to 24,Undefined,Percentage (%),1.8290069967197
2015/16,Contraceptive patch,20 to 24,Undefined,Percentage (%),1.94558020471126
2016/17,Contraceptive patch,20 to 24,Undefined,Percentage (%),2.02709248256265
2017/18,Contraceptive patch,20 to 24,Undefined,Percentage (%),2.06611570247934
2018/19,Contraceptive patch,20 to 24,Undefined,Percentage (%),2.12119261330194
2014/15,Contraceptive patch,25 to 34,Undefined,Percentage (%),1.46486088862502
2015/16,Contraceptive patch,25 to 34,Undefined,Percentage (%),1.55129044741464
2016/17,Contraceptive patch,25 to 34,Undefined,Percentage (%),1.60108629153797
2017/18,Contraceptive patch,25 to 34,Undefined,Percentage (%),1.63805642194342
2018/19,Contraceptive patch,25 to 34,Undefined,Percentage (%),1.73373229971772
2014/15,Contraceptive patch,35 to 44,Undefined,Percentage (%),0.55674375639756
2015/16,Contraceptive patch,35 to 44,Undefined,Percentage (%),0.59991075707746
2016/17,Contraceptive patch,35 to 44,Undefined,Percentage (%),0.621244181125688
2017/18,Contraceptive patch,35 to 44,Undefined,Percentage (%),0.67309730761077
2018/19,Contraceptive patch,35 to 44,Undefined,Percentage (%),0.680025004646134
2014/15,Contraceptive patch,45 and over,Undefined,Percentage (%),0.11051686368929
2015/16,Contraceptive patch,45 and over,Undefined,Percentage (%),0.137314135509435
2016/17,Contraceptive patch,45 and over,Undefined,Percentage (%),0.122544095785287
2017/18,Contraceptive patch,45 and over,Undefined,Percentage (%),0.110120497236399
2018/19,Contraceptive patch,45 and over,Undefined,Percentage (%),0.112304488095724
2016/17,Female condom,,Undefined,Percentage (%),0.126905010738116
2017/18,Female condom,,Undefined,Percentage (%),0.464249257666294
2014/15,Female condom,Under 16,Undefined,Percentage (%),0.151109711947112
2015/16,Female condom,Under 16,Undefined,Percentage (%),0.0949479764212525
2016/17,Female condom,Under 16,Undefined,Percentage (%),0.149149845878493
2017/18,Female condom,Under 16,Undefined,Percentage (%),0.314107771459518
2014/15,Female condom,16 to 17,Undefined,Percentage (%),0.124120810922631
2015/16,Female condom,16 to 17,Undefined,Percentage (%),0.102512879823362
2016/17,Female condom,16 to 17,Undefined,Percentage (%),0.157714355039277
2017/18,Female condom,16 to 17,Undefined,Percentage (%),0.360974293232575
2014/15,Female condom,18 to 19,Undefined,Percentage (%),0.108873162765378
2015/16,Female condom,18 to 19,Undefined,Percentage (%),0.107922627777624
2016/17,Female condom,18 to 19,Undefined,Percentage (%),0.103130608966413
2017/18,Female condom,18 to 19,Undefined,Percentage (%),0.372976548015309
2014/15,Female condom,20 to 24,Undefined,Percentage (%),0.109217087923548
2015/16,Female condom,20 to 24,Undefined,Percentage (%),0.0976122246570831
2016/17,Female condom,20 to 24,Undefined,Percentage (%),0.102525187290106
2017/18,Female condom,20 to 24,Undefined,Percentage (%),0.369198312236287
