Year,Units,Treatment type,Economic activity,Unit measure,Observation status,Unit multiplier,Value
2010,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Undefined,Units,0.0038699486486299998
2010,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Undefined,Units,0.0005480841006652448
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Undefined,Units,0.0004086066403119233
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Undefined,Units,5.532773537901788e-05
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Undefined,Units,2.71449051645332e-05
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Undefined,Units,0.0008429246828272183
2010,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Undefined,Units,0.00030390235002537174
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Undefined,Units,0.008320738935204564
2010,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Undefined,Units,0.0006916816279873079
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Undefined,Units,0.0027051596102378914
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Undefined,Units,0.0008231056930728312
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Undefined,Units,0.00015019138191553374
2010,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Undefined,Units,0.0007116835090959993
2010,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Undefined,Units,2.156444781743533e-05
2010,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Undefined,Units,0.010967392836203007
2010,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Undefined,Units,0.028672644120789983
2010,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Undefined,Units,0.00581871510804682
2010,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Undefined,Units,0.06493881633337867
2012,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Undefined,Units,0.003583547309821957
2012,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Undefined,Units,0.0019198362829434352
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Undefined,Units,0.0004805673637388258
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Undefined,Units,6.969105003154119e-05
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Undefined,Units,0.0002032923866076416
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Undefined,Units,0.0007927596812148198
2012,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Undefined,Units,0.0005020929462797547
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Undefined,Units,0.009577203496176304
2012,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Undefined,Units,0.0006516023273066247
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Undefined,Units,0.002674246342563889
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Undefined,Units,0.0009798842510844556
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Undefined,Units,0.00012876585045562878
