Year,Sex,Observation status,Unit multiplier,Unit measure,Value
2016,Male,Undefined,Units,Proportion,93.04769603880351
2016,Female,Undefined,Units,Proportion,94.9210526315789
2016,,Undefined,Units,Proportion,94.4433419329232
2015,Male,Undefined,Units,Proportion,93.2312651087832
2015,Female,Undefined,Units,Proportion,95.1940850277264
2015,,Undefined,Units,Proportion,94.71172962226629
2014,Male,Undefined,Units,Proportion,93.866020984665
2014,Female,Undefined,Units,Proportion,95.59214020180559
2014,,Undefined,Units,Proportion,95.1677316293929
2013,Male,Undefined,Units,Proportion,94.4488501189532
2013,Female,Undefined,Units,Proportion,96.1608300907911
2013,,Undefined,Units,Proportion,95.72182066809921
2012,Male,Undefined,Units,Proportion,95.10350573607641
2012,Female,Undefined,Units,Proportion,96.46594804773409
2012,,Undefined,Units,Proportion,96.1153082145335
