Year,Country,Region,Sex,Age,Unintentional poisoning category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,1.3590032072999998
2013,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.09957674643805098
2013,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.012409038798328595
2013,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.1343725201990174
2013,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.008315033823615479
2013,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.07073041776251937
2013,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.03359945028137866
2014,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,0.9867369510619456
2014,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.11719801335258945
2014,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.02737338215270749
2014,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.7322064519732444
2014,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.010521003942270877
2014,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.07197011918582401
2014,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.025732030445619853
2015,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,1.1638492436773755
2015,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.11923158732123786
2015,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.01974808904677135
2015,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.9001765279055581
2015,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.014463108168583446
2015,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.06807559111341183
2015,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.042154340121812996
2016,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,1.2369764408862418
2016,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.12504048285209207
2016,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.029266180704647725
2016,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.9777661318367048
2016,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.010337062141326316
2016,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.05451065916723377
2016,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.03652744060563631
2017,England and Wales,,,,,Undefined,Units,"Rate per 100,000 population",K04000001,1.3249241076038891
2017,England and Wales,,,,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.13515729119933315
2017,England and Wales,,,,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.031432188190284926
2017,England and Wales,,,,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.0348847293581172
2017,England and Wales,,,,X46 Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.008505757767808684
2017,England and Wales,,,,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.06047798427572495
2017,England and Wales,,,,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.05270302131755748
2013,England and Wales,,,10 to 14,,Undefined,Units,"Rate per 100,000 population",K04000001,0.09542673723579916
2014,England and Wales,,,10 to 14,,Undefined,Units,"Rate per 100,000 population",K04000001,0.12746379550218506
2017,England and Wales,,,10 to 14,,Undefined,Units,"Rate per 100,000 population",K04000001,0.08989660990894373
2013,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.4932264057170162
2013,England and Wales,,,15 to 19,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.3481598158002468
2013,England and Wales,,,15 to 19,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0870399539500617
2014,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.26320399391589344
2014,England and Wales,,,15 to 19,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.08773466463863115
2015,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.4118519215833941
2015,England and Wales,,,15 to 19,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.20592596079169706
2016,England and Wales,,,15 to 19,,Undefined,Units,"Rate per 100,000 population",K04000001,0.32719651482170464
