Year,Industry sector,Observation status,Unit multiplier,Unit measure,Value
1990,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.95
1990,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.47
1990,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.09
1990,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),11.51
1990,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.17
1990,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.07
1990,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.08
1990,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.38
1990,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
1990,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.11
1990,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1990,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1990,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1990,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1990,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.13
1990,Education,Normal value,Thousands,Tonnes per million GBP (£),0.05
1990,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1990,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.08
1990,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1990,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1991,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.91
1991,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.44
1991,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.15
1991,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),10.67
1991,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.2
1991,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.07
1991,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.08
1991,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.42
1991,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
1991,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.12
1991,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
1991,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.01
1991,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.03
1991,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1991,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.12
1991,Education,Normal value,Thousands,Tonnes per million GBP (£),0.06
1991,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1991,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.09
1991,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
1991,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1992,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.89
1992,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.44
1992,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),1.13
1992,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),9.8
