Year,Developing country participation,Institution,Observation status,Unit multiplier,Unit measure,Value
2000,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.69
2000,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.3
2000,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85
2000,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.17
2000,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.55
2000,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.57
2000,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.56
2000,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.53
2000,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.67
2000,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.71
2000,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),2.0
2000,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.75
2000,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85
2000,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.96
2000,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),4.33
2000,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),5.05
2000,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),5.03
2000,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.53
2000,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.67
2000,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.71
2005,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.56
2005,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.3
2005,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85
2005,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.13
2005,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.54
2005,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.56
2005,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.55
2005,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52
2005,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.67
2005,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.67
2005,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.96
2005,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.68
2005,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85
2005,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.96
2005,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),4.3
2005,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),5.04
2005,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.95
2005,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52
2005,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.67
2005,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.67
2010,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.49
2010,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.3
2010,Voting rights in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85
2010,Voting rights in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),4.17
2010,Voting rights in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),2.08
2010,Voting rights in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),0.53
2010,Voting rights in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),0.55
2010,Voting rights in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),0.55
2010,Voting rights in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52
2010,Voting rights in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.67
2010,Voting rights in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.65
2010,Membership in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),2.15
2010,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.65
2010,Membership in international organisations,UN Economic and Social Council,Undefined,Units,Percentage (%),1.85
2010,Membership in international organisations,Financial Stability Board,Undefined,Units,Percentage (%),5.77
2010,Membership in international organisations,InterAmerican Development Bank,Undefined,Units,Percentage (%),0.96
2010,Membership in international organisations,International Bank for Reconstruction and Development,Undefined,Units,Percentage (%),4.3
2010,Membership in international organisations,International Finance Corporation,Undefined,Units,Percentage (%),5.02
2010,Membership in international organisations,International Monetary Fund,Undefined,Units,Percentage (%),4.86
2010,Membership in international organisations,UN General Assembly,Undefined,Units,Percentage (%),0.52
2010,Membership in international organisations,UN Security Council,Undefined,Units,Percentage (%),6.67
2010,Membership in international organisations,World Trade Organisation,Undefined,Units,Percentage (%),0.65
2014,Voting rights in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.27
2014,Membership in international organisations,African Development Bank,Undefined,Units,Percentage (%),1.69
2015,Voting rights in international organisations,Asian Development Bank,Undefined,Units,Percentage (%),1.49
