Year,Sex,Age,Country,Region,GeoCode,Value
1981,,,,,,14.7
1982,,,,,,14.4
1983,,,,,,14.0
1984,,,,,,14.0
1985,,,,,,14.7
1986,,,,,,14.2
1987,,,,,,13.4
1988,,,,,,14.4
1989,,,,,,12.7
1990,,,,,,13.2
1991,,,,,,12.8
1992,,,,,,12.9
1993,,,,,,12.5
1994,,,,,,12.1
1995,,,,,,12.1
1996,,,,,,11.6
1997,,,,,,11.4
1998,,,,,,12.4
1999,,,,,,12.2
2000,,,,,,11.9
2001,,,,,,11.5
2002,,,,,,11.2
2003,,,,,,10.9
2004,,,,,,11.1
2005,,,,,,10.7
2006,,,,,,10.4
2007,,,,,,10.0
2008,,,,,,10.5
2009,,,,,,10.3
2010,,,,,,10.2
2011,,,,,,10.9
2012,,,,,,10.7
2013,,,,,,11.1
2014,,,,,,10.8
2015,,,,,,10.9
2016,,,,,,10.4
2017,,,,,,10.1
1981,Male,,,,,19.5
1981,Female,,,,,10.6
1981,Male,,England,,,19.3
1981,Female,,England,,,10.6
1981,Male,,Wales,,,16.0
1981,Female,,Wales,,,9.0
1981,Male,,Scotland,,,24.0
1981,Female,,Scotland,,,12.0
1981,Male,,Northern Ireland,,,18.5
1981,Female,,Northern Ireland,,,6.4
1982,Male,,,,,19.3
1982,Female,,,,,10.2
1982,Male,,England,,,18.7
1982,Female,,England,,,10.1
1982,Male,,Wales,,,20.9
1982,Female,,Wales,,,9.8
1982,Male,,Scotland,,,24.2
1982,Female,,Scotland,,,12.0
1982,Male,,Northern Ireland,,,12.2
1982,Female,,Northern Ireland,,,8.7
1983,Male,,,,,19.1
1983,Female,,,,,9.6
1983,Male,,England,,,18.6
1983,Female,,England,,,9.6
1983,Male,,Wales,,,19.9
1983,Female,,Wales,,,8.2
1983,Male,,Scotland,,,23.2
1983,Female,,Scotland,,,9.9
1983,Male,,Northern Ireland,,,18.1
1983,Female,,Northern Ireland,,,10.8
1984,Male,,,,,19.2
1984,Female,,,,,9.5
1984,Male,,England,,,18.8
