Year,Series,Sector,Type of study,Country income classification,Units,Unit multiplier,Observation status,Value
2009,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,15458.77
2010,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,12554.15
2011,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,8557.21
2012,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,21928.49
2013,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,16979.52
2014,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,18372.0
2015,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,70076.54
2016,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,92909.42
2017,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,94532.49935
2018,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,95956.719305411
2019,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,105578.83291
2020,"Total official flows for scholarships, by recipient countries",,,,GBP (£ thousands),Thousands,Normal value,78277.317945824
2009,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,33.47
2010,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,30.57
2011,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,1098.9
2012,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,3072.08
2013,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,2457.87
2014,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,2157.01
2015,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,5050.66
2016,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,82.57
2017,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,8603.58368
2018,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,11063.349519194
2019,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,11724.01215
2020,"Total official flows for scholarships, by recipient countries",,,LDCs,GBP (£ thousands),Thousands,Normal value,7962.71882048
2009,"Total official flows for scholarships, by recipient countries",,,LMICs,GBP (£ thousands),Thousands,Normal value,1.11
2010,"Total official flows for scholarships, by recipient countries",,,LMICs,GBP (£ thousands),Thousands,Normal value,9.14
2011,"Total official flows for scholarships, by recipient countries",,,LMICs,GBP (£ thousands),Thousands,Normal value,2815.51
2012,"Total official flows for scholarships, by recipient countries",,,LMICs,GBP (£ thousands),Thousands,Normal value,7186.1
2013,"Total official flows for scholarships, by recipient countries",,,LMICs,GBP (£ thousands),Thousands,Normal value,6090.38
2014,"Total official flows for scholarships, by recipient countries",,,LMICs,GBP (£ thousands),Thousands,Normal value,6876.64
