Year,Units,Sex,Occupation category,Occupation sub-category,Value
2011,"Rate per 10,000 population",All,Health professionals,,75.67305091899999
2011,"Rate per 10,000 population",All,Health professionals,Medical practitioners,38.121426442176904
2011,"Rate per 10,000 population",All,Health professionals,Psychologists,3.8909605089788455
2011,"Rate per 10,000 population",All,Health professionals,Pharmacists,9.845280436664877
2011,"Rate per 10,000 population",All,Health professionals,Ophthalmic opticians,3.0161896603065377
2011,"Rate per 10,000 population",All,Health professionals,Dental practitioners,5.32810661964984
2011,"Rate per 10,000 population",All,Health professionals,Medical radiographers,4.1330394360319485
2011,"Rate per 10,000 population",All,Health professionals,Podiatrists,1.8315514644076425
2011,"Rate per 10,000 population",All,Health professionals,Health professionals not elsewhere classifed,6.197662974462649
2011,"Rate per 10,000 population",All,Therapy professionals,,21.017096508193198
2011,"Rate per 10,000 population",All,Therapy professionals,Physiotherapists,7.254151033390221
2011,"Rate per 10,000 population",All,Therapy professionals,Occupational therapists,5.230611385973755
2011,"Rate per 10,000 population",All,Therapy professionals,Speech and language therapists,2.1927736754020235
2011,"Rate per 10,000 population",All,Therapy professionals,Therapy professionals not elsewhere classifed,6.3395604134271935
2011,"Rate per 10,000 population",All,Nursing and midwifery professionals,,95.35128662500496
2011,"Rate per 10,000 population",All,Nursing and midwifery professionals,Nurses,89.76545759672354
2011,"Rate per 10,000 population",All,Nursing and midwifery professionals,Midwives,5.585829028281438
2011,"Rate per 10,000 population",All,Health associate professionals,,21.05502009989864
2011,"Rate per 10,000 population",All,Health associate professionals,Paramedics,2.142682931357746
2011,"Rate per 10,000 population",All,Health associate professionals,Pharmaceutical technicians,4.6581231661869476
2011,"Rate per 10,000 population",All,Health associate professionals,Medical and dental technicians,5.080813198737238
2011,"Rate per 10,000 population",All,Health associate professionals,Health associate professionals not elsewhere classified,8.038379306865773
2011,"Rate per 10,000 population",Male,Health professionals,,74.08144878620973
2011,"Rate per 10,000 population",Male,Health professionals,Medical practitioners,45.741652021485244
2011,"Rate per 10,000 population",Male,Health professionals,Pharmacists,7.714506284942992
2011,"Rate per 10,000 population",Male,Health professionals,Dental practitioners,6.323386894002459
2011,"Rate per 10,000 population",Male,Health professionals,Health professionals not elsewhere classifed,3.2961104385437965
2011,"Rate per 10,000 population",Male,Therapy professionals,,6.926977068943599
2011,"Rate per 10,000 population",Male,Therapy professionals,Therapy professionals not elsewhere classifed,4.18943676032669
2011,"Rate per 10,000 population",Male,Nursing and midwifery professionals,,22.840598266233048
2011,"Rate per 10,000 population",Male,Nursing and midwifery professionals,Nurses,22.47722218861797
2011,"Rate per 10,000 population",Male,Health associate professionals,,11.499405783641574
2011,"Rate per 10,000 population",Male,Health associate professionals,Medical and dental technicians,3.648874648405508
2011,"Rate per 10,000 population",Male,Health associate professionals,Health associate professionals not elsewhere classified,3.4768337621010263
2011,"Rate per 10,000 population",Female,Health professionals,,77.21072455643716
2011,"Rate per 10,000 population",Female,Health professionals,Medical practitioners,30.75939811642181
2011,"Rate per 10,000 population",Female,Health professionals,Psychologists,5.2814900611988
2011,"Rate per 10,000 population",Female,Health professionals,Pharmacists,11.903857246170187
2011,"Rate per 10,000 population",Female,Health professionals,Ophthalmic opticians,3.5075307524079085
2011,"Rate per 10,000 population",Female,Health professionals,Dental practitioners,4.366549577067596
2011,"Rate per 10,000 population",Female,Health professionals,Medical radiographers,6.2355757069600655
2011,"Rate per 10,000 population",Female,Health professionals,Health professionals not elsewhere classifed,9.000901767826567
2011,"Rate per 10,000 population",Female,Therapy professionals,,34.62979830362267
2011,"Rate per 10,000 population",Female,Therapy professionals,Physiotherapists,12.507189816690664
2011,"Rate per 10,000 population",Female,Therapy professionals,Occupational therapists,9.394528115328852
2011,"Rate per 10,000 population",Female,Therapy professionals,Speech and language therapists,4.311249269367987
2011,"Rate per 10,000 population",Female,Therapy professionals,Therapy professionals not elsewhere classifed,8.41683110223517
2011,"Rate per 10,000 population",Female,Nursing and midwifery professionals,,165.40508438485213
2011,"Rate per 10,000 population",Female,Nursing and midwifery professionals,Nurses,154.77375556754487
2011,"Rate per 10,000 population",Female,Nursing and midwifery professionals,Midwives,10.631328817307233
2011,"Rate per 10,000 population",Female,Health associate professionals,,30.286860093887487
2011,"Rate per 10,000 population",Female,Health associate professionals,Pharmaceutical technicians,7.778702832487975
