Year,Series,Water resources management category,Water resources management sub-category,Units,Observation status,Unit multiplier,Value
2017,Degree of integrated water resources management implementation,Enabling environment,Arrangements for transboundary water management in most important basins and aquifers,Integrated Water Resources Management score,Normal value,Units,60.0
2017,Degree of integrated water resources management implementation,Enabling environment,Basin and aquifer management plans,Integrated Water Resources Management score,Normal value,Units,70.0
2017,Degree of integrated water resources management implementation,Enabling environment,National integrated water resources management (IWRM) plans,Integrated Water Resources Management score,Normal value,Units,70.0
2017,Degree of integrated water resources management implementation,Enabling environment,National water resources law,Integrated Water Resources Management score,Normal value,Units,90.0
2017,Degree of integrated water resources management implementation,Enabling environment,National water resources policy,Integrated Water Resources Management score,Normal value,Units,100.0
2017,Degree of integrated water resources management implementation,Enabling environment,Sub-national water resources regulations,Integrated Water Resources Management score,Normal value,Units,100.0
2017,Degree of integrated water resources management implementation,Enabling environment,Sub-national water resources policies,Integrated Water Resources Management score,Normal value,Units,90.0
2017,Degree of integrated water resources management implementation,Enabling environment,,Integrated Water Resources Management score,Normal value,Units,83.0
2017,Degree of integrated water resources management implementation,Financing,Financing for transboundary cooperation,Integrated Water Resources Management score,Normal value,Units,10.0
2017,Degree of integrated water resources management implementation,Financing,National budget for investment including water resources infrastructure,Integrated Water Resources Management score,Normal value,Units,80.0
2017,Degree of integrated water resources management implementation,Financing,National budget for the recurrent costs of the integrated water resources management (IWRM) elements,Integrated Water Resources Management score,Normal value,Units,80.0
2017,Degree of integrated water resources management implementation,Financing,"Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels",Integrated Water Resources Management score,Normal value,Units,80.0
2017,Degree of integrated water resources management implementation,Financing,Sub-national or basin budgets for investment including water resources infrastructure,Integrated Water Resources Management score,Normal value,Units,80.0
2017,Degree of integrated water resources management implementation,Financing,,Integrated Water Resources Management score,Normal value,Units,66.0
2017,Degree of integrated water resources management implementation,Institutions and participation,Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,Integrated Water Resources Management score,Normal value,Units,80.0
