Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2009,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),73182.75
2010,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),92399.81
2011,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),109656.17
2012,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),106672.36
2013,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),128337.53
2014,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),180841.9
2015,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),183180.26
2016,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),170106.15
2017,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),177177.2797385
2018,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),206641.9366058
2019,Net official development assistance for water supply and sanitation,,Normal value,Thousands,GBP (£),175743.588748
2009,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),40898.82
2010,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),40974.82
2011,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),66884.99
2012,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),66185.89
2013,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),79195.3
2014,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),119066.08
2015,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),89739.75
2016,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),100401.72
2017,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),102732.6400169
2018,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),111188.4095742
2019,Net official development assistance for water supply and sanitation,LDCs,Normal value,Thousands,GBP (£),96884.5794575
2009,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),9069.15
2010,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),9120.14
2011,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),14637.98
2012,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),7831.68
2013,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),7498.51
2014,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),9837.37
2015,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),20288.09
2016,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),18903.37
2017,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),13759.150305
2018,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),27410.9304078
2019,Net official development assistance for water supply and sanitation,LMICs,Normal value,Thousands,GBP (£),20986.5361109
2009,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),4357.65
2010,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),17889.93
2011,Net official development assistance for water supply and sanitation,Other LICs,Normal value,Thousands,GBP (£),3154.26
