Year,Productivity,Outputs,Inputs,Observation status,Unit multiplier,Unit measure,Value
1973,,All outputs,,Definition differs,Units,Index,100
1974,,All outputs,,Definition differs,Units,Index,103.1082566
1975,,All outputs,,Definition differs,Units,Index,99.13265927
1976,,All outputs,,Definition differs,Units,Index,96.53221236
1977,,All outputs,,Definition differs,Units,Index,102.9812431
1978,,All outputs,,Definition differs,Units,Index,107.5970748
1979,,All outputs,,Definition differs,Units,Index,110.115183
1980,,All outputs,,Definition differs,Units,Index,113.1339783
1981,,All outputs,,Definition differs,Units,Index,113.0931826
1982,,All outputs,,Definition differs,Units,Index,120.2249842
1983,,All outputs,,Definition differs,Units,Index,118.9025466
1984,,All outputs,,Definition differs,Units,Index,128.5559682
1985,,All outputs,,Definition differs,Units,Index,124.519322
1986,,All outputs,,Definition differs,Units,Index,125.6654574
1987,,All outputs,,Definition differs,Units,Index,123.8869083
1988,,All outputs,,Definition differs,Units,Index,123.9386279
1989,,All outputs,,Definition differs,Units,Index,125.8229686
1990,,All outputs,,Definition differs,Units,Index,125.2563353
1991,,All outputs,,Definition differs,Units,Index,127.7365703
1992,,All outputs,,Definition differs,Units,Index,128.1249368
1993,,All outputs,,Definition differs,Units,Index,124.953226
1994,,All outputs,,Definition differs,Units,Index,127.1652651
1995,,All outputs,,Definition differs,Units,Index,127.3428189
1996,,All outputs,,Definition differs,Units,Index,126.1477364
1997,,All outputs,,Definition differs,Units,Index,126.532944
1998,,All outputs,,Definition differs,Units,Index,126.3251495
1999,,All outputs,,Definition differs,Units,Index,128.1169564
2000,,All outputs,,Definition differs,Units,Index,123.9264289
2001,,All outputs,,Definition differs,Units,Index,119.3284748
2002,,All outputs,,Definition differs,Units,Index,123.6200587
2003,,All outputs,,Definition differs,Units,Index,122.3972516
2004,,All outputs,,Definition differs,Units,Index,123.3603055
2005,,All outputs,,Definition differs,Units,Index,124.861309
2006,,All outputs,,Definition differs,Units,Index,121.0482999
2007,,All outputs,,Definition differs,Units,Index,120.0488635
2008,,All outputs,,Definition differs,Units,Index,125.3956346
2009,,All outputs,,Definition differs,Units,Index,122.5418914
2010,,All outputs,,Definition differs,Units,Index,124.1653163
2011,,All outputs,,Definition differs,Units,Index,129.7890188
2012,,All outputs,,Definition differs,Units,Index,123.0496159
2013,,All outputs,,Definition differs,Units,Index,125.2947937
2014,,All outputs,,Definition differs,Units,Index,134.1886761
2015,,All outputs,,Definition differs,Units,Index,136.8023996
2016,,All outputs,,Definition differs,Units,Index,133.1002652
2017,,All outputs,,Definition differs,Units,Index,138.3992
2018,,All outputs,,Definition differs,Units,Index,135.2320526
2019,,All outputs,,Definition differs,Units,Index,140.5523795
2020,,All outputs,,Definition differs,Units,Index,132.6037749
1973,,,All inputs,Definition differs,Units,Index,100
1974,,,All inputs,Definition differs,Units,Index,97.02446138
1975,,,All inputs,Definition differs,Units,Index,96.74653065
1976,,,All inputs,Definition differs,Units,Index,98.2718076
1977,,,All inputs,Definition differs,Units,Index,97.92577038
1978,,,All inputs,Definition differs,Units,Index,98.42231182
1979,,,All inputs,Definition differs,Units,Index,100.460104
1980,,,All inputs,Definition differs,Units,Index,98.63383152
1981,,,All inputs,Definition differs,Units,Index,96.88154543
1982,,,All inputs,Definition differs,Units,Index,100.5875385
1983,,,All inputs,Definition differs,Units,Index,101.908488
1984,,,All inputs,Definition differs,Units,Index,100.7585203
1985,,,All inputs,Definition differs,Units,Index,101.4061009
1986,,,All inputs,Definition differs,Units,Index,101.9192399
1987,,,All inputs,Definition differs,Units,Index,101.7280737
1988,,,All inputs,Definition differs,Units,Index,102.1954879
1989,,,All inputs,Definition differs,Units,Index,100.5903349
1990,,,All inputs,Definition differs,Units,Index,99.55260483
1991,,,All inputs,Definition differs,Units,Index,98.89239517
1992,,,All inputs,Definition differs,Units,Index,98.05430528
1993,,,All inputs,Definition differs,Units,Index,97.97837685
1994,,,All inputs,Definition differs,Units,Index,98.84047067
1995,,,All inputs,Definition differs,Units,Index,100.094313
1996,,,All inputs,Definition differs,Units,Index,99.9321734
1997,,,All inputs,Definition differs,Units,Index,98.80598174
1998,,,All inputs,Definition differs,Units,Index,96.27478804
1999,,,All inputs,Definition differs,Units,Index,93.69254653
2000,,,All inputs,Definition differs,Units,Index,88.88553855
2001,,,All inputs,Definition differs,Units,Index,87.25753608
2002,,,All inputs,Definition differs,Units,Index,85.32878268
2003,,,All inputs,Definition differs,Units,Index,84.33118264
2004,,,All inputs,Definition differs,Units,Index,84.70528468
2005,,,All inputs,Definition differs,Units,Index,83.21997053
2006,,,All inputs,Definition differs,Units,Index,81.77042967
