Year,Units,Endangered species,Value
2013,Number,,569.0
2013,Number,Caviar and caviar extract,24.0
2013,Number,Live coral and coral derivatives,18.0
2013,Number,Ivory and items containing ivory,43.0
2013,Number,Live animals and birds,14.0
2013,Number,Live plants,6.0
2013,Number,Parts or derivatives of animals or birds,128.0
2013,Number,Parts or derivatives of plants,15.0
2013,Number,Timber or wood products,142.0
2013,Number,Preparations of oriental medicine which include parts and derivatives of endangered species,187.0
2013,Number,Butterflies,0.0
2014,Number,,512.0
2014,Number,Caviar and caviar extract,22.0
2014,Number,Live coral and coral derivatives,14.0
2014,Number,Ivory and items containing ivory,40.0
2014,Number,Live animals and birds,23.0
2014,Number,Live plants,6.0
2014,Number,Parts or derivatives of animals or birds,140.0
2014,Number,Parts or derivatives of plants,35.0
2014,Number,Timber or wood products,33.0
2014,Number,Preparations of oriental medicine which include parts and derivatives of endangered species,210.0
2014,Number,Butterflies,0.0
2015,Number,,854.0
2015,Number,Caviar and caviar extract,31.0
2015,Number,Live coral and coral derivatives,22.0
2015,Number,Ivory and items containing ivory,182.0
2015,Number,Live animals and birds,13.0
2015,Number,Live plants,45.0
2015,Number,Parts or derivatives of animals or birds,179.0
2015,Number,Parts or derivatives of plants,27.0
2015,Number,Timber or wood products,26.0
2015,Number,Preparations of oriental medicine which include parts and derivatives of endangered species,332.0
2015,Number,Butterflies,0.0
2016,Number,,689.0
2016,Number,Caviar and caviar extract,20.0
2016,Number,Live coral and coral derivatives,16.0
2016,Number,Ivory and items containing ivory,161.0
2016,Number,Live animals and birds,12.0
2016,Number,Live plants,36.0
2016,Number,Parts or derivatives of animals or birds,220.0
2016,Number,Parts or derivatives of plants,69.0
2016,Number,Timber or wood products,18.0
2016,Number,Preparations of oriental medicine which include parts and derivatives of endangered species,141.0
2016,Number,Butterflies,0.0
2017,Number,,1076.0
2017,Number,Caviar and caviar extract,28.0
2017,Number,Live coral and coral derivatives,21.0
2017,Number,Ivory and items containing ivory,176.0
2017,Number,Live animals and birds,13.0
2017,Number,Live plants,37.0
2017,Number,Parts or derivatives of animals or birds,168.0
2017,Number,Parts or derivatives of plants,171.0
2017,Number,Timber or wood products,401.0
2017,Number,Preparations of oriental medicine which include parts and derivatives of endangered species,69.0
2017,Number,Butterflies,1.0
