Year,Sex,Age,Nationality,Unit measure,Unit multiplier,Observation status,Value
2002,,,,Percentage (%),Units,Undefined,18.3675475301
2003,,,,Percentage (%),Units,Undefined,17.748482832588802
2004,,,,Percentage (%),Units,Undefined,16.7745140156803
2005,,,,Percentage (%),Units,Undefined,16.8841055256595
2006,,,,Percentage (%),Units,Undefined,16.7564309712497
2007,,,,Percentage (%),Units,Undefined,16.1085609652093
2008,,,,Percentage (%),Units,Undefined,16.1550111786907
2009,,,,Percentage (%),Units,Undefined,16.123852661346298
2009a,,,,Percentage (%),Units,Undefined,15.9201832332026
2010,,,,Percentage (%),Units,Undefined,15.298463565563098
2011,,,,Percentage (%),Units,Undefined,14.5992925246562
2012,,,,Percentage (%),Units,Undefined,13.1600966902194
2013,,,,Percentage (%),Units,Undefined,13.085327162997
2014,,,,Percentage (%),Units,Undefined,14.263995602802
2015,,,,Percentage (%),Units,Undefined,13.672804056013801
2016,,,,Percentage (%),Units,Undefined,10.9098597505109
2017,,,,Percentage (%),Units,Undefined,11.2248582043487
2018,,,,Percentage (%),Units,Undefined,11.2174259722373
2002,,15 to 17,,Percentage (%),Units,Undefined,19.398380254531396
2003,,15 to 17,,Percentage (%),Units,Undefined,20.984915705412604
2004,,15 to 17,,Percentage (%),Units,Undefined,22.4175824175824
2005,,15 to 17,,Percentage (%),Units,Undefined,20.8852599914052
2006,,15 to 17,,Percentage (%),Units,Undefined,23.5245901639344
2007,,15 to 17,,Percentage (%),Units,Undefined,22.3960477562783
2008,,15 to 17,,Percentage (%),Units,Undefined,23.4665611396913
2009,,15 to 17,,Percentage (%),Units,Undefined,25.8325404376784
2009a,,15 to 17,,Percentage (%),Units,Undefined,24.245283018867898
2010,,15 to 17,,Percentage (%),Units,Undefined,28.442028985507196
2011,,15 to 17,,Percentage (%),Units,Undefined,27.1979759645793
2012,,15 to 17,,Percentage (%),Units,Undefined,22.2308892355694
2013,,15 to 17,,Percentage (%),Units,Undefined,21.247113163972198
2014,,15 to 17,,Percentage (%),Units,Undefined,25.2361673414304
2015,,15 to 17,,Percentage (%),Units,Undefined,22.647058823529395
2016,,15 to 17,,Percentage (%),Units,Undefined,23.307086614173198
2017,,15 to 17,,Percentage (%),Units,Undefined,27.580893682588602
2018,,15 to 17,,Percentage (%),Units,Undefined,30.8411214953271
2002,,18 to 20,,Percentage (%),Units,Undefined,25.1980792316926
2003,,18 to 20,,Percentage (%),Units,Undefined,22.9578351164254
2004,,18 to 20,,Percentage (%),Units,Undefined,23.216132368148898
2005,,18 to 20,,Percentage (%),Units,Undefined,23.6845474331071
2006,,18 to 20,,Percentage (%),Units,Undefined,23.9410221167062
2007,,18 to 20,,Percentage (%),Units,Undefined,22.353760445682397
2008,,18 to 20,,Percentage (%),Units,Undefined,21.971671388101896
2009,,18 to 20,,Percentage (%),Units,Undefined,22.393563526651
2009a,,18 to 20,,Percentage (%),Units,Undefined,22.7086183310533
2010,,18 to 20,,Percentage (%),Units,Undefined,21.9864770342737
2011,,18 to 20,,Percentage (%),Units,Undefined,21.533997729279598
2012,,18 to 20,,Percentage (%),Units,Undefined,20.1934703748488
2013,,18 to 20,,Percentage (%),Units,Undefined,20.105229591836697
2014,,18 to 20,,Percentage (%),Units,Undefined,22.2066304157165
2015,,18 to 20,,Percentage (%),Units,Undefined,23.465346534653396
2016,,18 to 20,,Percentage (%),Units,Undefined,19.0173283614827
2017,,18 to 20,,Percentage (%),Units,Undefined,21.1816192560175
2018,,18 to 20,,Percentage (%),Units,Undefined,22.4003772695119
2002,,21 to 24,,Percentage (%),Units,Undefined,20.2501716116238
2003,,21 to 24,,Percentage (%),Units,Undefined,19.4373025784176
2004,,21 to 24,,Percentage (%),Units,Undefined,17.744860943168
2005,,21 to 24,,Percentage (%),Units,Undefined,17.3248997223079
2006,,21 to 24,,Percentage (%),Units,Undefined,17.7994296577946
2007,,21 to 24,,Percentage (%),Units,Undefined,17.401174168297402
2008,,21 to 24,,Percentage (%),Units,Undefined,16.9491525423728
2009,,21 to 24,,Percentage (%),Units,Undefined,17.0666666666666
2009a,,21 to 24,,Percentage (%),Units,Undefined,17.3341002228772
2010,,21 to 24,,Percentage (%),Units,Undefined,16.0431553874176
2011,,21 to 24,,Percentage (%),Units,Undefined,14.892859685342
2012,,21 to 24,,Percentage (%),Units,Undefined,14.059264548375499
2013,,21 to 24,,Percentage (%),Units,Undefined,13.9057869287162
2014,,21 to 24,,Percentage (%),Units,Undefined,17.189128517598
2015,,21 to 24,,Percentage (%),Units,Undefined,16.1738839098752
2016,,21 to 24,,Percentage (%),Units,Undefined,12.6854735299505
2017,,21 to 24,,Percentage (%),Units,Undefined,13.4513614933128
2018,,21 to 24,,Percentage (%),Units,Undefined,14.207082770796498
2002,,25 to 29,,Percentage (%),Units,Undefined,18.5822486947569
2003,,25 to 29,,Percentage (%),Units,Undefined,18.2950397251449
2004,,25 to 29,,Percentage (%),Units,Undefined,16.9462730940751
2005,,25 to 29,,Percentage (%),Units,Undefined,16.618911174785097
2006,,25 to 29,,Percentage (%),Units,Undefined,16.5424138625831
2007,,25 to 29,,Percentage (%),Units,Undefined,15.9288511316121
2008,,25 to 29,,Percentage (%),Units,Undefined,16.550852811118098
2009,,25 to 29,,Percentage (%),Units,Undefined,15.6575121163166
2009a,,25 to 29,,Percentage (%),Units,Undefined,15.603799185888699
2010,,25 to 29,,Percentage (%),Units,Undefined,15.5680224403927
2011,,25 to 29,,Percentage (%),Units,Undefined,14.6472145116519
2012,,25 to 29,,Percentage (%),Units,Undefined,13.3547351524879
2013,,25 to 29,,Percentage (%),Units,Undefined,14.0695030854173
2014,,25 to 29,,Percentage (%),Units,Undefined,14.780614774417401
2015,,25 to 29,,Percentage (%),Units,Undefined,14.5263550472401
2016,,25 to 29,,Percentage (%),Units,Undefined,11.672979797979698
2017,,25 to 29,,Percentage (%),Units,Undefined,11.6337108850067
2018,,25 to 29,,Percentage (%),Units,Undefined,11.921926006528802
2002,,30 to 39,,Percentage (%),Units,Undefined,17.914766318473802
2003,,30 to 39,,Percentage (%),Units,Undefined,17.5810473815461
2004,,30 to 39,,Percentage (%),Units,Undefined,15.6922795630113
2005,,30 to 39,,Percentage (%),Units,Undefined,16.812832280637902
2006,,30 to 39,,Percentage (%),Units,Undefined,16.0428051001821
2007,,30 to 39,,Percentage (%),Units,Undefined,15.4945362846735
2008,,30 to 39,,Percentage (%),Units,Undefined,15.5808263863718
2009,,30 to 39,,Percentage (%),Units,Undefined,15.6378032500115
2009a,,30 to 39,,Percentage (%),Units,Undefined,15.2218996267109
2010,,30 to 39,,Percentage (%),Units,Undefined,14.8514851485148
