Year,Type of partner abuse,Abuse sub-category,Age,Ethnicity,Ethnic group,Disability status,Household income,Region,Highest qualification,GeoCode,Value,Units
2004/05,,,,,,,,,,,8.7,Percentage (%)
2005/06,,,,,,,,,,,9.2,Percentage (%)
2006/07,,,,,,,,,,,8.7,Percentage (%)
2008/09,,,,,,,,,,,7.0,Percentage (%)
2009/10,,,,,,,,,,,7.4,Percentage (%)
2010/11,,,,,,,,,,,7.4,Percentage (%)
2011/12,,,,,,,,,,,6.9,Percentage (%)
2012/13,,,,,,,,,,,6.7,Percentage (%)
2013/14,,,,,,,,,,,6.8,Percentage (%)
2014/15,,,,,,,,,,,6.5,Percentage (%)
2015/16,,,,,,,,,,,6.2,Percentage (%)
2016/17,,,,,,,,,,,5.9,Percentage (%)
2017/18,,,,,,,,,,,6.3,Percentage (%)
2004/05,Non-sexual,,,,,,,,,,8.6,Percentage (%)
2005/06,Non-sexual,,,,,,,,,,8.8,Percentage (%)
2006/07,Non-sexual,,,,,,,,,,8.6,Percentage (%)
2007/08,Non-sexual,,,,,,,,,,7.5,Percentage (%)
2008/09,Non-sexual,,,,,,,,,,6.5,Percentage (%)
2009/10,Non-sexual,,,,,,,,,,7.2,Percentage (%)
2010/11,Non-sexual,,,,,,,,,,6.4,Percentage (%)
2011/12,Non-sexual,,,,,,,,,,7.0,Percentage (%)
2012/13,Non-sexual,,,,,,,,,,6.1,Percentage (%)
2013/14,Non-sexual,,,,,,,,,,5.9,Percentage (%)
2014/15,Non-sexual,,,,,,,,,,5.8,Percentage (%)
2015/16,Non-sexual,,,,,,,,,,5.4,Percentage (%)
2016/17,Non-sexual,,,,,,,,,,5.2,Percentage (%)
2017/18,Non-sexual,,,,,,,,,,5.6,Percentage (%)
2004/05,Sexual (including attempts),,,,,,,,,,0.5,Percentage (%)
2005/06,Sexual (including attempts),,,,,,,,,,0.6,Percentage (%)
2006/07,Sexual (including attempts),,,,,,,,,,0.5,Percentage (%)
2007/08,Sexual (including attempts),,,,,,,,,,0.5,Percentage (%)
2008/09,Sexual (including attempts),,,,,,,,,,0.4,Percentage (%)
2009/10,Sexual (including attempts),,,,,,,,,,0.4,Percentage (%)
2010/11,Sexual (including attempts),,,,,,,,,,0.6,Percentage (%)
2011/12,Sexual (including attempts),,,,,,,,,,0.5,Percentage (%)
2012/13,Sexual (including attempts),,,,,,,,,,0.4,Percentage (%)
2013/14,Sexual (including attempts),,,,,,,,,,0.4,Percentage (%)
2014/15,Sexual (including attempts),,,,,,,,,,0.5,Percentage (%)
2015/16,Sexual (including attempts),,,,,,,,,,0.5,Percentage (%)
2016/17,Sexual (including attempts),,,,,,,,,,0.4,Percentage (%)
2017/18,Sexual (including attempts),,,,,,,,,,0.4,Percentage (%)
2004/05,Stalking by a partner/ex-partner,,,,,,,,,,1.2,Percentage (%)
2005/06,Stalking by a partner/ex-partner,,,,,,,,,,1.4,Percentage (%)
2006/07,Stalking by a partner/ex-partner,,,,,,,,,,1.4,Percentage (%)
2008/09,Stalking by a partner/ex-partner,,,,,,,,,,1.0,Percentage (%)
2009/10,Stalking by a partner/ex-partner,,,,,,,,,,1.1,Percentage (%)
2010/11,Stalking by a partner/ex-partner,,,,,,,,,,1.3,Percentage (%)
2011/12,Stalking by a partner/ex-partner,,,,,,,,,,1.1,Percentage (%)
2012/13,Stalking by a partner/ex-partner,,,,,,,,,,1.1,Percentage (%)
2013/14,Stalking by a partner/ex-partner,,,,,,,,,,1.6,Percentage (%)
2014/15,Stalking by a partner/ex-partner,,,,,,,,,,1.6,Percentage (%)
2015/16,Stalking by a partner/ex-partner,,,,,,,,,,1.3,Percentage (%)
2016/17,Stalking by a partner/ex-partner,,,,,,,,,,1.3,Percentage (%)
2017/18,Stalking by a partner/ex-partner,,,,,,,,,,1.4,Percentage (%)
2004/05,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,5.9,Percentage (%)
2005/06,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,5.6,Percentage (%)
2006/07,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,5.5,Percentage (%)
2007/08,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,5.3,Percentage (%)
2008/09,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.2,Percentage (%)
2009/10,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.6,Percentage (%)
2010/11,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.4,Percentage (%)
2011/12,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.7,Percentage (%)
2012/13,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.5,Percentage (%)
2013/14,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.2,Percentage (%)
2014/15,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.0,Percentage (%)
2015/16,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,3.9,Percentage (%)
2016/17,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.0,Percentage (%)
2017/18,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,4.5,Percentage (%)
2004/05,Non-sexual,Threats or force,,,,,,,,,5.6,Percentage (%)
2005/06,Non-sexual,Threats or force,,,,,,,,,6.1,Percentage (%)
2006/07,Non-sexual,Threats or force,,,,,,,,,5.9,Percentage (%)
2007/08,Non-sexual,Threats or force,,,,,,,,,4.6,Percentage (%)
2008/09,Non-sexual,Threats or force,,,,,,,,,4.5,Percentage (%)
2009/10,Non-sexual,Threats or force,,,,,,,,,4.9,Percentage (%)
2010/11,Non-sexual,Threats or force,,,,,,,,,4.2,Percentage (%)
2011/12,Non-sexual,Threats or force,,,,,,,,,4.5,Percentage (%)
2012/13,Non-sexual,Threats or force,,,,,,,,,3.7,Percentage (%)
2013/14,Non-sexual,Threats or force,,,,,,,,,3.6,Percentage (%)
2014/15,Non-sexual,Threats or force,,,,,,,,,3.6,Percentage (%)
2015/16,Non-sexual,Threats or force,,,,,,,,,3.0,Percentage (%)
2016/17,Non-sexual,Threats or force,,,,,,,,,2.8,Percentage (%)
2017/18,Non-sexual,Threats or force,,,,,,,,,3.0,Percentage (%)
2004/05,Non-sexual,Threats,,,,,,,,,4.2,Percentage (%)
2005/06,Non-sexual,Threats,,,,,,,,,4.8,Percentage (%)
2006/07,Non-sexual,Threats,,,,,,,,,4.7,Percentage (%)
2007/08,Non-sexual,Threats,,,,,,,,,4.0,Percentage (%)
2008/09,Non-sexual,Threats,,,,,,,,,3.3,Percentage (%)
2009/10,Non-sexual,Threats,,,,,,,,,4.1,Percentage (%)
2010/11,Non-sexual,Threats,,,,,,,,,3.3,Percentage (%)
2011/12,Non-sexual,Threats,,,,,,,,,3.4,Percentage (%)
2012/13,Non-sexual,Threats,,,,,,,,,3.0,Percentage (%)
2013/14,Non-sexual,Threats,,,,,,,,,2.8,Percentage (%)
2014/15,Non-sexual,Threats,,,,,,,,,2.9,Percentage (%)
2015/16,Non-sexual,Threats,,,,,,,,,2.3,Percentage (%)
2016/17,Non-sexual,Threats,,,,,,,,,2.2,Percentage (%)
2017/18,Non-sexual,Threats,,,,,,,,,2.3,Percentage (%)
2004/05,Non-sexual,Force,,,,,,,,,3.6,Percentage (%)
2005/06,Non-sexual,Force,,,,,,,,,3.9,Percentage (%)
2006/07,Non-sexual,Force,,,,,,,,,3.5,Percentage (%)
2007/08,Non-sexual,Force,,,,,,,,,2.9,Percentage (%)
2008/09,Non-sexual,Force,,,,,,,,,2.9,Percentage (%)
2009/10,Non-sexual,Force,,,,,,,,,2.9,Percentage (%)
2010/11,Non-sexual,Force,,,,,,,,,2.8,Percentage (%)
2011/12,Non-sexual,Force,,,,,,,,,3.0,Percentage (%)
2012/13,Non-sexual,Force,,,,,,,,,2.1,Percentage (%)
2013/14,Non-sexual,Force,,,,,,,,,2.0,Percentage (%)
2014/15,Non-sexual,Force,,,,,,,,,1.9,Percentage (%)
2015/16,Non-sexual,Force,,,,,,,,,1.7,Percentage (%)
2016/17,Non-sexual,Force,,,,,,,,,1.5,Percentage (%)
2017/18,Non-sexual,Force,,,,,,,,,1.7,Percentage (%)
2004/05,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
2005/06,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
2006/07,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
2007/08,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
2008/09,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.2,Percentage (%)
2009/10,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.2,Percentage (%)
2010/11,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.4,Percentage (%)
2011/12,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
2012/13,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
2013/14,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.2,Percentage (%)
2014/15,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
2015/16,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,,0.3,Percentage (%)
