Year,Series,Age,Sex,Region,Household income,Deprivation quantile,Employment status,Highest qualification,Disability status,Country of birth,Observation status,Unit multiplier,Units,GeoCode,Value
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,,,,,,,Born in UK,Normal value,Units,Percentage (%),,10.0
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,,,,,,,Born in UK,Normal value,Units,Percentage (%),,42.0
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,,,,,,,Not born in UK,Normal value,Units,Percentage (%),,13.3
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,,,,,,,Not born in UK,Normal value,Units,Percentage (%),,44.1
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,East Midlands,,,Fulfilling domestic tasks,,Disability and/or work-limiting disabled,,Normal value,Units,Percentage (%),E12000004,12.6
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,East Midlands,,,Fulfilling domestic tasks,,Disability and/or work-limiting disabled,,Normal value,Units,Percentage (%),E12000004,41.1
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,East of England,,,Full-time,,No disability,,Normal value,Units,Percentage (%),E12000006,8.2
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,East of England,,,Full-time,,No disability,,Normal value,Units,Percentage (%),E12000006,41.4
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,,,,,A level or equivalent,,,Normal value,Units,Percentage (%),,15.4
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,,,,,A level or equivalent,,,Normal value,Units,Percentage (%),,47.8
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,,,,,Degree or equivalent,,,Normal value,Units,Percentage (%),,16.1
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,,,,,Degree or equivalent,,,Normal value,Units,Percentage (%),,63.0
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,,,,,GCSE or equivalent,,,Normal value,Units,Percentage (%),,6.7
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,,,,,GCSE or equivalent,,,Normal value,Units,Percentage (%),,32.8
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,,,,,Higher Education,,,Normal value,Units,Percentage (%),,11.9
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,,,,,Higher Education,,,Normal value,Units,Percentage (%),,51.1
2016,Percentage of adults who have participated in formal learning in the last 12 months,,,,,,,No qualification,,,Normal value,Units,Percentage (%),,1.0
2016,Percentage of adults who have participated in non-formal learning in the last 12 months,,,,,,,No qualification,,,Normal value,Units,Percentage (%),,13.2
