Year,Series,Units,Unit multiplier,Observation status,Value
1987,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.183732115890759
1988,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.178702852438891
1989,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.181747550887678
1990,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.192015501781238
1991,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.182807324254822
1992,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172366638583156
1993,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.166582858657349
1994,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172634287156158
1995,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.103934088787601
1996,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.0999878373148047
1997,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.105574978430357
1998,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.0841051625538447
1999,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.322442231834984
2000,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.304560872805126
2001,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.300583640293896
2002,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.293142719395279
2003,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.276598675258128
2004,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.245084570650265
2005,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.237549242499683
2006,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.225310157619213
2007,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.211985610843082
2008,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.204506122704368
2009,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.216863785637961
2010,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.198740055880487
2011,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.19123153781258
2012,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.182708540165736
2013,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.172432120626788
2014,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.161018778770819
2015,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.170481623894417
2016,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.169735607746406
2017,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.160479232337411
2018,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.152518468189591
2019,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.147522898823853
2020,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.120094771607375
2021,Volume of remittances (in United States dollars) as a proportion of total GDP,Percentage (%),Units,Estimated value,0.112504592428842
