Year,Series,Country,Type of Neglected Tropical Disease (NTD),Region of travel,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Normal value,,239.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Normal value,,527.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Normal value,,248.0
2012,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Normal value,,389.0
2013,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Normal value,,615.0
2014,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",,,Number,Units,Normal value,,704.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Normal value,,63.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Normal value,,0.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Normal value,,23.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Normal value,,0.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Normal value,,21.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Normal value,,7.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Normal value,,1.0
2009,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Normal value,,11.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Normal value,,79.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Caribbean,Number,Units,Normal value,,0.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Southern Asia,Number,Units,Normal value,,43.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South America,Number,Units,Normal value,,0.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,South-Eastern Asia,Number,Units,Normal value,,10.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Sub-Saharan and Southern Africa,Number,Units,Normal value,,9.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Other,Number,Units,Normal value,,1.0
2010,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,Country not stated,Number,Units,Normal value,,16.0
2011,Chikungunya and Dengue fever,"England, Wales and Northern Ireland",Chikungunya,,Number,Units,Normal value,,15.0
