Year,Unit measure,Unit multiplier,Country group,Product sector,Value
2005,Trade weighted average (%),Units,Developing,Total,2.5452240926
2005,Trade weighted average (%),Units,Developing,AGRI,8.454787732919257
2005,Trade weighted average (%),Units,Developing,FISH,1.8689457998698107
2005,Trade weighted average (%),Units,Developing,NAMA,2.5606377310657855
2005,Trade weighted average (%),Units,Developing,PAPS,6.9797173608951155
2005,Trade weighted average (%),Units,Least Developed,Total,2.628319320867405
2005,Trade weighted average (%),Units,Least Developed,AGRI,0.9426876723584551
2005,Trade weighted average (%),Units,Least Developed,FISH,0.0013197850896667137
2005,Trade weighted average (%),Units,Least Developed,NAMA,3.110820458878673
2005,Trade weighted average (%),Units,Least Developed,PAPS,0.28539570619821086
2005,Trade weighted average (%),Units,Small Island Developing,Total,0.21197031661305543
2005,Trade weighted average (%),Units,Small Island Developing,AGRI,0.6771699995932319
2005,Trade weighted average (%),Units,Small Island Developing,FISH,0.0001331607236424741
2005,Trade weighted average (%),Units,Small Island Developing,NAMA,0.30044636889089127
2005,Trade weighted average (%),Units,Small Island Developing,PAPS,5.689406749529699
2006,Trade weighted average (%),Units,Developing,Total,2.310761493351005
2006,Trade weighted average (%),Units,Developing,AGRI,8.103904978975459
2006,Trade weighted average (%),Units,Developing,FISH,1.629221735434912
2006,Trade weighted average (%),Units,Developing,NAMA,2.277685713912647
2006,Trade weighted average (%),Units,Developing,PAPS,7.973952855401041
2006,Trade weighted average (%),Units,Least Developed,Total,2.3433036737286552
2006,Trade weighted average (%),Units,Least Developed,AGRI,0.9016729060130405
2006,Trade weighted average (%),Units,Least Developed,FISH,0.16995183192843125
2006,Trade weighted average (%),Units,Least Developed,NAMA,2.6296892037141415
2006,Trade weighted average (%),Units,Least Developed,PAPS,0.9705747919316771
2006,Trade weighted average (%),Units,Small Island Developing,Total,0.27130382707796846
2006,Trade weighted average (%),Units,Small Island Developing,AGRI,1.4975050294041787
2006,Trade weighted average (%),Units,Small Island Developing,FISH,0.00027015642396369176
2006,Trade weighted average (%),Units,Small Island Developing,NAMA,0.396559146430035
2006,Trade weighted average (%),Units,Small Island Developing,PAPS,4.190976952812174
