Year,Series,Sex,Relationship to perpetrator,Age,Ethnicity,Income,Disability status,Country of birth,Region,Units,Unit multiplier,Observation status,GeoCode,Value
2004/05,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.05228597228779967
2004/05,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.46362972974257516
2004/05,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.431964537862358
2004/05,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.006536233924493849
2004/05,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.221249273355011
2004/05,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.1642507993313407
2004/05,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.029541812581681367
2004/05,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.34387585295948786
2004/05,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.3037422586292795
2005/06,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.04363256290130421
2005/06,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.6214529325641317
2005/06,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.8888497784729434
2005/06,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.026905575200905408
2005/06,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0
2005/06,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.0515830206046854
2005/06,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.03530857265186668
2005/06,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3309974679126455
2005/06,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.518203361812256
2006/07,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.061291704940877656
2006/07,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.5411480589081344
2006/07,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.9678185619389694
2006/07,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.005415289702161327
2006/07,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.13402805754057034
2006/07,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.2179705540777275
2006/07,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.033452590640783084
2006/07,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3465802381637204
2006/07,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.615723951008618
2007/08,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.07816050868880801
2007/08,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.48859941936082596
2007/08,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.542807610868581
2007/08,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.007120770669882877
2007/08,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.13726788356119726
2007/08,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.7407243398470063
2007/08,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0427908794058877
2007/08,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3201902728552583
2007/08,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.220040955473805
2008/09,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0386940622261531
2008/09,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.26864573515890555
2008/09,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.9796500560357337
2008/09,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.008190829956792522
2008/09,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.17725377075303064
2008/09,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.6913240502662868
2008/09,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.02347906746285762
2008/09,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.22047989464183138
2008/09,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.8878698909690261
2009/10,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.034329551393181244
2009/10,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.4400372725020354
2009/10,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.750517656315929
2009/10,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0
2009/10,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.19592974689949025
2009/10,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,1.02214864516915
2009/10,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.01712595983037272
2009/10,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3190584814468588
2009/10,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.8663253703843976
2010/11,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.08606835713295152
2010/11,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.44570616671011865
2010/11,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,2.9241257833519048
2010/11,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0
2010/11,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.1545054539121381
2010/11,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.8525419993938651
2010/11,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.043186016461553185
2010/11,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.3047823828494001
2010/11,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,1.9124697866567124
2011/12,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.01949536762219052
2011/12,Percentage of adults aged 16 to 59 (%),Female,Partner,,,,,,,Percentage (%),Units,Normal value,,0.402680877040676
2011/12,Percentage of adults aged 16 to 59 (%),Female,,,,,,,,Percentage (%),Units,Normal value,,3.3450652048261045
2011/12,Percentage of adults aged 16 to 59 (%),Male,Family member,,,,,,,Percentage (%),Units,Normal value,,0.0
2011/12,Percentage of adults aged 16 to 59 (%),Male,Partner,,,,,,,Percentage (%),Units,Normal value,,0.0
2011/12,Percentage of adults aged 16 to 59 (%),Male,,,,,,,,Percentage (%),Units,Normal value,,0.8019246449108717
2011/12,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Percentage (%),Units,Normal value,,0.009720481540505997
2011/12,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Percentage (%),Units,Normal value,,0.2128713881147914
2011/12,Percentage of adults aged 16 to 59 (%),,,,,,,,,Percentage (%),Units,Normal value,,2.1201791277459545
2012/13,Percentage of adults aged 16 to 59 (%),Female,Family member,,,,,,,Percentage (%),Units,Normal value,,0.027656401688920074
