Year,Units,Country,Region,Age group,Sex,GeoCode,Value
2010,Percentage of total public sector employees,,,16 to 17,Female,,0.0954928512928561
2014,Percentage of total public sector employees,,,16 to 17,Male,,0.0962486882360463
2012,Percentage of total public sector employees,,,16 to 17,Male,,0.10568093105626701
2013,Percentage of total public sector employees,,,16 to 17,Female,,0.10801550532658301
2012,Percentage of total public sector employees,,,16 to 17,Female,,0.111521773239205
2015,Percentage of total public sector employees,,,16 to 17,Female,,0.11421615714130198
2014,Percentage of total public sector employees,,,16 to 17,Female,,0.12033613947927099
2009,Percentage of total public sector employees,,,16 to 17,Male,,0.125504472860225
2011,Percentage of total public sector employees,,,16 to 17,Male,,0.129728498966505
2010,Percentage of total public sector employees,,,16 to 17,Male,,0.13399388414951702
2011,Percentage of total public sector employees,,,16 to 17,Female,,0.1390342002431
2005,Percentage of total public sector employees,,,16 to 17,Male,,0.156078767589107
2016,Percentage of total public sector employees,,,16 to 17,Male,,0.16733063743876
2013,Percentage of total public sector employees,,,16 to 17,,,0.17628397386848396
2009,Percentage of total public sector employees,,,16 to 17,Female,,0.176946993249885
2007,Percentage of total public sector employees,,,16 to 17,Female,,0.18199824967469602
2007,Percentage of total public sector employees,,,16 to 17,Male,,0.182231396821501
2008,Percentage of total public sector employees,,,16 to 17,Female,,0.191452598138898
2003,Percentage of total public sector employees,,,16 to 17,Male,,0.19385255170727
2008,Percentage of total public sector employees,,,16 to 17,Male,,0.19416471102401897
2006,Percentage of total public sector employees,,,16 to 17,Male,,0.20450769185298398
2004,Percentage of total public sector employees,,,16 to 17,Male,,0.211276404983708
2005,Percentage of total public sector employees,,,16 to 17,Female,,0.21415550376315698
2002,Percentage of total public sector employees,,,16 to 17,Male,,0.21607675574867102
2014,Percentage of total public sector employees,,,16 to 17,,,0.21658482771531698
2012,Percentage of total public sector employees,,,16 to 17,,,0.21720270429547303
2015,Percentage of total public sector employees,,,16 to 17,,,0.22697898933179897
2006,Percentage of total public sector employees,,,16 to 17,Female,,0.22708450651103101
2010,Percentage of total public sector employees,,,16 to 17,,,0.229486735442373
2001,Percentage of total public sector employees,,,16 to 17,Male,,0.23654034101950697
2004,Percentage of total public sector employees,,,16 to 17,Female,,0.254161554767529
2000,Percentage of total public sector employees,,,16 to 17,Female,,0.259110873225765
2000,Percentage of total public sector employees,,,16 to 17,Male,,0.261765558889458
2011,Percentage of total public sector employees,,,16 to 17,,,0.268762699209605
2002,Percentage of total public sector employees,,,16 to 17,Female,,0.278603865174059
2001,Percentage of total public sector employees,,,16 to 17,Female,,0.28261661275490996
2003,Percentage of total public sector employees,,,16 to 17,Female,,0.29026058644165004
2016,Percentage of total public sector employees,,,16 to 17,,,0.30163730328683397
2009,Percentage of total public sector employees,,,16 to 17,,,0.30245146611011
2000,Percentage of total public sector employees,,,65 and over,Male,,0.35448822842222794
2007,Percentage of total public sector employees,,,16 to 17,,,0.36422964649619805
2005,Percentage of total public sector employees,,,16 to 17,,,0.37023427135226505
2008,Percentage of total public sector employees,,,16 to 17,,,0.3856173091629171
2000,Percentage of total public sector employees,,,65 and over,Female,,0.39736578650683
2001,Percentage of total public sector employees,,,65 and over,Male,,0.4025534471765129
2005,Percentage of total public sector employees,,,65 and over,Male,,0.42385815946465
2006,Percentage of total public sector employees,,,16 to 17,,,0.43159219836401597
2004,Percentage of total public sector employees,,,65 and over,Male,,0.456629295913379
2004,Percentage of total public sector employees,,,16 to 17,,,0.46543795975123803
2003,Percentage of total public sector employees,,,65 and over,Male,,0.46822041049176594
2002,Percentage of total public sector employees,,,65 and over,Male,,0.47390028197679296
2003,Percentage of total public sector employees,,,16 to 17,,,0.48411313814892004
2001,Percentage of total public sector employees,,,65 and over,Female,,0.4875355971469861
2002,Percentage of total public sector employees,,,16 to 17,,,0.49468062092272996
2006,Percentage of total public sector employees,,,65 and over,Male,,0.495057778088752
2001,Percentage of total public sector employees,,,16 to 17,,,0.5191569537744171
2000,Percentage of total public sector employees,,,16 to 17,,,0.5208764321152229
2007,Percentage of total public sector employees,,,65 and over,Male,,0.542709167693739
2004,Percentage of total public sector employees,,,65 and over,Female,,0.562384411405155
2002,Percentage of total public sector employees,,,65 and over,Female,,0.604393832085246
2005,Percentage of total public sector employees,,,65 and over,Female,,0.615717207780772
2003,Percentage of total public sector employees,,,65 and over,Female,,0.6253746570069549
2006,Percentage of total public sector employees,,,65 and over,Female,,0.6590740965521971
2007,Percentage of total public sector employees,,,65 and over,Female,,0.659214590391489
2009,Percentage of total public sector employees,,,65 and over,Male,,0.667197550082223
2008,Percentage of total public sector employees,,,65 and over,Male,,0.6895679265600739
2000,Percentage of total public sector employees,,,65 and over,,,0.7518540149290591
2008,Percentage of total public sector employees,,,65 and over,Female,,0.802721931509662
2010,Percentage of total public sector employees,,,65 and over,Male,,0.809324295040086
2012,Percentage of total public sector employees,,,65 and over,Male,,0.8247659515622858
2011,Percentage of total public sector employees,,,65 and over,Male,,0.8304618514356379
