Year,Type of non-partner abuse,Abuse sub-type,Relationship to perpetrator,Age,Observation status,Unit multiplier,Unit measure,Value
2004/05,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.1286138982885387
2004/05,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.02746083380841105
2004/05,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.05228597228779967
2004/05,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.46195903175329955
2005/06,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.09293593502128027
2005/06,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.02346983732037563
2005/06,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.04363256290130421
2005/06,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.6630794160738592
2006/07,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.11086351190906826
2006/07,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.03167109015615969
2006/07,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.061291704940877656
2006/07,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.46300156188971264
2007/08,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.12960490041298056
2007/08,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0067165666342055685
2007/08,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.07816050868880801
2007/08,Stalking,,Family member,16 to 59,Missing data,Units,Percentage (%),
2008/09,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.06406620666643999
2008/09,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0
2008/09,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0386940622261531
2008/09,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.43448476771642147
2009/10,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.09951148387779418
2009/10,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0257586646006817
2009/10,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.034329551393181244
2009/10,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.4595620125199489
2010/11,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.1539025796736463
2010/11,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.05827505509182064
2010/11,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.08606835713295152
2010/11,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.5320464899704966
2011/12,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.08490057967611203
2011/12,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.03157358848261452
2011/12,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.01949536762219052
2011/12,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.7685388231703523
2012/13,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.08061428310204953
2012/13,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.05259287578090477
2012/13,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.027656401688920074
2012/13,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.6856950657341614
2013/14,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0727089480579746
2013/14,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.035810621685541125
2013/14,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.03924089058928313
2013/14,Stalking,,Family member,16 to 59,Missing data,Units,Percentage (%),0.4860842630154533
2014/15,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.055700827718932706
2014/15,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.016698836856079993
2014/15,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.038783596238294325
2014/15,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.5440069755339062
2015/16,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.03627569634841888
2015/16,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.013400823325689962
2015/16,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.022669392661447307
2015/16,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.49795775077031185
2016/17,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.04358957908189831
2016/17,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.019466673492425087
2016/17,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.023910956631604235
2016/17,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.4519342971360979
2017/18,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.1342386449213812
2017/18,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.08722381032281994
2017/18,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.06070975395049039
2017/18,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.6290287851948808
