Year,Country,Ethnicity,Sex,BMI,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2006/07,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.870230566130001
2006/07,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.038192174377802
2006/07,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.27314894466275
2007/08,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.634629395459461
2007/08,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.961947191679302
2007/08,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.2521668495055
2008/09,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.59659718394449
2008/09,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.186109777564399
2008/09,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0085564307573198
2009/10,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.82584962174667
2009/10,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.278657699254902
2009/10,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.92782702341315
2010/11,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.43566341188534
2010/11,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.182880527662599
2010/11,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.9681203868786429
2011/12,England,Any other ethnic group,,Obese,Undefined,Units,Percentage (%),E92000001,11.927940024616762
2011/12,England,Any other ethnic group,,Overweight,Undefined,Units,Percentage (%),E92000001,13.203535862146135
2011/12,England,Any other ethnic group,,Underweight,Undefined,Units,Percentage (%),E92000001,1.1637014658162694
2011/12,England,Asian,,Obese,Undefined,Units,Percentage (%),E92000001,10.411406223302262
2011/12,England,Asian,,Overweight,Undefined,Units,Percentage (%),E92000001,9.167884874603685
2011/12,England,Asian,,Underweight,Undefined,Units,Percentage (%),E92000001,3.409716553072732
2011/12,England,Black,,Obese,Undefined,Units,Percentage (%),E92000001,15.649820763337313
2011/12,England,Black,,Overweight,Undefined,Units,Percentage (%),E92000001,14.553314121037465
2011/12,England,Black,,Underweight,Undefined,Units,Percentage (%),E92000001,0.9735010894777536
2011/12,England,Chinese,,Obese,Undefined,Units,Percentage (%),E92000001,7.322068612391193
2011/12,England,Chinese,,Overweight,Undefined,Units,Percentage (%),E92000001,9.575012800819252
