Year,Banking service,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2010,Commerical bank branches and building societies,,,Undefined,Units,"Number per 100,000 adults",,32.791007524099996
2011,Commerical bank branches and building societies,,,Undefined,Units,"Number per 100,000 adults",,30.880442237068895
2012,Commerical bank branches and building societies,,,Undefined,Units,"Number per 100,000 adults",,25.4232557731937
2013,Commerical bank branches and building societies,,,Undefined,Units,"Number per 100,000 adults",,24.7355793087826
2014,Commerical bank branches and building societies,,,Undefined,Units,"Number per 100,000 adults",,23.773610701775898
2015,Commerical bank branches and building societies,,,Undefined,Units,"Number per 100,000 adults",,23.6565483518851
2016,Commerical bank branches and building societies,,,Undefined,Units,"Number per 100,000 adults",,22.8177157078266
2017,Commerical bank branches and building societies,,,Undefined,Units,"Number per 100,000 adults",,21.527619816370397
2010,Commerical bank branches and building societies,England,,Undefined,Units,"Number per 100,000 adults",E92000001,32.53816025571416
2011,Commerical bank branches and building societies,England,,Undefined,Units,"Number per 100,000 adults",E92000001,30.75189914420061
2012,Commerical bank branches and building societies,England,,Undefined,Units,"Number per 100,000 adults",E92000001,25.17671417521721
2013,Commerical bank branches and building societies,England,,Undefined,Units,"Number per 100,000 adults",E92000001,24.476501486032987
2014,Commerical bank branches and building societies,England,,Undefined,Units,"Number per 100,000 adults",E92000001,23.44297379577319
2015,Commerical bank branches and building societies,England,,Undefined,Units,"Number per 100,000 adults",E92000001,23.103137406059748
2016,Commerical bank branches and building societies,England,,Undefined,Units,"Number per 100,000 adults",E92000001,22.176640703639336
2017,Commerical bank branches and building societies,England,,Undefined,Units,"Number per 100,000 adults",E92000001,20.813645676264095
2010,Commerical bank branches and building societies,Wales,,Undefined,Units,"Number per 100,000 adults",W92000004,32.97510912391651
2011,Commerical bank branches and building societies,Wales,,Undefined,Units,"Number per 100,000 adults",W92000004,32.025312178027725
2012,Commerical bank branches and building societies,Wales,,Undefined,Units,"Number per 100,000 adults",W92000004,27.00137941829637
2013,Commerical bank branches and building societies,Wales,,Undefined,Units,"Number per 100,000 adults",W92000004,26.32947258750844
2014,Commerical bank branches and building societies,Wales,,Undefined,Units,"Number per 100,000 adults",W92000004,25.845859182431344
2015,Commerical bank branches and building societies,Wales,,Undefined,Units,"Number per 100,000 adults",W92000004,26.37286263461795
2016,Commerical bank branches and building societies,Wales,,Undefined,Units,"Number per 100,000 adults",W92000004,25.289897516068734
2017,Commerical bank branches and building societies,Wales,,Undefined,Units,"Number per 100,000 adults",W92000004,23.28238531693484
2010,Commerical bank branches and building societies,Scotland,,Undefined,Units,"Number per 100,000 adults",S92000003,36.881684237857584
2011,Commerical bank branches and building societies,Scotland,,Undefined,Units,"Number per 100,000 adults",S92000003,33.18224725026029
2012,Commerical bank branches and building societies,Scotland,,Undefined,Units,"Number per 100,000 adults",S92000003,26.67781605085375
2013,Commerical bank branches and building societies,Scotland,,Undefined,Units,"Number per 100,000 adults",S92000003,25.916992341975607
2014,Commerical bank branches and building societies,Scotland,,Undefined,Units,"Number per 100,000 adults",S92000003,26.13944045580065
2015,Commerical bank branches and building societies,Scotland,,Undefined,Units,"Number per 100,000 adults",S92000003,26.343006308153853
2016,Commerical bank branches and building societies,Scotland,,Undefined,Units,"Number per 100,000 adults",S92000003,25.967041222898
2017,Commerical bank branches and building societies,Scotland,,Undefined,Units,"Number per 100,000 adults",S92000003,25.10609242637995
2010,Commerical bank branches and building societies,Northern Ireland,,Undefined,Units,"Number per 100,000 adults",N92000002,27.592162997943692
2011,Commerical bank branches and building societies,Northern Ireland,,Undefined,Units,"Number per 100,000 adults",N92000002,26.405039590413256
2012,Commerical bank branches and building societies,Northern Ireland,,Undefined,Units,"Number per 100,000 adults",N92000002,25.57405222562452
2013,Commerical bank branches and building societies,Northern Ireland,,Undefined,Units,"Number per 100,000 adults",N92000002,25.482987557506608
2014,Commerical bank branches and building societies,Northern Ireland,,Undefined,Units,"Number per 100,000 adults",N92000002,22.621103936882392
2015,Commerical bank branches and building societies,Northern Ireland,,Undefined,Units,"Number per 100,000 adults",N92000002,27.859454088962288
2016,Commerical bank branches and building societies,Northern Ireland,,Undefined,Units,"Number per 100,000 adults",N92000002,28.398991802380444
2017,Commerical bank branches and building societies,Northern Ireland,,Undefined,Units,"Number per 100,000 adults",N92000002,28.620606570492555
