Year,Series,Sex,Age,Disability status,Region,Nationality,Country of birth,Units,Unit multiplier,Observation status,GeoCode,Value
2012,Researchers (in full-time equivalent) per million inhabitants,Male,,,,,,Per million population,Units,Normal value,,15771.5
2013,Researchers (in full-time equivalent) per million inhabitants,Male,,,,,,Per million population,Units,Normal value,,16745.3
2014,Researchers (in full-time equivalent) per million inhabitants,Male,,,,,,Per million population,Units,Normal value,,16586.2
2015,Researchers (in full-time equivalent) per million inhabitants,Male,,,,,,Per million population,Units,Normal value,,16327.8
2016,Researchers (in full-time equivalent) per million inhabitants,Male,,,,,,Per million population,Units,Normal value,,7293.1
2017,Researchers (in full-time equivalent) per million inhabitants,Male,,,,,,Per million population,Units,Normal value,,8089.2
2012,Researchers (in full-time equivalent) per million inhabitants,Female,,,,,,Per million population,Units,Normal value,,8042.4
2013,Researchers (in full-time equivalent) per million inhabitants,Female,,,,,,Per million population,Units,Normal value,,8911.8
2014,Researchers (in full-time equivalent) per million inhabitants,Female,,,,,,Per million population,Units,Normal value,,3245.3
2015,Researchers (in full-time equivalent) per million inhabitants,Female,,,,,,Per million population,Units,Normal value,,3895.5
2016,Researchers (in full-time equivalent) per million inhabitants,Female,,,,,,Per million population,Units,Normal value,,4261.5
2017,Researchers (in full-time equivalent) per million inhabitants,Female,,,,,,Per million population,Units,Normal value,,5221.9
2012,Researchers (in full-time equivalent) per million inhabitants,,16 to 24,,,,,Per million population,Units,Normal value,,5281.5
2013,Researchers (in full-time equivalent) per million inhabitants,,16 to 24,,,,,Per million population,Units,Normal value,,7063.8
2014,Researchers (in full-time equivalent) per million inhabitants,,16 to 24,,,,,Per million population,Units,Normal value,,15112.8
2015,Researchers (in full-time equivalent) per million inhabitants,,16 to 24,,,,,Per million population,Units,Normal value,,17044.0
2016,Researchers (in full-time equivalent) per million inhabitants,,16 to 24,,,,,Per million population,Units,Normal value,,18311.2
2017,Researchers (in full-time equivalent) per million inhabitants,,16 to 24,,,,,Per million population,Units,Normal value,,20256.3
2012,Researchers (in full-time equivalent) per million inhabitants,,25 to 34,,,,,Per million population,Units,Normal value,,21059.7
2013,Researchers (in full-time equivalent) per million inhabitants,,25 to 34,,,,,Per million population,Units,Normal value,,18922.6
2014,Researchers (in full-time equivalent) per million inhabitants,,25 to 34,,,,,Per million population,Units,Normal value,,17619.3
2015,Researchers (in full-time equivalent) per million inhabitants,,25 to 34,,,,,Per million population,Units,Normal value,,16711.5
2016,Researchers (in full-time equivalent) per million inhabitants,,25 to 34,,,,,Per million population,Units,Normal value,,19054.3
2017,Researchers (in full-time equivalent) per million inhabitants,,25 to 34,,,,,Per million population,Units,Normal value,,18886.4
2012,Researchers (in full-time equivalent) per million inhabitants,,35 to 44,,,,,Per million population,Units,Normal value,,18272.5
2013,Researchers (in full-time equivalent) per million inhabitants,,35 to 44,,,,,Per million population,Units,Normal value,,19531.9
2014,Researchers (in full-time equivalent) per million inhabitants,,35 to 44,,,,,Per million population,Units,Normal value,,14410.8
2015,Researchers (in full-time equivalent) per million inhabitants,,35 to 44,,,,,Per million population,Units,Normal value,,14553.0
2016,Researchers (in full-time equivalent) per million inhabitants,,35 to 44,,,,,Per million population,Units,Normal value,,15349.4
2017,Researchers (in full-time equivalent) per million inhabitants,,35 to 44,,,,,Per million population,Units,Normal value,,16730.0
2012,Researchers (in full-time equivalent) per million inhabitants,,45 to 54,,,,,Per million population,Units,Normal value,,15908.5
2013,Researchers (in full-time equivalent) per million inhabitants,,45 to 54,,,,,Per million population,Units,Normal value,,15015.1
2014,Researchers (in full-time equivalent) per million inhabitants,,45 to 54,,,,,Per million population,Units,Normal value,,10754.7
2015,Researchers (in full-time equivalent) per million inhabitants,,45 to 54,,,,,Per million population,Units,Normal value,,10986.1
2016,Researchers (in full-time equivalent) per million inhabitants,,45 to 54,,,,,Per million population,Units,Normal value,,12469.1
2017,Researchers (in full-time equivalent) per million inhabitants,,45 to 54,,,,,Per million population,Units,Normal value,,12638.4
2012,Researchers (in full-time equivalent) per million inhabitants,,55 to 64,,,,,Per million population,Units,Normal value,,12594.4
2013,Researchers (in full-time equivalent) per million inhabitants,,55 to 64,,,,,Per million population,Units,Normal value,,12457.6
2014,Researchers (in full-time equivalent) per million inhabitants,,55 to 64,,,,,Per million population,Units,Normal value,,1329.9
2015,Researchers (in full-time equivalent) per million inhabitants,,55 to 64,,,,,Per million population,Units,Normal value,,1421.7
