Year,Series,Violence type,Age,Sex,Country of birth,Disability status,Sexual orientation,Ethnicity,Ethnic group,Highest qualification,Household income,Region,Urban or Rural,Observation status,Unit multiplier,Units,GeoCode,Value
2014/15,(a) Physical violence,Assault with minor injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.503974030942816
2014/15,(a) Physical violence,Violence with injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9464811036496404
2014/15,(a) Physical violence,Violence without injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9155887446433971
2014/15,(a) Physical violence,Wounding,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4546042998741819
2014/15,(a) Physical violence,,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,4.175894954679529
2014/15,(a) Physical violence,,18 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,
2014/15,(a) Physical violence,,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,2.5159128071761647
2014/15,(a) Physical violence,,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,2.0193851947759325
2014/15,(a) Physical violence,,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,1.7231589954258064
2014/15,(a) Physical violence,,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,0.7909257201260474
2014/15,(a) Physical violence,,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4042600421685891
2014/15,(a) Physical violence,,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,0.14230703344074883
2014/15,(a) Physical violence,,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.273439522203381
2014/15,(a) Physical violence,,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.3670417915407413
2014/15,(a) Physical violence,,,,,,,Asian,Any other Asian background,,,,,Normal value,Units,Percentage (%),,1.6400551794241816
2014/15,(a) Physical violence,,,,,,,Asian,Bangladeshi,,,,,Normal value,Units,Percentage (%),,2.2860497040258934
2014/15,(a) Physical violence,,,,,,,Asian,Chinese,,,,,Normal value,Units,Percentage (%),,1.8845124741563826
2014/15,(a) Physical violence,,,,,,,Asian,Indian,,,,,Normal value,Units,Percentage (%),,0.8782902516433493
2014/15,(a) Physical violence,,,,,,,Asian,Pakistani,,,,,Normal value,Units,Percentage (%),,0.9444369621179521
2014/15,(a) Physical violence,,,,,,,Asian,,,,,,Normal value,Units,Percentage (%),,1.234222986442462
2014/15,(a) Physical violence,,,,,,,Black,African,,,,,Normal value,Units,Percentage (%),,2.7055327656662027
2014/15,(a) Physical violence,,,,,,,Black,Any other Black background,,,,,Normal value,Units,Percentage (%),,8.390918258454288
2014/15,(a) Physical violence,,,,,,,Black,Caribbean,,,,,Normal value,Units,Percentage (%),,0.7027000439685391
2014/15,(a) Physical violence,,,,,,,Black,,,,,,Normal value,Units,Percentage (%),,2.449862349834921
2014/15,(a) Physical violence,,,,,,,Mixed,Any other Mixed ethnic background,,,,,Normal value,Units,Percentage (%),,3.6458644409652012
2014/15,(a) Physical violence,,,,,,,Mixed,White and Asian,,,,,Normal value,Units,Percentage (%),,9.458545571742636
2014/15,(a) Physical violence,,,,,,,Mixed,White and Black African,,,,,Normal value,Units,Percentage (%),,
2014/15,(a) Physical violence,,,,,,,Mixed,White and Black Caribbean,,,,,Normal value,Units,Percentage (%),,7.282570690386362
2014/15,(a) Physical violence,,,,,,,Mixed,,,,,,Normal value,Units,Percentage (%),,5.792957331720819
2014/15,(a) Physical violence,,,,,,,Other ethnic group,Any other ethnic group,,,,,Normal value,Units,Percentage (%),,1.0191392997643833
2014/15,(a) Physical violence,,,,,,,Other ethnic group,Arab,,,,,Normal value,Units,Percentage (%),,1.0191392997643833
2014/15,(a) Physical violence,,,,,,,Other ethnic group,,,,,,Normal value,Units,Percentage (%),,1.1543917211091934
2014/15,(a) Physical violence,,,,,,,White,Any other White background,,,,,Normal value,Units,Percentage (%),,1.5939166895599364
2014/15,(a) Physical violence,,,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Normal value,Units,Percentage (%),,1.8046327357244505
2014/15,(a) Physical violence,,,,,,,White,Gypsy or Irish Traveller,,,,,Normal value,Units,Percentage (%),,
2014/15,(a) Physical violence,,,,,,,White,Irish,,,,,Normal value,Units,Percentage (%),,1.3359583464756133
2014/15,(a) Physical violence,,,,,,,White,,,,,,Normal value,Units,Percentage (%),,1.7858373046945302
2014/15,(a) Physical violence,,,,,,,,,Apprenticeship or A/AS level,,,,Normal value,Units,Percentage (%),,2.1556750982127477
2014/15,(a) Physical violence,,,,,,,,,Degree or diploma,,,,Normal value,Units,Percentage (%),,2.098140653679858
2014/15,(a) Physical violence,,,,,,,,,No qualification,,,,Normal value,Units,Percentage (%),,1.057963475983433
2014/15,(a) Physical violence,,,,,,,,,O level/GCSE,,,,Normal value,Units,Percentage (%),,1.7613990405214914
