Year,Series,Indicator,Observation status,Unit multiplier,Units,Value
2005,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.22
2008,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),3.28
2009,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.22
2010,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.47
2011,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.32
2012,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.68
2013,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.2
2014,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),4.42
2015,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.45
2016,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.69
2017,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.64
2018,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.69
2019,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),6.01
2020,Financial soundness indicators,Tier 1 capital to assets,Normal value,Units,Percentage (%),5.91
2005,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),8.91
2008,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),9.61
2009,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),11.57
2010,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),13.23
2011,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),13.31
2012,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),14.51
2013,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),16.08
2014,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),13.63
2015,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),15.69
2016,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),16.88
2017,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),17.1
2018,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),17.93
2019,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),18.86
2020,Financial soundness indicators,Tier 1 capital to risk-weighted assets,Normal value,Units,Percentage (%),18.49
2008,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),8.65
2009,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),14.8
2010,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),16.86
2011,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),16.11
2012,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),13.87
2013,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),9.48
2014,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),5.38
2015,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),3.88
2016,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),3.45
2017,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),2.94
2018,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),6.81
2019,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),6.02
2020,Financial soundness indicators,Nonperforming loans net of provisions to capital,Normal value,Units,Percentage (%),6.77
2005,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),0.99
2008,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.56
2009,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.51
2010,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.95
2011,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.96
2012,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.59
2013,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),3.11
2014,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.65
2015,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.01
2016,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),0.94
2017,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),0.73
2018,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.07
2019,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.08
2020,Financial soundness indicators,Nonperforming loans to total gross loans,Normal value,Units,Percentage (%),1.22
2005,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.95
2008,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.31
2009,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.03
2010,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.07
2011,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.17
2012,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.02
2013,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),-0.02
2014,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.07
2015,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.07
2016,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),-0.02
2017,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.07
2018,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.07
2019,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.1
2020,Financial soundness indicators,Return on assets,Normal value,Units,Percentage (%),0.23
2005,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),55.62
2008,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),42.32
2009,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),38.04
2010,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),37.9
2011,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),40.89
2012,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),36.81
2013,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),35.69
2014,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),35.69
2015,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),35.89
2016,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),37.92
2017,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),37.79
2018,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),40.68
2019,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),44.43
2020,Financial soundness indicators,Liquid assets to short-term liabilities,Normal value,Units,Percentage (%),49.45
2005,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),5.83
2008,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),59.31
2009,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),1.36
2010,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),7.21
2011,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),4.59
2012,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-8.86
2013,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),-13.26
2014,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),8.3
2015,Financial soundness indicators,Net open position in foreign exchange to capital,Normal value,Units,Percentage (%),3.06
