Year,Country,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,,,Normal value,Units,"Rate per 1,000 live births",,6.55
2001,,,Undefined,Units,"Rate per 1,000 live births",,6.44
2002,,,Undefined,Units,"Rate per 1,000 live births",,6.19
2003,,,Undefined,Units,"Rate per 1,000 live births",,6.25
2004,,,Undefined,Units,"Rate per 1,000 live births",,5.86
2005,,,Undefined,Units,"Rate per 1,000 live births",,5.9
2006,,,Undefined,Units,"Rate per 1,000 live births",,5.75
2007,,,Undefined,Units,"Rate per 1,000 live births",,5.55
2008,,,Undefined,Units,"Rate per 1,000 live births",,5.32
2009,,,Undefined,Units,"Rate per 1,000 live births",,5.18
2010,,,Undefined,Units,"Rate per 1,000 live births",,4.9
2011,,,Undefined,Units,"Rate per 1,000 live births",,4.81
2012,,,Undefined,Units,"Rate per 1,000 live births",,4.58
2013,,,Undefined,Units,"Rate per 1,000 live births",,4.47
2014,,,Undefined,Units,"Rate per 1,000 live births",,4.23
2015,,,Undefined,Units,"Rate per 1,000 live births",,4.29
2000,,Male,Undefined,Units,"Rate per 1,000 live births",,7.19
2000,,Female,Undefined,Units,"Rate per 1,000 live births",,5.88
2000,England and Wales,,Undefined,Units,"Rate per 1,000 live births",K04000001,6.55
2000,England and Wales,Male,Undefined,Units,"Rate per 1,000 live births",K04000001,7.17
2000,England and Wales,Female,Undefined,Units,"Rate per 1,000 live births",K04000001,5.89
2000,England,,Undefined,Units,"Rate per 1,000 live births",E92000001,6.49
2000,England,Male,Undefined,Units,"Rate per 1,000 live births",E92000001,7.11
2000,England,Female,Undefined,Units,"Rate per 1,000 live births",E92000001,5.85
2000,Wales,,Undefined,Units,"Rate per 1,000 live births",W92000004,6.23
2000,Wales,Male,Undefined,Units,"Rate per 1,000 live births",W92000004,7.26
2000,Wales,Female,Undefined,Units,"Rate per 1,000 live births",W92000004,5.12
2000,Scotland,,Undefined,Units,"Rate per 1,000 live births",S92000003,6.71
2000,Scotland,Male,Undefined,Units,"Rate per 1,000 live births",S92000003,7.57
2000,Scotland,Female,Undefined,Units,"Rate per 1,000 live births",S92000003,5.87
2001,,Male,Undefined,Units,"Rate per 1,000 live births",,6.97
2001,,Female,Undefined,Units,"Rate per 1,000 live births",,5.88
2001,England and Wales,,Undefined,Units,"Rate per 1,000 live births",K04000001,6.44
2001,England and Wales,Male,Undefined,Units,"Rate per 1,000 live births",K04000001,6.98
2001,England and Wales,Female,Undefined,Units,"Rate per 1,000 live births",K04000001,5.87
2001,England,,Undefined,Units,"Rate per 1,000 live births",E92000001,6.37
2001,England,Male,Undefined,Units,"Rate per 1,000 live births",E92000001,6.92
2001,England,Female,Undefined,Units,"Rate per 1,000 live births",E92000001,5.8
2001,Wales,,Undefined,Units,"Rate per 1,000 live births",W92000004,6.37
2001,Wales,Male,Undefined,Units,"Rate per 1,000 live births",W92000004,7.05
2001,Wales,Female,Undefined,Units,"Rate per 1,000 live births",W92000004,5.65
2001,Scotland,,Undefined,Units,"Rate per 1,000 live births",S92000003,6.32
2001,Scotland,Male,Undefined,Units,"Rate per 1,000 live births",S92000003,6.61
2001,Scotland,Female,Undefined,Units,"Rate per 1,000 live births",S92000003,6.02
2002,,Male,Undefined,Units,"Rate per 1,000 live births",,6.99
2002,,Female,Undefined,Units,"Rate per 1,000 live births",,5.35
2002,England and Wales,,Undefined,Units,"Rate per 1,000 live births",K04000001,6.17
2002,England and Wales,Male,Undefined,Units,"Rate per 1,000 live births",K04000001,6.95
2002,England and Wales,Female,Undefined,Units,"Rate per 1,000 live births",K04000001,5.34
2002,England,,Undefined,Units,"Rate per 1,000 live births",E92000001,6.16
2002,England,Male,Undefined,Units,"Rate per 1,000 live births",E92000001,6.94
2002,England,Female,Undefined,Units,"Rate per 1,000 live births",E92000001,5.33
2002,Wales,,Undefined,Units,"Rate per 1,000 live births",W92000004,5.33
2002,Wales,Male,Undefined,Units,"Rate per 1,000 live births",W92000004,5.85
2002,Wales,Female,Undefined,Units,"Rate per 1,000 live births",W92000004,4.78
2002,Scotland,,Undefined,Units,"Rate per 1,000 live births",S92000003,6.55
2002,Scotland,Male,Undefined,Units,"Rate per 1,000 live births",S92000003,7.67
2002,Scotland,Female,Undefined,Units,"Rate per 1,000 live births",S92000003,5.39
2003,,Male,Undefined,Units,"Rate per 1,000 live births",,6.67
2003,,Female,Undefined,Units,"Rate per 1,000 live births",,5.81
2003,England and Wales,,Undefined,Units,"Rate per 1,000 live births",K04000001,6.26
2003,England and Wales,Male,Undefined,Units,"Rate per 1,000 live births",K04000001,6.64
2003,England and Wales,Female,Undefined,Units,"Rate per 1,000 live births",K04000001,5.87
2003,England,,Undefined,Units,"Rate per 1,000 live births",E92000001,6.24
2003,England,Male,Undefined,Units,"Rate per 1,000 live births",E92000001,6.62
2003,England,Female,Undefined,Units,"Rate per 1,000 live births",E92000001,5.85
2003,Wales,,Undefined,Units,"Rate per 1,000 live births",W92000004,5.19
2003,Wales,Male,Undefined,Units,"Rate per 1,000 live births",W92000004,5.52
2003,Wales,Female,Undefined,Units,"Rate per 1,000 live births",W92000004,4.84
2003,Scotland,,Undefined,Units,"Rate per 1,000 live births",S92000003,6.18
2003,Scotland,Male,Undefined,Units,"Rate per 1,000 live births",S92000003,6.73
2003,Scotland,Female,Undefined,Units,"Rate per 1,000 live births",S92000003,5.6
2004,,Male,Undefined,Units,"Rate per 1,000 live births",,6.38
2004,,Female,Undefined,Units,"Rate per 1,000 live births",,5.3
2004,England and Wales,,Undefined,Units,"Rate per 1,000 live births",K04000001,5.84
2004,England and Wales,Male,Undefined,Units,"Rate per 1,000 live births",K04000001,6.33
2004,England and Wales,Female,Undefined,Units,"Rate per 1,000 live births",K04000001,5.32
2004,England,,Undefined,Units,"Rate per 1,000 live births",E92000001,5.78
2004,England,Male,Undefined,Units,"Rate per 1,000 live births",E92000001,6.28
2004,England,Female,Undefined,Units,"Rate per 1,000 live births",E92000001,5.26
2004,Wales,,Undefined,Units,"Rate per 1,000 live births",W92000004,5.63
2004,Wales,Male,Undefined,Units,"Rate per 1,000 live births",W92000004,6.13
2004,Wales,Female,Undefined,Units,"Rate per 1,000 live births",W92000004,5.1
2004,Scotland,,Undefined,Units,"Rate per 1,000 live births",S92000003,5.82
2004,Scotland,Male,Undefined,Units,"Rate per 1,000 live births",S92000003,6.81
2004,Scotland,Female,Undefined,Units,"Rate per 1,000 live births",S92000003,4.77
2005,,Male,Undefined,Units,"Rate per 1,000 live births",,6.58
2005,,Female,Undefined,Units,"Rate per 1,000 live births",,5.18
2005,England and Wales,,Undefined,Units,"Rate per 1,000 live births",K04000001,5.82
2005,England and Wales,Male,Undefined,Units,"Rate per 1,000 live births",K04000001,6.51
2005,England and Wales,Female,Undefined,Units,"Rate per 1,000 live births",K04000001,5.1
2005,England,,Undefined,Units,"Rate per 1,000 live births",E92000001,5.81
2005,England,Male,Undefined,Units,"Rate per 1,000 live births",E92000001,6.49
2005,England,Female,Undefined,Units,"Rate per 1,000 live births",E92000001,5.1
2005,Wales,,Undefined,Units,"Rate per 1,000 live births",W92000004,4.69
2005,Wales,Male,Undefined,Units,"Rate per 1,000 live births",W92000004,5.48
2005,Wales,Female,Undefined,Units,"Rate per 1,000 live births",W92000004,3.86
2005,Scotland,,Undefined,Units,"Rate per 1,000 live births",S92000003,6.33
