Year,Sex,Mediu,Grupa de varsta,Statutul ocupational,Unitatea de masura,Value
2010,,,,,Procent (%),9.3
2010,bărbat,,,,Procent (%),9.8
2010,femeie,,,,Procent (%),8.9
2010,,urban,,,Procent (%),2.8
2010,,rural,,,Procent (%),14.0
2010,,,15-24,,Procent (%),9.7
2010,,,25-34,,Procent (%),10.6
2010,,,35-44,,Procent (%),11.6
2010,,,45-54,,Procent (%),8.4
2010,,,55+,,Procent (%),3.6
2010,,,,fermieri,Procent (%),31.2
2010,,,,angajati în sectorul agrar,Procent (%),13.9
2010,,,,angajati în sectorul non-agrar,Procent (%),3.0
2010,,,,pensionari,Procent (%),4.6
2010,,,,alte,Procent (%),7.2
2011,,,,,Procent (%),7.3
2011,bărbat,,,,Procent (%),7.7
2011,femeie,,,,Procent (%),7.0
2011,,urban,,,Procent (%),2.7
2011,,rural,,,Procent (%),10.8
2011,,,15-24,,Procent (%),7.8
2011,,,25-34,,Procent (%),8.3
2011,,,35-44,,Procent (%),8.7
2011,,,45-54,,Procent (%),7.4
2011,,,55+,,Procent (%),2.5
2011,,,,fermieri,Procent (%),34.9
2011,,,,angajati în sectorul agrar,Procent (%),7.4
2011,,,,angajati în sectorul non-agrar,Procent (%),2.1
2011,,,,pensionari,Procent (%),3.3
2011,,,,alte,Procent (%),6.7
2012,,,,,Procent (%),5.5
2012,bărbat,,,,Procent (%),5.5
2012,femeie,,,,Procent (%),5.3
2012,,urban,,,Procent (%),1.5
2012,,rural,,,Procent (%),8.2
2012,,,15-24,,Procent (%),6.8
2012,,,25-34,,Procent (%),5.5
2012,,,35-44,,Procent (%),6.0
2012,,,45-54,,Procent (%),5.6
2012,,,55+,,Procent (%),2.1
2012,,,,fermieri,Procent (%),21.3
2012,,,,angajati în sectorul agrar,Procent (%),6.0
2012,,,,angajati în sectorul non-agrar,Procent (%),1.5
2012,,,,pensionari,Procent (%),3.7
2012,,,,alte,Procent (%),5.9
2013,,,,,Procent (%),5.2
2013,bărbat,,,,Procent (%),5.8
2013,femeie,,,,Procent (%),4.7
2013,,urban,,,Procent (%),1.5
2013,,rural,,,Procent (%),8.0
2013,,,15-24,,Procent (%),7.9
2013,,,25-34,,Procent (%),5.2
2013,,,35-44,,Procent (%),7.2
2013,,,45-54,,Procent (%),5.6
2013,,,55+,,Procent (%),1.8
2013,,,,fermieri,Procent (%),21.8
2013,,,,angajati în sectorul agrar,Procent (%),6.6
2013,,,,angajati în sectorul non-agrar,Procent (%),1.3
2013,,,,pensionari,Procent (%),2.3
2013,,,,alte,Procent (%),8.2
2014,,,,,Procent (%),4.6
2014,bărbat,,,,Procent (%),4.5
2014,femeie,,,,Procent (%),4.6
2014,,urban,,,Procent (%),2.3
2014,,rural,,,Procent (%),6.3
2014,,,15-24,,Procent (%),5.5
2014,,,25-34,,Procent (%),5.5
2014,,,35-44,,Procent (%),5.6
2014,,,45-54,,Procent (%),4.8
2014,,,55+,,Procent (%),1.8
2014,,,,fermieri,Procent (%),15.2
2014,,,,angajati în sectorul agrar,Procent (%),5.4
2014,,,,angajati în sectorul non-agrar,Procent (%),1.0
2014,,,,pensionari,Procent (%),2.6
2014,,,,alte,Procent (%),8.6
2015,,,,,Procent (%),...
2015,bărbat,,,,Procent (%),4.8
2015,femeie,,,,Procent (%),4.1
2015,,urban,,,Procent (%),1.9
2015,,rural,,,Procent (%),6.4
2015,,,15-24,,Procent (%),4.9
2015,,,25-34,,Procent (%),4.8
2015,,,35-44,,Procent (%),6.1
