Year,Country,Sex,Age,Exposure category,Ethnicity,Unit measure,Observation status,Unit multiplier,GeoCode,Value
2000,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,6.7740984221
2001,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,8.67152506649297
2002,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,10.549867055335696
2003,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,12.19887189527811
2004,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,12.770564662459766
2005,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,13.018661659731876
2006,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,12.170588745613438
2007,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,11.911464744045796
2008,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,11.607185663145884
2009,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,10.594199344990658
2010,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,10.08134933483171
2011,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,9.714760075211963
2012,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,9.749622596520243
2013,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,9.333030125548676
2014,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,9.574784812710087
2015,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,9.281211556424621
2016,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,8.04288882652942
2017,United Kingdom,,,,,"Rate per 100,000 population",Undefined,Units,K02000001,6.606579150414515
2000,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,8.832207232720295
2001,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,10.869767285704654
2002,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,12.359894589186062
2003,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,13.85393407608045
2004,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,15.103951538468024
2005,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,15.767930189706345
2006,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,15.073152839888174
2007,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,15.612156208281483
2008,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,15.115203759712218
2009,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,14.532193557813418
2010,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,14.0299667364486
2011,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,14.142725569478648
2012,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,14.366814963023412
2013,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,14.277097015220964
2014,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,14.556319115780989
2015,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,14.385283985428275
2016,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,12.3541919657354
2017,United Kingdom,Male,,,,"Rate per 100,000 population",Undefined,Units,K02000001,9.931924880395654
