Year,Unit measure,Unit multiplier,Observation status,Value
2000,Percentage change (%),Units,Undefined,3.2
2001,Percentage change (%),Units,Undefined,2.3
2002,Percentage change (%),Units,Undefined,1.7
2003,Percentage change (%),Units,Undefined,2.9
2004,Percentage change (%),Units,Undefined,1.8
2005,Percentage change (%),Units,Undefined,2.2
2006,Percentage change (%),Units,Undefined,2.0
2007,Percentage change (%),Units,Undefined,1.5
2008,Percentage change (%),Units,Undefined,-1.1
2009,Percentage change (%),Units,Undefined,-4.8
2010,Percentage change (%),Units,Undefined,1.3
2011,Percentage change (%),Units,Undefined,0.4
2012,Percentage change (%),Units,Undefined,0.8
2013,Percentage change (%),Units,Undefined,1.5
2014,Percentage change (%),Units,Undefined,2.1
2015,Percentage change (%),Units,Undefined,1.6
2016,Percentage change (%),Units,Undefined,0.9
2017,Percentage change (%),Units,Undefined,1.1
2018,Percentage change (%),Units,Undefined,0.6
2019,Percentage change (%),Units,Undefined,0.9
2020,Percentage change (%),Units,Undefined,-10.4
