Year,Educational subject,Sex,Observation status,Unit multiplier,Unit measure,Value
2015,,,Undefined,Units,Percentage (%),61.1038107753
2015,,Female,Undefined,Units,Percentage (%),65.6569481257099
2015,,Male,Undefined,Units,Percentage (%),56.6058801637514
2009,English,,Undefined,Units,Percentage (%),69.8
2009,English,Female,Undefined,Units,Percentage (%),76.5
2009,English,Male,Undefined,Units,Percentage (%),63.1
2009,Maths,,Undefined,Units,Percentage (%),64.6
2009,Maths,Female,Undefined,Units,Percentage (%),64.8
2009,Maths,Male,Undefined,Units,Percentage (%),64.5
2010,English,,Undefined,Units,Percentage (%),72.3
2010,English,Female,Undefined,Units,Percentage (%),78.8
2010,English,Male,Undefined,Units,Percentage (%),65.8
2010,Maths,,Undefined,Units,Percentage (%),67.0
2010,Maths,Female,Undefined,Units,Percentage (%),67.3
2010,Maths,Male,Undefined,Units,Percentage (%),66.8
2011,English,,Undefined,Units,Percentage (%),69.3
2011,English,Female,Undefined,Units,Percentage (%),76.5
2011,English,Male,Undefined,Units,Percentage (%),62.2
2011,Maths,,Undefined,Units,Percentage (%),70.9
2011,Maths,Female,Undefined,Units,Percentage (%),71.2
2011,Maths,Male,Undefined,Units,Percentage (%),70.6
2012,English,,Undefined,Units,Percentage (%),70.7
2012,English,Female,Undefined,Units,Percentage (%),78.0
2012,English,Male,Undefined,Units,Percentage (%),63.4
2012,Maths,,Undefined,Units,Percentage (%),72.8
2012,Maths,Female,Undefined,Units,Percentage (%),73.2
2012,Maths,Male,Undefined,Units,Percentage (%),72.3
2013,English,,Undefined,Units,Percentage (%),72.4
2013,English,Female,Undefined,Units,Percentage (%),79.8
2013,English,Male,Undefined,Units,Percentage (%),64.7
2013,Maths,,Undefined,Units,Percentage (%),68.0
2013,Maths,Female,Undefined,Units,Percentage (%),68.7
2013,Maths,Male,Undefined,Units,Percentage (%),67.3
2014,English,,Undefined,Units,Percentage (%),74.8
2014,English,Female,Undefined,Units,Percentage (%),82.0
2014,English,Male,Undefined,Units,Percentage (%),67.2
2014,Maths,,Undefined,Units,Percentage (%),70.2
2014,Maths,Female,Undefined,Units,Percentage (%),70.7
2014,Maths,Male,Undefined,Units,Percentage (%),69.8
2015,English,,Undefined,Units,Percentage (%),72.8
2015,English,Female,Undefined,Units,Percentage (%),80.2
2015,English,Male,Undefined,Units,Percentage (%),65.0
2015,Maths,,Undefined,Units,Percentage (%),71.7
2015,Maths,Female,Undefined,Units,Percentage (%),72.6
2015,Maths,Male,Undefined,Units,Percentage (%),70.8
2016,English,,Undefined,Units,Percentage (%),70.8
2016,English,Female,Undefined,Units,Percentage (%),79.0
2016,English,Male,Undefined,Units,Percentage (%),62.7
2016,Maths,,Undefined,Units,Percentage (%),70.7
2016,Maths,Female,Undefined,Units,Percentage (%),71.1
2016,Maths,Male,Undefined,Units,Percentage (%),70.4
2017,English,,Undefined,Units,Percentage (%),70.1
2017,English,Female,Undefined,Units,Percentage (%),77.8
2017,English,Male,Undefined,Units,Percentage (%),62.6
2017,Maths,,Undefined,Units,Percentage (%),70.8
2017,Maths,Female,Undefined,Units,Percentage (%),71.5
2017,Maths,Male,Undefined,Units,Percentage (%),70.0
2018,English,,Undefined,Units,Percentage (%),70.0
2018,English,Female,Undefined,Units,Percentage (%),77.8
2018,English,Male,Undefined,Units,Percentage (%),62.4
2018,Maths,,Undefined,Units,Percentage (%),71.1
2018,Maths,Female,Undefined,Units,Percentage (%),71.7
2018,Maths,Male,Undefined,Units,Percentage (%),70.6
