Year,Series,Country,Country of birth,Ethnic group,Region,Observation status,Unit multiplier,Units,GeoCode,Value
2000,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,12.3
2001,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,12.5
2002,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,13.4
2003,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,13.3
2004,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,13.8
2005,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,15.1
2006,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,15.1
2007,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,14.7
2008,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,15.1
2009,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,15.5
2010,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,14.6
2011,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,15.6
2012,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,15.1
2013,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,13.5
2014,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,11.9
2015,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,10.5
2016,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,10.2
2017,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,9.1
2018,"Number of tuberculosis case notifications per 100,000 population",England,,,,Normal value,Units,"Rate per 100,000 population",E92000001,8.2
