Year,Series,Educational measure,Education indicator,Observation status,Unit multiplier,Units,Value
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years",Normal value,Units,Ratio,1.01567
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years",Normal value,Units,Ratio,1.03441
2017,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years",Normal value,Units,Ratio,1.04812
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years",Normal value,Units,Ratio,0.51624
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years",Normal value,Units,Ratio,0.57273
2017,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years",Normal value,Units,Ratio,0.69406
2009,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.99847
2010,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.99864
2011,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.99922
2012,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.99895
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.99929
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.99869
2017,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years",Normal value,Units,Ratio,0.99912
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years",Normal value,Units,Ratio,0.9746
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years",Normal value,Units,Ratio,1.02839
2017,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years",Normal value,Units,Ratio,1.00382
2009,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years",Normal value,Units,Ratio,0.99278
2010,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.01268
2011,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years",Normal value,Units,Ratio,0.92926
2012,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.01923
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.03715
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.06214
2017,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.04902
2009,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",Normal value,Units,Ratio,0.99847
2010,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",Normal value,Units,Ratio,0.99864
2011,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",Normal value,Units,Ratio,0.99922
2012,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",Normal value,Units,Ratio,0.99895
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",Normal value,Units,Ratio,0.99929
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",Normal value,Units,Ratio,0.99869
2017,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years",Normal value,Units,Ratio,1.0
2009,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years",Normal value,Units,Ratio,0.99006
2010,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.01104
2011,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years",Normal value,Units,Ratio,0.92926
2012,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.01923
2013,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.03715
2014,Gender Parity Index (GPI),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years",Normal value,Units,Ratio,1.06214
