Year,Units,Waste type,Sector,Local Authority Waste Disposal,Observation status,Unit multiplier,Unit measure,Value
2007,Food only (per capita),,,,Undefined,Units,Kg per capita,132.3
2007,Food and inedible waste (per capita),,,,Undefined,Units,Kg per capita,181.2
2015,Food only (per capita),,,,Undefined,Units,Kg per capita,106.1
2015,Food and inedible waste (per capita),,,,Undefined,Units,Kg per capita,153.6
2018,Food only (per capita),,,,Undefined,Units,Kg per capita,96.4
2018,Food and inedible waste (per capita),,,,Undefined,Units,Kg per capita,143.4
2015,Food and inedible waste (tonnes),,,All Local Authority Collected,Undefined,Units,Tonnes,75.1
2015,Food and inedible waste (tonnes),,,Residual Waste,Undefined,Units,Tonnes,63.2
2015,Food and inedible waste (tonnes),,,Organics Collection,Undefined,Units,Tonnes,9.8
2015,Food and inedible waste (tonnes),,,Other,Undefined,Units,Tonnes,2.1
2015,Food and inedible waste (tonnes),,,Disposed to Sewer,Undefined,Units,Tonnes,25.1
2015,Food and inedible waste (tonnes),,,Home Composted,Undefined,Units,Tonnes,8.0
2018,Food and inedible waste (tonnes),,,All Local Authority Collected,Undefined,Units,Tonnes,69.1
2018,Food and inedible waste (tonnes),,,Residual Waste,Undefined,Units,Tonnes,54.8
2018,Food and inedible waste (tonnes),,,Organics Collection,Undefined,Units,Tonnes,11.7
2018,Food and inedible waste (tonnes),,,Other,Undefined,Units,Tonnes,2.5
2018,Food and inedible waste (tonnes),,,Disposed to Sewer,Undefined,Units,Tonnes,23.1
2018,Food and inedible waste (tonnes),,,Home Composted,Undefined,Units,Tonnes,8.0
2007,Food only (per capita),Household,,,Undefined,Units,Kg per capita,99.9
2007,Inedible only (per capita),Household,,,Undefined,Units,Kg per capita,32.0
2007,Food and inedible waste (per capita),Household,,,Undefined,Units,Kg per capita,131.9
2010,Food only (per capita),Household,,,Undefined,Units,Kg per capita,77.4
2010,Inedible only (per capita),Household,,,Undefined,Units,Kg per capita,31.7
2010,Food and inedible waste (per capita),Household,,,Undefined,Units,Kg per capita,109.1
2012,Food only (per capita),Household,,,Undefined,Units,Kg per capita,74.3
2012,Inedible only (per capita),Household,,,Undefined,Units,Kg per capita,31.6
2012,Food and inedible waste (per capita),Household,,,Undefined,Units,Kg per capita,105.9
2014,Food only (per capita),Household,,,Undefined,Units,Kg per capita,78.3
2014,Inedible only (per capita),Household,,,Undefined,Units,Kg per capita,31.6
2014,Food and inedible waste (per capita),Household,,,Undefined,Units,Kg per capita,109.9
2015,Food only (per capita),Household,,,Undefined,Units,Kg per capita,76.7
2015,Inedible only (per capita),Household,,,Undefined,Units,Kg per capita,31.6
2015,Food and inedible waste (per capita),Household,,,Undefined,Units,Kg per capita,108.3
2017,Food only (per capita),Household,,,Undefined,Units,Kg per capita,76.9
2017,Inedible only (per capita),Household,,,Undefined,Units,Kg per capita,31.6
2017,Food and inedible waste (per capita),Household,,,Undefined,Units,Kg per capita,108.5
2018,Food only (per capita),Household,,,Undefined,Units,Kg per capita,68.5
2018,Inedible only (per capita),Household,,,Undefined,Units,Kg per capita,31.5
2018,Food and inedible waste (per capita),Household,,,Undefined,Units,Kg per capita,100.0
2011,Food only (per capita),Supply Chain,,,Undefined,Units,Kg per capita,32.3
2011,Food and inedible waste (per capita),Supply Chain,,,Undefined,Units,Kg per capita,49.2
2015,Food only (per capita),Supply Chain,,,Undefined,Units,Kg per capita,29.4
2015,Food and inedible waste (per capita),Supply Chain,,,Undefined,Units,Kg per capita,45.3
2018,Food only (per capita),Supply Chain,,,Undefined,Units,Kg per capita,28.0
2018,Food and inedible waste (per capita),Supply Chain,,,Undefined,Units,Kg per capita,43.3
