Year,Series,Unit multiplier,Units,Observation status,Value
2000,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,100.0000033
2001,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.99999835
2002,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,100.0000016
2003,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,100.0
2004,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,100.0000033
2005,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,100.0
2006,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.99999679
2007,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.99465655
2008,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.97900544
2009,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.96335275
2010,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.94769852
2011,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.93204432
2012,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.91639618
2013,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.90074048
2014,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.8850878
2015,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.86943807
2016,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.85378537
2017,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.83813267
2018,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.82247997
2019,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.82247563
2020,Percentage of population using safely managed drinking water services,Units,Percentage (%),Normal value,99.82247708
