Year,Units,Origin of tourist,Type of tourist,Type of expenditure,Unit measure,Unit multiplier,Observation status,Value
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,1.7398200000000001
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,1.85349
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-2.58016
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,0.46118000000000003
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-4.50429
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,0.058589999999999996
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,24.92013
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-1.89019
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,1.6498599999999999
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-1.12693
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-22.63437
2014,Percentage change (%),Inbound,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,4.33681
2014,Percentage change (%),Inbound,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,2.37807
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,1.10651
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,0.93681
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-3.6130400000000003
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,1.6791900000000002
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-4.15549
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,1.7610700000000001
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,3.41391
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,4.1205
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,-0.63441
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,3.62635
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,-11.08629
2015,Percentage change (%),Inbound,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,0.8299700000000001
2015,Percentage change (%),Inbound,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,0.87284
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Accommodation services for visitors,Percentage change (%),Units,Undefined,-3.9273800000000003
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-3.8923699999999997
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Railway passenger transport services,Percentage change (%),Units,Undefined,-2.03503
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Road passenger transport services,Percentage change (%),Units,Undefined,-2.8198
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Water passenger transport services,Percentage change (%),Units,Undefined,-33.05867
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Air passenger transport services,Percentage change (%),Units,Undefined,-3.06601
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Transport equipment rental services,Percentage change (%),Units,Undefined,2.96698
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,Percentage change (%),Units,Undefined,-4.20405
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Cultural activities,Percentage change (%),Units,Undefined,-3.4845099999999998
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Sport and recreation activities,Percentage change (%),Units,Undefined,-1.48339
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Exhibitions & Conferences etc.,Percentage change (%),Units,Undefined,41.04497
2016,Percentage change (%),Inbound,Tourists (overnight visitors),Other consumption products,Percentage change (%),Units,Undefined,7.90799
2016,Percentage change (%),Inbound,Tourists (overnight visitors),,Percentage change (%),Units,Undefined,1.01337
2014,Percentage change (%),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,Percentage change (%),Units,Undefined,-10.773480000000001
