Year,Units,Health product or service,Health product or service category,Health product or service sub-category,Tenure category,Tenure sub-category,Socio-economic classification,Age,Value
2001-02,GBP (£),,,,,,,,4.5
2002-03,GBP (£),,,,,,,,4.8
2003-04,GBP (£),,,,,,,,5.0
2004-05,GBP (£),,,,,,,,4.9
2005-06,GBP (£),,,,,,,,5.5
2006-07,GBP (£),,,,,,,,5.8
2007-08,GBP (£),,,,,,,,5.7
2008-09,GBP (£),,,,,,,,5.1
2009-10,GBP (£),,,,,,,,5.3
2010-11,GBP (£),,,,,,,,5.0
2011-12,GBP (£),,,,,,,,6.6
2012-13,GBP (£),,,,,,,,6.4
2013-14,GBP (£),,,,,,,,6.2
2014-15,GBP (£),,,,,,,,7.0
2015-16,GBP (£),,,,,,,,7.2
2014-15,GBP (£),Medical products appliances and equipment,,,,,,,4.1
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,,2.5
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,,0.2
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,,1.5
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,,0.3
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,,0.4
2014-15,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,,1.6
2014-15,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,,1.6
2014-15,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,,0.0
2014-15,GBP (£),Hospital services,,,,,,,2.9
2014-15,GBP (£),Hospital services,Outpatient services,,,,,,2.8
2014-15,GBP (£),Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,,1.1
2014-15,GBP (£),Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,,1.7
2014-15,GBP (£),Hospital services,Outpatient services,Other services,,,,,0.0
2014-15,GBP (£),Hospital services,Inpatient hospital services,,,,,,0.1
2015-16,GBP (£),Medical products appliances and equipment,,,,,,,3.8
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,,2.2
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,,0.2
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,,1.4
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,,0.2
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,,0.5
2015-16,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,,1.6
2015-16,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,,1.5
2015-16,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,,0.0
2015-16,GBP (£),Hospital services,,,,,,,3.4
2015-16,GBP (£),Hospital services,Outpatient services,,,,,,3.4
2015-16,GBP (£),Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,,0.9
2015-16,GBP (£),Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,,2.4
2015-16,GBP (£),Hospital services,Outpatient services,Other services,,,,,0.0
2015-16,GBP (£),Hospital services,Inpatient hospital services,,,,,,0.0
2015-16,GBP (£),,,,Owners,Owned outright,,,10.5
2015-16,GBP (£),,,,Owners,Owners buying with a mortgage,,,8.5
2015-16,GBP (£),,,,Owners,,,,9.5
2015-16,GBP (£),,,,Social rented,Council,,,2.2
2015-16,GBP (£),,,,Social rented,Registered social landlord,,,3.1
2015-16,GBP (£),,,,Social rented,,,,2.6
2015-16,GBP (£),,,,Private rented,Rent free,,,3.5
2015-16,GBP (£),,,,Private rented,Rent paid unfurnished,,,4.0
2015-16,GBP (£),,,,Private rented,Rent paid furnished,,,2.0
2015-16,GBP (£),,,,Private rented,,,,3.6
2014-15,GBP (£),,,,,,Large employers and higher managerial,,10.2
2014-15,GBP (£),,,,,,Higher professional,,9.3
2014-15,GBP (£),,,,,,Lower managerial and professional,,7.8
2014-15,GBP (£),,,,,,Intermediate,,4.2
2014-15,GBP (£),,,,,,Small employers,,6.6
2014-15,GBP (£),,,,,,Lower supervisory,,6.1
2014-15,GBP (£),,,,,,Semiroutine,,4.6
2014-15,GBP (£),,,,,,Routine,,4.2
2014-15,GBP (£),,,,,,Long term unemployed,,1.9
2014-15,GBP (£),,,,,,Students,,2.7
2014-15,GBP (£),,,,,,Occupation not stated,,8.5
2015-16,GBP (£),,,,,,Large employers and higher managerial,,10.1
2015-16,GBP (£),,,,,,Higher professional,,11.2
2015-16,GBP (£),,,,,,Lower managerial and professional,,8.8
2015-16,GBP (£),,,,,,Intermediate,,6.4
2015-16,GBP (£),,,,,,Small employers,,7.7
2015-16,GBP (£),,,,,,Lower supervisory,,4.8
2015-16,GBP (£),,,,,,Semiroutine,,2.9
2015-16,GBP (£),,,,,,Routine,,3.6
2015-16,GBP (£),,,,,,Long term unemployed,,1.7
2015-16,GBP (£),,,,,,Students,,2.2
2015-16,GBP (£),,,,,,Occupation not stated,,7.7
2014-15,GBP (£),,,,,,,29 and under,3.1
2014-15,GBP (£),,,,,,,30 to 49,5.4
2014-15,GBP (£),,,,,,,50 to 64,8.1
2014-15,GBP (£),,,,,,,65 to 74,11.1
2014-15,GBP (£),,,,,,,75 and over,7.6
2014-15,GBP (£),Medical products appliances and equipment,,,,,,29 and under,1.8
2014-15,GBP (£),Medical products appliances and equipment,,,,,,30 to 49,3.5
2014-15,GBP (£),Medical products appliances and equipment,,,,,,50 to 64,5.4
2014-15,GBP (£),Medical products appliances and equipment,,,,,,65 to 74,5.4
2014-15,GBP (£),Medical products appliances and equipment,,,,,,75 and over,3.6
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,29 and under,1.3
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,30 to 49,2.1
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,50 to 64,3.4
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,65 to 74,2.8
2014-15,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,75 and over,2.2
2014-15,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,29 and under,0.5
2014-15,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,30 to 49,1.4
2014-15,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,50 to 64,2.0
2014-15,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,65 to 74,2.6
2014-15,GBP (£),Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,75 and over,1.4
2014-15,GBP (£),Hospital services,,,,,,29 and under,1.3
2014-15,GBP (£),Hospital services,,,,,,30 to 49,1.9
2014-15,GBP (£),Hospital services,,,,,,50 to 64,2.7
2014-15,GBP (£),Hospital services,,,,,,65 to 74,5.7
2014-15,GBP (£),Hospital services,,,,,,75 and over,4.0
2015-16,GBP (£),,,,,,,29 and under,2.5
2015-16,GBP (£),,,,,,,30 to 49,5.9
2015-16,GBP (£),,,,,,,50 to 64,9.1
2015-16,GBP (£),,,,,,,65 to 74,11.2
2015-16,GBP (£),,,,,,,75 and over,6.0
2015-16,GBP (£),Medical products appliances and equipment,,,,,,29 and under,2.0
2015-16,GBP (£),Medical products appliances and equipment,,,,,,30 to 49,3.3
2015-16,GBP (£),Medical products appliances and equipment,,,,,,50 to 64,3.8
2015-16,GBP (£),Medical products appliances and equipment,,,,,,65 to 74,7.0
2015-16,GBP (£),Medical products appliances and equipment,,,,,,75 and over,2.8
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,29 and under,0.9
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,30 to 49,2.1
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,50 to 64,2.1
2015-16,GBP (£),Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,65 to 74,3.9
