Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,Value
2010/11,Estimated prevalence,Barking and Dagenham,,Units,Number,2073
2011/12,Estimated prevalence,Barking and Dagenham,,Units,Number,2073
2012/13,Estimated prevalence,Barking and Dagenham,,Units,Number,2061
2013/14,Estimated prevalence,Barking and Dagenham,,Units,Number,2122
2014/15,Estimated prevalence,Barking and Dagenham,,Units,Number,2125
2015/16,Estimated prevalence,Barking and Dagenham,,Units,Number,2091
2016/17,Estimated prevalence,Barking and Dagenham,,Units,Number,2066
2017/18,Estimated prevalence,Barking and Dagenham,,Units,Number,2202
2018/19,Estimated prevalence,Barking and Dagenham,,Units,Number,2119.666667
2010/11,Met need (%),Barking and Dagenham,,Units,Percentage (%),30.14954173
2011/12,Met need (%),Barking and Dagenham,,Units,Percentage (%),25.80800772
2012/13,Met need (%),Barking and Dagenham,,Units,Percentage (%),28.62688016
2013/14,Met need (%),Barking and Dagenham,,Units,Percentage (%),32.28086711
2014/15,Met need (%),Barking and Dagenham,,Units,Percentage (%),32.70588235
2015/16,Met need (%),Barking and Dagenham,,Units,Percentage (%),33.23768532
2016/17,Met need (%),Barking and Dagenham,,Units,Percentage (%),33.88189739
2017/18,Met need (%),Barking and Dagenham,,Units,Percentage (%),25.65849228
2018/19,Met need (%),Barking and Dagenham,,Units,Percentage (%),16.88944803
2010/11,Number of people in treatment,Barking and Dagenham,,Units,Count,625
2011/12,Number of people in treatment,Barking and Dagenham,,Units,Count,535
2012/13,Number of people in treatment,Barking and Dagenham,,Units,Count,590
2013/14,Number of people in treatment,Barking and Dagenham,,Units,Count,685
2014/15,Number of people in treatment,Barking and Dagenham,,Units,Count,695
2015/16,Number of people in treatment,Barking and Dagenham,,Units,Count,695
2016/17,Number of people in treatment,Barking and Dagenham,,Units,Count,700
2017/18,Number of people in treatment,Barking and Dagenham,,Units,Count,565
2018/19,Number of people in treatment,Barking and Dagenham,,Units,Count,358
2018/19,Number of people in treatment,Barking and Dagenham,,Units,Count,355
2010/11,Estimated prevalence,Barnet,,Units,Number,3042
2011/12,Estimated prevalence,Barnet,,Units,Number,3057
2012/13,Estimated prevalence,Barnet,,Units,Number,3040
2013/14,Estimated prevalence,Barnet,,Units,Number,3095
2014/15,Estimated prevalence,Barnet,,Units,Number,3114
2015/16,Estimated prevalence,Barnet,,Units,Number,3029
2016/17,Estimated prevalence,Barnet,,Units,Number,3055
2017/18,Estimated prevalence,Barnet,,Units,Number,3046
2018/19,Estimated prevalence,Barnet,,Units,Number,3043.333333
2010/11,Met need (%),Barnet,,Units,Percentage (%),13.64234057
2011/12,Met need (%),Barnet,,Units,Percentage (%),13.24828263
2012/13,Met need (%),Barnet,,Units,Percentage (%),19.57236842
2013/14,Met need (%),Barnet,,Units,Percentage (%),21.97092084
2014/15,Met need (%),Barnet,,Units,Percentage (%),19.10725755
2015/16,Met need (%),Barnet,,Units,Percentage (%),17.33245295
2016/17,Met need (%),Barnet,,Units,Percentage (%),12.76595745
2017/18,Met need (%),Barnet,,Units,Percentage (%),13.62442548
2018/19,Met need (%),Barnet,,Units,Percentage (%),12.78203724
