Year,Banking service,Country,Region,County,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2010,Commerical bank branches and building societies,,,,,Undefined,Units,"Number per 100,000 adults",,32.7910075241
2011,Commerical bank branches and building societies,,,,,Undefined,Units,"Number per 100,000 adults",,30.8804422370689
2012,Commerical bank branches and building societies,,,,,Undefined,Units,"Number per 100,000 adults",,25.4232557731937
2013,Commerical bank branches and building societies,,,,,Undefined,Units,"Number per 100,000 adults",,24.7355793087826
2014,Commerical bank branches and building societies,,,,,Undefined,Units,"Number per 100,000 adults",,23.7736107017759
2015,Commerical bank branches and building societies,,,,,Undefined,Units,"Number per 100,000 adults",,23.6565483518851
2016,Commerical bank branches and building societies,,,,,Undefined,Units,"Number per 100,000 adults",,22.8177157078266
2017,Commerical bank branches and building societies,,,,,Undefined,Units,"Number per 100,000 adults",,21.5276198163704
2010,Commerical bank branches and building societies,England,,,,Undefined,Units,"Number per 100,000 adults",E92000001,32.53816025571416
2011,Commerical bank branches and building societies,England,,,,Undefined,Units,"Number per 100,000 adults",E92000001,30.751899144200607
2012,Commerical bank branches and building societies,England,,,,Undefined,Units,"Number per 100,000 adults",E92000001,25.17671417521721
2013,Commerical bank branches and building societies,England,,,,Undefined,Units,"Number per 100,000 adults",E92000001,24.476501486032983
2014,Commerical bank branches and building societies,England,,,,Undefined,Units,"Number per 100,000 adults",E92000001,23.442973795773188
2015,Commerical bank branches and building societies,England,,,,Undefined,Units,"Number per 100,000 adults",E92000001,23.103137406059744
2016,Commerical bank branches and building societies,England,,,,Undefined,Units,"Number per 100,000 adults",E92000001,22.176640703639336
2017,Commerical bank branches and building societies,England,,,,Undefined,Units,"Number per 100,000 adults",E92000001,20.813645676264095
2010,Commerical bank branches and building societies,Wales,,,,Undefined,Units,"Number per 100,000 adults",W92000004,32.97510912391651
2011,Commerical bank branches and building societies,Wales,,,,Undefined,Units,"Number per 100,000 adults",W92000004,32.025312178027725
2012,Commerical bank branches and building societies,Wales,,,,Undefined,Units,"Number per 100,000 adults",W92000004,27.00137941829637
2013,Commerical bank branches and building societies,Wales,,,,Undefined,Units,"Number per 100,000 adults",W92000004,26.32947258750844
2014,Commerical bank branches and building societies,Wales,,,,Undefined,Units,"Number per 100,000 adults",W92000004,25.845859182431344
2015,Commerical bank branches and building societies,Wales,,,,Undefined,Units,"Number per 100,000 adults",W92000004,26.37286263461795
2016,Commerical bank branches and building societies,Wales,,,,Undefined,Units,"Number per 100,000 adults",W92000004,25.289897516068738
2017,Commerical bank branches and building societies,Wales,,,,Undefined,Units,"Number per 100,000 adults",W92000004,23.28238531693484
2010,Commerical bank branches and building societies,Scotland,,,,Undefined,Units,"Number per 100,000 adults",S92000003,36.881684237857584
2011,Commerical bank branches and building societies,Scotland,,,,Undefined,Units,"Number per 100,000 adults",S92000003,33.18224725026029
2012,Commerical bank branches and building societies,Scotland,,,,Undefined,Units,"Number per 100,000 adults",S92000003,26.677816050853746
2013,Commerical bank branches and building societies,Scotland,,,,Undefined,Units,"Number per 100,000 adults",S92000003,25.916992341975607
2014,Commerical bank branches and building societies,Scotland,,,,Undefined,Units,"Number per 100,000 adults",S92000003,26.139440455800653
2015,Commerical bank branches and building societies,Scotland,,,,Undefined,Units,"Number per 100,000 adults",S92000003,26.343006308153846
2016,Commerical bank branches and building societies,Scotland,,,,Undefined,Units,"Number per 100,000 adults",S92000003,25.967041222898
2017,Commerical bank branches and building societies,Scotland,,,,Undefined,Units,"Number per 100,000 adults",S92000003,25.106092426379945
2010,Commerical bank branches and building societies,Northern Ireland,,,,Undefined,Units,"Number per 100,000 adults",N92000002,27.592162997943692
2011,Commerical bank branches and building societies,Northern Ireland,,,,Undefined,Units,"Number per 100,000 adults",N92000002,26.405039590413256
2012,Commerical bank branches and building societies,Northern Ireland,,,,Undefined,Units,"Number per 100,000 adults",N92000002,25.57405222562452
2013,Commerical bank branches and building societies,Northern Ireland,,,,Undefined,Units,"Number per 100,000 adults",N92000002,25.48298755750661
2014,Commerical bank branches and building societies,Northern Ireland,,,,Undefined,Units,"Number per 100,000 adults",N92000002,22.621103936882392
2015,Commerical bank branches and building societies,Northern Ireland,,,,Undefined,Units,"Number per 100,000 adults",N92000002,27.859454088962288
2016,Commerical bank branches and building societies,Northern Ireland,,,,Undefined,Units,"Number per 100,000 adults",N92000002,28.39899180238044
2017,Commerical bank branches and building societies,Northern Ireland,,,,Undefined,Units,"Number per 100,000 adults",N92000002,28.620606570492555
2010,Commerical bank branches and building societies,England,North East,,,Undefined,Units,"Number per 100,000 adults",E12000001,24.813976344627633
2011,Commerical bank branches and building societies,England,North East,,,Undefined,Units,"Number per 100,000 adults",E12000001,23.093002912489528
2012,Commerical bank branches and building societies,England,North East,,,Undefined,Units,"Number per 100,000 adults",E12000001,20.732731592674618
2013,Commerical bank branches and building societies,England,North East,,,Undefined,Units,"Number per 100,000 adults",E12000001,20.436514770548456
2014,Commerical bank branches and building societies,England,North East,,,Undefined,Units,"Number per 100,000 adults",E12000001,19.918512677789895
2015,Commerical bank branches and building societies,England,North East,,,Undefined,Units,"Number per 100,000 adults",E12000001,20.111757379072348
2016,Commerical bank branches and building societies,England,North East,,,Undefined,Units,"Number per 100,000 adults",E12000001,19.807741958398278
2017,Commerical bank branches and building societies,England,North East,,,Undefined,Units,"Number per 100,000 adults",E12000001,19.089676939033936
2010,Commerical bank branches and building societies,England,North West,,,Undefined,Units,"Number per 100,000 adults",E12000002,31.025583056263642
2011,Commerical bank branches and building societies,England,North West,,,Undefined,Units,"Number per 100,000 adults",E12000002,28.270273437990056
2012,Commerical bank branches and building societies,England,North West,,,Undefined,Units,"Number per 100,000 adults",E12000002,24.99528342425796
2013,Commerical bank branches and building societies,England,North West,,,Undefined,Units,"Number per 100,000 adults",E12000002,24.434127812701302
2014,Commerical bank branches and building societies,England,North West,,,Undefined,Units,"Number per 100,000 adults",E12000002,23.57991855819609
2015,Commerical bank branches and building societies,England,North West,,,Undefined,Units,"Number per 100,000 adults",E12000002,23.549259714620245
2016,Commerical bank branches and building societies,England,North West,,,Undefined,Units,"Number per 100,000 adults",E12000002,23.08261791258326
2017,Commerical bank branches and building societies,England,North West,,,Undefined,Units,"Number per 100,000 adults",E12000002,21.245528781897264
2010,Commerical bank branches and building societies,England,Yorkshire and The Humber,,,Undefined,Units,"Number per 100,000 adults",E12000003,30.051591647876716
2011,Commerical bank branches and building societies,England,Yorkshire and The Humber,,,Undefined,Units,"Number per 100,000 adults",E12000003,25.943511562196587
2012,Commerical bank branches and building societies,England,Yorkshire and The Humber,,,Undefined,Units,"Number per 100,000 adults",E12000003,23.29886319821211
2013,Commerical bank branches and building societies,England,Yorkshire and The Humber,,,Undefined,Units,"Number per 100,000 adults",E12000003,22.87621124416998
2014,Commerical bank branches and building societies,England,Yorkshire and The Humber,,,Undefined,Units,"Number per 100,000 adults",E12000003,22.225694672024723
2015,Commerical bank branches and building societies,England,Yorkshire and The Humber,,,Undefined,Units,"Number per 100,000 adults",E12000003,22.227918988374686
2016,Commerical bank branches and building societies,England,Yorkshire and The Humber,,,Undefined,Units,"Number per 100,000 adults",E12000003,20.98466324104196
2017,Commerical bank branches and building societies,England,Yorkshire and The Humber,,,Undefined,Units,"Number per 100,000 adults",E12000003,19.907895784626092
2010,Commerical bank branches and building societies,England,East Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000004,29.510403624521427
2011,Commerical bank branches and building societies,England,East Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000004,23.438527932599317
2012,Commerical bank branches and building societies,England,East Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000004,21.96412755177514
2013,Commerical bank branches and building societies,England,East Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000004,21.427525404763326
2014,Commerical bank branches and building societies,England,East Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000004,20.45882498582868
2015,Commerical bank branches and building societies,England,East Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000004,20.29372910844607
2016,Commerical bank branches and building societies,England,East Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000004,19.20905806975091
2017,Commerical bank branches and building societies,England,East Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000004,18.156521403491485
2010,Commerical bank branches and building societies,England,West Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000005,28.805687606056054
2011,Commerical bank branches and building societies,England,West Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000005,27.91494142878266
2012,Commerical bank branches and building societies,England,West Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000005,23.518619593589584
2013,Commerical bank branches and building societies,England,West Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000005,22.963880080677608
2014,Commerical bank branches and building societies,England,West Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000005,21.960067812689406
2015,Commerical bank branches and building societies,England,West Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000005,21.703993279422317
2016,Commerical bank branches and building societies,England,West Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000005,21.301244519938493
2017,Commerical bank branches and building societies,England,West Midlands,,,Undefined,Units,"Number per 100,000 adults",E12000005,19.885971744755388
2010,Commerical bank branches and building societies,England,East,,,Undefined,Units,"Number per 100,000 adults",E12000007,26.588088745597002
2011,Commerical bank branches and building societies,England,East,,,Undefined,Units,"Number per 100,000 adults",E12000007,25.800611629920997
2012,Commerical bank branches and building societies,England,East,,,Undefined,Units,"Number per 100,000 adults",E12000007,22.950920228982255
2013,Commerical bank branches and building societies,England,East,,,Undefined,Units,"Number per 100,000 adults",E12000007,22.27080481376295
