Year,Units,Urbanisation,Urbanisation sub-category,Household composition,Age of oldest person,Age of youngest person,Income group,Living in poverty,Economic activity,Disability status,Ethnicity of household reference person (HRP),Length of residence,Sub-national area,Decent homes criteria,Unit measure,Observation status,Unit multiplier,Value
2008,Dwelling (%),,,,,,,,,,,,,,Percentage (%),Undefined,Units,33.094906615700005
2008,Dwelling (%),Urban,City centre,,,,,,,,,,,,Percentage (%),Undefined,Units,45.8978646807809
2008,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,,Percentage (%),Undefined,Units,37.5398538620745
2008,Dwelling (%),Suburban,,,,,,,,,,,,,Percentage (%),Undefined,Units,28.5719278036183
2008,Dwelling (%),Rural,Rural residential,,,,,,,,,,,,Percentage (%),Undefined,Units,33.5351703422605
2008,Dwelling (%),Rural,Village centre,,,,,,,,,,,,Percentage (%),Undefined,Units,47.37874389721371
2008,Dwelling (%),Rural,Other rural area,,,,,,,,,,,,Percentage (%),Undefined,Units,60.5911789207547
2008,Dwelling (%),Urban,,,,,,,,,,,,,Percentage (%),Undefined,Units,38.733839910933106
2008,Dwelling (%),Rural,,,,,,,,,,,,,Percentage (%),Undefined,Units,40.8341920554479
2008,Dwelling (%),,,,,,,,,,,,North,,Percentage (%),Undefined,Units,32.362775815
2008,Dwelling (%),,,,,,,,,,,,South East,,Percentage (%),Undefined,Units,32.4527659636
2008,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,34.1007117543
2009,Dwelling (%),,,,,,,,,,,,,,Percentage (%),Undefined,Units,30.094492435044398
2009,Dwelling (%),Urban,City centre,,,,,,,,,,,,Percentage (%),Undefined,Units,40.3711848585478
2009,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,,Percentage (%),Undefined,Units,34.190303003958
2009,Dwelling (%),Suburban,,,,,,,,,,,,,Percentage (%),Undefined,Units,25.7960330462114
2009,Dwelling (%),Rural,Rural residential,,,,,,,,,,,,Percentage (%),Undefined,Units,31.491673971574503
2009,Dwelling (%),Rural,Village centre,,,,,,,,,,,,Percentage (%),Undefined,Units,39.3483288680786
2009,Dwelling (%),Rural,Other rural area,,,,,,,,,,,,Percentage (%),Undefined,Units,60.49152797970161
2009,Dwelling (%),Urban,,,,,,,,,,,,,Percentage (%),Undefined,Units,35.1823427674644
2009,Dwelling (%),Rural,,,,,,,,,,,,,Percentage (%),Undefined,Units,37.9722329869722
2009,Dwelling (%),,,,,,,,,,,,North,,Percentage (%),Undefined,Units,28.162441716100002
2009,Dwelling (%),,,,,,,,,,,,South East,,Percentage (%),Undefined,Units,29.562431809899998
2009,Dwelling (%),,,,,,,,,,,,Rest of England,,Percentage (%),Undefined,Units,31.870703330799998
2010,Dwelling (%),,,,,,,,,,,,,,Percentage (%),Undefined,Units,26.522
2010,Dwelling (%),Urban,City centre,,,,,,,,,,,,Percentage (%),Undefined,Units,34.814
2010,Dwelling (%),Urban,Other urban centre,,,,,,,,,,,,Percentage (%),Undefined,Units,30.523000000000003
