Year,Units,Country,Region,Age,Contraceptive category,Main method of use,GeoCode,Value
2015,Thousands,England,,,,,E92000001,905.753
2015,Thousands,England,,Under 16,,,E92000001,25.276999999999997
2015,Thousands,England,,16 to 17,,,E92000001,76.08800000000001
2015,Thousands,England,,18 to 19,,,E92000001,108.411
2015,Thousands,England,,20 to 24,,,E92000001,255.09099999999998
2015,Thousands,England,,25 to 34,,,E92000001,268.744
2015,Thousands,England,,35 to 44,,,E92000001,121.01799999999999
2015,Thousands,England,,45 and over,,,E92000001,50.978
2015,Thousands,England,,,Long acting reversible contraceptives,,E92000001,347.67400000000004
2015,Thousands,England,,Under 16,Long acting reversible contraceptives,,E92000001,7.946000000000001
2015,Thousands,England,,16 to 17,Long acting reversible contraceptives,,E92000001,22.976
2015,Thousands,England,,18 to 19,Long acting reversible contraceptives,,E92000001,32.771
2015,Thousands,England,,20 to 24,Long acting reversible contraceptives,,E92000001,83.791
2015,Thousands,England,,25 to 34,Long acting reversible contraceptives,,E92000001,110.139999999999
2015,Thousands,England,,35 to 44,Long acting reversible contraceptives,,E92000001,63.919
2015,Thousands,England,,45 and over,Long acting reversible contraceptives,,E92000001,26.0559999999999
2015,Thousands,England,,,Long acting reversible contraceptives,IU device,E92000001,52.855
2015,Thousands,England,,Under 16,Long acting reversible contraceptives,IU device,E92000001,0.121
2015,Thousands,England,,16 to 17,Long acting reversible contraceptives,IU device,E92000001,0.601
2015,Thousands,England,,18 to 19,Long acting reversible contraceptives,IU device,E92000001,1.768
2015,Thousands,England,,20 to 24,Long acting reversible contraceptives,IU device,E92000001,9.081
2015,Thousands,England,,25 to 34,Long acting reversible contraceptives,IU device,E92000001,23.651
2015,Thousands,England,,35 to 44,Long acting reversible contraceptives,IU device,E92000001,14.073
2015,Thousands,England,,45 and over,Long acting reversible contraceptives,IU device,E92000001,3.55
2015,Thousands,England,,,Long acting reversible contraceptives,IU system,E92000001,70.62100000000001
2015,Thousands,England,,Under 16,Long acting reversible contraceptives,IU system,E92000001,0.067
2015,Thousands,England,,16 to 17,Long acting reversible contraceptives,IU system,E92000001,0.54
2015,Thousands,England,,18 to 19,Long acting reversible contraceptives,IU system,E92000001,1.564
2015,Thousands,England,,20 to 24,Long acting reversible contraceptives,IU system,E92000001,8.302999999999999
2015,Thousands,England,,25 to 34,Long acting reversible contraceptives,IU system,E92000001,20.416
2015,Thousands,England,,35 to 44,Long acting reversible contraceptives,IU system,E92000001,23.489
