Year,Observation status,Unit measure,Value
2000/01,Undefined,Percentage (%),0.127358490566
2001/02,Undefined,Percentage (%),0.13333333333333333
2002/03,Undefined,Percentage (%),0.13309002433090025
2003/04,Undefined,Percentage (%),0.13619111408796608
2004/05,Undefined,Percentage (%),0.13548387096774192
2005/06,Undefined,Percentage (%),0.1363813989839781
2006/07,Undefined,Percentage (%),0.13660179640718564
2007/08,Undefined,Percentage (%),0.1388496824276641
2008/09,Undefined,Percentage (%),0.13471838987177406
2009/10,Undefined,Percentage (%),0.1356114005516396
2010/11,Undefined,Percentage (%),0.13589781672360018
2011/12,Undefined,Percentage (%),0.12805329385640266
2012/13,Undefined,Percentage (%),0.12380391579567201
2013/14,Undefined,Percentage (%),0.12266473569876901
2014/15,Undefined,Percentage (%),0.12101820250284412
2015/16,Undefined,Percentage (%),0.11826159632260762
2016/17,Undefined,Percentage (%),0.11702274293590628
2017/18,Undefined,Percentage (%),0.11498397435897435
2018/19,Undefined,Percentage (%),0.1142375518672199
2019/20,Undefined,Percentage (%),0.11344853493613823
2020/21,Undefined,Percentage (%),0.09612883865159547
