Year,Series,Beverage,Sex,Age,Observation status,Unit multiplier,Units,Value
2019,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.8
2018,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.01
2017,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.88
2016,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.69
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.59
2014,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.45
2013,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.42
2012,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.53
2011,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.8
2010,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.01
2009,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.98
2008,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.66
2007,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.06
2006,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.93
2005,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.38
2004,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.58
2003,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.28
2002,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.33
2001,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.31
2000,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.82
1999,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.16
1998,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.14
1997,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.97
1996,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.75
1995,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.7
1994,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.41
1993,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.45
1992,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.65
1991,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.01
1990,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.96
1989,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.99
1988,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.94
1987,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.53
1986,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.26
1985,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.24
1984,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.16
1983,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.1
1982,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,9.91
1981,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.27
1980,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.71
1979,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,11.24
1978,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.89
1977,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.28
1976,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.81
1975,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.4
1974,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.39
1973,Alcohol consumption per capita (aged 15 years and older) within a calendar year,,,15 years old and over,Normal value,Units,Litres pure alcohol,10.04
