Year,series,Type of expenditure,Observation status,Unit multiplier,Unit measure,Value
2000,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,31.63734735361996
2001,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,33.44442000913505
2002,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,34.4980350606495
2003,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,42.004336256030264
2004,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,39.53268034908858
2005,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,43.31827594254907
2006,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,41.757703392073594
2007,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,40.18323817538092
2008,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,42.993151504760306
2009,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,39.46322307080734
2010,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,42.192815430333255
2011,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,39.23514381742306
2012,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,39.60442665410878
2013,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,41.54076782563797
2014,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,42.06090704183489
2015,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,44.30962985716479
2016,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,46.322742013858736
2017,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,45.77514907586591
2018,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,40.12908741698728
2019,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,37.48682571620198
2020,Cultural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,46.138250771455404
2000/01,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,4.900855306071924
2001/02,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,6.012039748349705
2002/03,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,6.060188368259412
2003/04,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,6.646385106671464
2004/05,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,7.330204396017062
2005/06,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,8.184371265418834
2006/07,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,9.380290307925252
2007/08,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,10.873790501024654
2008/09,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,11.656103192885949
2009/10,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,11.081591123067424
2010/11,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,10.915705034278272
2011/12,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,10.512305682072109
2012/13,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,10.52200413115909
2013/14,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,11.293504969185895
2014/15,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,10.261581983383369
2015/16,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,9.64991809293064
2016/17,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,8.623482700924534
2017/18,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,7.281206068021408
2018/19,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,7.388932410058968
2019/20,Natural heritage,Central government expenditure,Normal value,Units,GBP (£) per capita,7.517285862636126
2000/01,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,
2001/02,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2002/03,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2003/04,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2004/05,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2005/06,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2006/07,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2007/08,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2008/09,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2009/10,Natural heritage,NGO expenditure,Missing value,Units,GBP (£) per capita,
2010/11,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.1730903332629476
2011/12,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.3113828896496385
2012/13,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.1867936480067107
2013/14,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.260201319879651
2014/15,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.5173415407649924
2015/16,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.653911101120449
2016/17,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.82339201678485
2017/18,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.8174781219005864
2018/19,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.9665439078563836
2019/20,Natural heritage,NGO expenditure,Normal value,Units,GBP (£) per capita,3.9834531305785
2000,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,77.93010574651743
2001,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,71.84544854769679
2002,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,74.06633796956828
2003,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,83.40501738023734
2004,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,81.58410953054525
2005,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,88.98702769092236
2006,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,88.84197997274241
2007,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,88.25961242092593
2008,Cultural heritage,General government expenditure,Normal value,Units,GBP (£) per capita,90.41825316463886
